#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      4281.4608       2.369265      4281.4608       2.369265      4281.4608       2.369265
             15      2562.3197      1.8655709      2562.3197      1.8655709      2562.3197      1.8655709
             20      1417.3938      1.3901567      1417.3938      1.3901567      1417.3938      1.3901567
             25       858.7434      1.1125826       858.7434      1.1125826       858.7434      1.1125826
             30      558.69449     0.88243696      558.69449     0.88243696      558.69449     0.88243696
             35      384.24747     0.74745717      384.24747     0.74745717      384.24747     0.74745717
             40      275.64064     0.62356498      275.64064     0.62356498      275.64064     0.62356498
             45      204.56742     0.53050272      204.56742     0.53050272      204.56742     0.53050272
             50      156.31675     0.45204568      156.31675     0.45204568      156.31675     0.45204568
             55      122.00833     0.41550642      122.00833     0.41550642      122.00833     0.41550642
             60      96.614263     0.34870625      96.614263     0.34870625      96.614263     0.34870625
             65      79.069754     0.34747031      79.069754     0.34747031      79.069754     0.34747031
             70      64.837459     0.30814589      64.837459     0.30814589      64.837459     0.30814589
             75      53.843761     0.27450157      53.843761     0.27450157      53.843761     0.27450157
             80      45.392642     0.25028254      45.392642     0.25028254      45.392642     0.25028254
             85      38.189525     0.22558035      38.189525     0.22558035      38.189525     0.22558035
             90       32.90095     0.20639745       32.90095     0.20639745       32.90095     0.20639745
             95      28.375559     0.19964049      28.375559     0.19964049      28.375559     0.19964049
            100      28.375559     0.19964049      28.375559     0.19964049      28.375559     0.19964049
