#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      3423.6216      6.0054547      3423.6216      6.0054547      3423.6216      6.0054547
             20      1138.9628      3.6397618      1138.9628      3.6397618      1138.9628      3.6397618
             30      470.90459      2.5104822      470.90459      2.5104822      470.90459      2.5104822
             40      239.43361      1.6953943      239.43361      1.6953943      239.43361      1.6953943
             50      138.12304      1.1878618      138.12304      1.1878618      138.12304      1.1878618
             60      88.069567      1.0395075      88.069567      1.0395075      88.069567      1.0395075
             70      61.327499      1.0756961      61.327499      1.0756961      61.327499      1.0756961
             80      42.546739     0.71780891      42.546739     0.71780891      42.546739     0.71780891
             90      30.438402     0.65296284      30.438402     0.65296284      30.438402     0.65296284
            100      22.418641     0.42373611      22.418641     0.42373611      22.418641     0.42373611
            110      17.522433      0.3646443      17.522433      0.3646443      17.522433      0.3646443
            120      14.194837     0.39124863      14.194837     0.39124863      14.194837     0.39124863
            130      11.004784     0.46210541      11.004784     0.46210541      11.004784     0.46210541
            140      8.6758674     0.33323345      8.6758674     0.33323345      8.6758674     0.33323345
            150      7.3386827      0.3019453      7.3386827      0.3019453      7.3386827      0.3019453
            160      5.8475575     0.22340809      5.8475575     0.22340809      5.8475575     0.22340809
            170      4.8287306     0.20164662      4.8287306     0.20164662      4.8287306     0.20164662
            180      4.1707744     0.19323481      4.1707744     0.19323481      4.1707744     0.19323481
            190      3.5183694     0.17374674      3.5183694     0.17374674      3.5183694     0.17374674
            200      3.1876356     0.27675673      3.1876356     0.27675673      3.1876356     0.27675673
            210      2.7924621      0.1786985      2.7924621      0.1786985      2.7924621      0.1786985
            220      2.2283281     0.16614462      2.2283281     0.16614462      2.2283281     0.16614462
            230      2.0770693     0.15225288      2.0770693     0.15225288      2.0770693     0.15225288
            240      1.6456928     0.11729128      1.6456928     0.11729128      1.6456928     0.11729128
            250      1.5501752     0.11250614      1.5501752     0.11250614      1.5501752     0.11250614
            260      1.2948492     0.12085375      1.2948492     0.12085375      1.2948492     0.12085375
            270      1.1511096     0.11337344      1.1511096     0.11337344      1.1511096     0.11337344
            280      1.0106186     0.16029349      1.0106186     0.16029349      1.0106186     0.16029349
            290         1.0564     0.12649861         1.0564     0.12649861         1.0564     0.12649861
            300     0.81979016     0.08989147     0.81979016     0.08989147     0.81979016     0.08989147
            310     0.73832602    0.069901198     0.73832602    0.069901198     0.73832602    0.069901198
            320     0.58733509     0.06256516     0.58733509     0.06256516     0.58733509     0.06256516
            330     0.68975766     0.16448354     0.68975766     0.16448354     0.68975766     0.16448354
            340     0.49558592    0.060090206     0.49558592    0.060090206     0.49558592    0.060090206
            350     0.39947778     0.04871058     0.39947778     0.04871058     0.39947778     0.04871058
            360     0.47384873    0.066814956     0.47384873    0.066814956     0.47384873    0.066814956
            370     0.41805055    0.070242499     0.41805055    0.070242499     0.41805055    0.070242499
            380     0.27715296    0.036934491     0.27715296    0.036934491     0.27715296    0.036934491
            390     0.55104342     0.24350559     0.55104342     0.24350559     0.55104342     0.24350559
            400     0.27107754    0.048980625     0.27107754    0.048980625     0.27107754    0.048980625
            410     0.32259287    0.083100552     0.32259287    0.083100552     0.32259287    0.083100552
            420     0.17966124     0.02792629     0.17966124     0.02792629     0.17966124     0.02792629
            430     0.28514547    0.047785825     0.28514547    0.047785825     0.28514547    0.047785825
            440     0.20251665    0.033255711     0.20251665    0.033255711     0.20251665    0.033255711
            450     0.11307009    0.019691143     0.11307009    0.019691143     0.11307009    0.019691143
            460     0.16322419    0.030713899     0.16322419    0.030713899     0.16322419    0.030713899
            470     0.36478649     0.22003693     0.36478649     0.22003693     0.36478649     0.22003693
            480     0.13992698    0.025811402     0.13992698    0.025811402     0.13992698    0.025811402
            490     0.19662531    0.069923934     0.19662531    0.069923934     0.19662531    0.069923934
            500     0.19662531    0.069923934     0.19662531    0.069923934     0.19662531    0.069923934
