#     total-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16922.629      37.260638      16922.629      37.260638      16922.629      37.260638
              1      16922.629      37.260638      16922.629      37.260638      16922.629      37.260638
