#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60      47.446551     0.49859323      47.446551     0.49859323      47.446551     0.49859323
             61      53.962593     0.63284968      53.962593     0.63284968      53.962593     0.63284968
             62      59.640299      0.5587664      59.640299      0.5587664      59.640299      0.5587664
             63      67.355694     0.65344791      67.355694     0.65344791      67.355694     0.65344791
             64      76.218998     0.71113678      76.218998     0.71113678      76.218998     0.71113678
             65        86.4769     0.71844691        86.4769     0.71844691        86.4769     0.71844691
             66      100.82086     0.78251119      100.82086     0.78251119      100.82086     0.78251119
             67      117.16748      0.8662037      117.16748      0.8662037      117.16748      0.8662037
             68      136.18034     0.92333702      136.18034     0.92333702      136.18034     0.92333702
             69      162.63008      1.1053193      162.63008      1.1053193      162.63008      1.1053193
             70      198.59232      1.1336337      198.59232      1.1336337      198.59232      1.1336337
             71       243.3291       1.351802       243.3291       1.351802       243.3291       1.351802
             72      308.34193      1.4675442      308.34193      1.4675442      308.34193      1.4675442
             73      402.63604      1.7391199      402.63604      1.7391199      402.63604      1.7391199
             74      547.09013        2.01058      547.09013        2.01058      547.09013        2.01058
             75      789.33724      2.3929624      789.33724      2.3929624      789.33724      2.3929624
             76      1217.2643      3.0028421      1217.2643      3.0028421      1217.2643      3.0028421
             77      2109.8087      3.8773692      2109.8087      3.8773692      2109.8087      3.8773692
             78      4330.9372      5.4580063      4330.9372      5.4580063      4330.9372      5.4580063
             79      10607.544      8.4876717      10607.544      8.4876717      10607.544      8.4876717
             80      16494.319      10.419376      16494.319      10.419376      16494.319      10.419376
             81      8664.7675       7.795466      8664.7675       7.795466      8664.7675       7.795466
             82      3615.5692      5.1207636      3615.5692      5.1207636      3615.5692      5.1207636
             83      1830.6373      3.6655081      1830.6373      3.6655081      1830.6373      3.6655081
             84      1084.7437      2.7681215      1084.7437      2.7681215      1084.7437      2.7681215
             85      717.79157         2.3919      717.79157         2.3919      717.79157         2.3919
             86      504.17117      1.9326796      504.17117      1.9326796      504.17117      1.9326796
             87      372.28465      1.6046443      372.28465      1.6046443      372.28465      1.6046443
             88      288.81278      1.4800037      288.81278      1.4800037      288.81278      1.4800037
             89      228.80852      1.2893876      228.80852      1.2893876      228.80852      1.2893876
             90      183.92759        1.08066      183.92759        1.08066      183.92759        1.08066
             91      151.85966      1.0290575      151.85966      1.0290575      151.85966      1.0290575
             92      128.35431     0.94613789      128.35431     0.94613789      128.35431     0.94613789
             93      111.21734     0.91448886      111.21734     0.91448886      111.21734     0.91448886
             94      94.153654     0.77592091      94.153654     0.77592091      94.153654     0.77592091
             95      82.913592      0.8762388      82.913592      0.8762388      82.913592      0.8762388
             96      73.275128     0.78332997      73.275128     0.78332997      73.275128     0.78332997
             97      64.450525     0.74222788      64.450525     0.74222788      64.450525     0.74222788
             98      57.101937     0.75524022      57.101937     0.75524022      57.101937     0.75524022
             99      51.587796     0.68070703      51.587796     0.68070703      51.587796     0.68070703
            100      45.499938     0.57451131      45.499938     0.57451131      45.499938     0.57451131
            101      42.226057     0.64513498      42.226057     0.64513498      42.226057     0.64513498
            102      38.122471     0.56009524      38.122471     0.56009524      38.122471     0.56009524
            103      35.412832     0.63943781      35.412832     0.63943781      35.412832     0.63943781
            104       32.07952      0.5205437       32.07952      0.5205437       32.07952      0.5205437
            105      30.126076     0.56029633      30.126076     0.56029633      30.126076     0.56029633
            106       27.02406     0.46263508       27.02406     0.46263508       27.02406     0.46263508
            107      24.024186     0.40688486      24.024186     0.40688486      24.024186     0.40688486
            108      22.130582     0.37898745      22.130582     0.37898745      22.130582     0.37898745
            109      21.166201      0.3375097      21.166201      0.3375097      21.166201      0.3375097
            110      19.173028     0.38662448      19.173028     0.38662448      19.173028     0.38662448
            111      18.415901     0.39485532      18.415901     0.39485532      18.415901     0.39485532
            112      17.304338     0.30581925      17.304338     0.30581925      17.304338     0.30581925
            113      16.539849     0.32935856      16.539849     0.32935856      16.539849     0.32935856
            114      15.493775     0.30561641      15.493775     0.30561641      15.493775     0.30561641
            115      14.099401     0.27484115      14.099401     0.27484115      14.099401     0.27484115
            116        13.6114     0.30597826        13.6114     0.30597826        13.6114     0.30597826
            117       12.64068     0.26094731       12.64068     0.26094731       12.64068     0.26094731
            118      12.228018     0.37818628      12.228018     0.37818628      12.228018     0.37818628
            119      11.199967     0.21947285      11.199967     0.21947285      11.199967     0.21947285
            120      11.199967     0.21947285      11.199967     0.21947285      11.199967     0.21947285
