#   m_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
             93      12.142385     0.17513523      12.142385     0.17513523      12.142385     0.17513523
             94      15.939727     0.27343042      15.939727     0.27343042      15.939727     0.27343042
             95      20.636793     0.25431991      20.636793     0.25431991      20.636793     0.25431991
             96      25.795264     0.30958853      25.795264     0.30958853      25.795264     0.30958853
             97      30.731102      0.3310842      30.731102      0.3310842      30.731102      0.3310842
             98      35.053208     0.37020334      35.053208     0.37020334      35.053208     0.37020334
             99      39.660386     0.37582847      39.660386     0.37582847      39.660386     0.37582847
            100      43.326576     0.51205934      43.326576     0.51205934      43.326576     0.51205934
            101      47.606535     0.45582118      47.606535     0.45582118      47.606535     0.45582118
            102      50.419484     0.41750238      50.419484     0.41750238      50.419484     0.41750238
            103      53.670376     0.50351818      53.670376     0.50351818      53.670376     0.50351818
            104      57.865395     0.57485644      57.865395     0.57485644      57.865395     0.57485644
            105      59.375946     0.47826158      59.375946     0.47826158      59.375946     0.47826158
            106      62.972012     0.56740338      62.972012     0.56740338      62.972012     0.56740338
            107      65.141269     0.54249588      65.141269     0.54249588      65.141269     0.54249588
            108      67.154074      0.7102948      67.154074      0.7102948      67.154074      0.7102948
            109      68.576982     0.55716044      68.576982     0.55716044      68.576982     0.55716044
            110      71.161164     0.62956125      71.161164     0.62956125      71.161164     0.62956125
            111      71.188392     0.58548967      71.188392     0.58548967      71.188392     0.58548967
            112      72.520433     0.60788214      72.520433     0.60788214      72.520433     0.60788214
            113      74.105562     0.63717863      74.105562     0.63717863      74.105562     0.63717863
            114      74.318541     0.61758537      74.318541     0.61758537      74.318541     0.61758537
            115       75.13908      0.6032353       75.13908      0.6032353       75.13908      0.6032353
            116      77.568514     0.72942141      77.568514     0.72942141      77.568514     0.72942141
            117      76.935956     0.68124599      76.935956     0.68124599      76.935956     0.68124599
            118      77.282455     0.64210407      77.282455     0.64210407      77.282455     0.64210407
            119      77.009362     0.63417369      77.009362     0.63417369      77.009362     0.63417369
            120      77.789887     0.71431583      77.789887     0.71431583      77.789887     0.71431583
            121      76.571753     0.61638704      76.571753     0.61638704      76.571753     0.61638704
            122      77.853522     0.74458509      77.853522     0.74458509      77.853522     0.74458509
            123      77.676898     0.71242847      77.676898     0.71242847      77.676898     0.71242847
            124      77.846987     0.67170721      77.846987     0.67170721      77.846987     0.67170721
            125      77.489212      0.6730453      77.489212      0.6730453      77.489212      0.6730453
            126      75.850813      0.6311266      75.850813      0.6311266      75.850813      0.6311266
            127       75.71261     0.67350162       75.71261     0.67350162       75.71261     0.67350162
            128      75.520249     0.66048498      75.520249     0.66048498      75.520249     0.66048498
            129        77.4026     0.75166572        77.4026     0.75166572        77.4026     0.75166572
            130      74.901883     0.61451097      74.901883     0.61451097      74.901883     0.61451097
            131      74.625138      0.6759691      74.625138      0.6759691      74.625138      0.6759691
            132      74.632877      0.6562013      74.632877      0.6562013      74.632877      0.6562013
            133      73.584074     0.68300791      73.584074     0.68300791      73.584074     0.68300791
            134       73.94385     0.69097463       73.94385     0.69097463       73.94385     0.69097463
            135      72.482932     0.68115978      72.482932     0.68115978      72.482932     0.68115978
            136      72.268117     0.65601688      72.268117     0.65601688      72.268117     0.65601688
            137      71.077019     0.59858219      71.077019     0.59858219      71.077019     0.59858219
            138      72.264922     0.71087367      72.264922     0.71087367      72.264922     0.71087367
            139      70.465279     0.63673929      70.465279     0.63673929      70.465279     0.63673929
            140      68.708483     0.65277852      68.708483     0.65277852      68.708483     0.65277852
            141      70.866865     0.72872858      70.866865     0.72872858      70.866865     0.72872858
            142      68.465913     0.66340403      68.465913     0.66340403      68.465913     0.66340403
            143      68.595885     0.63326694      68.595885     0.63326694      68.595885     0.63326694
            144      66.705219     0.70144746      66.705219     0.70144746      66.705219     0.70144746
            145      66.318071     0.68658959      66.318071     0.68658959      66.318071     0.68658959
            146      66.146995     0.61131555      66.146995     0.61131555      66.146995     0.61131555
            147      66.808164     0.70477239      66.808164     0.70477239      66.808164     0.70477239
            148      64.816026     0.58724043      64.816026     0.58724043      64.816026     0.58724043
            149      63.929682     0.64771282      63.929682     0.64771282      63.929682     0.64771282
            150      65.304651     0.69195106      65.304651     0.69195106      65.304651     0.69195106
            151      62.989492     0.63647904      62.989492     0.63647904      62.989492     0.63647904
            152      61.886012     0.60582695      61.886012     0.60582695      61.886012     0.60582695
            153      60.453439     0.60259797      60.453439     0.60259797      60.453439     0.60259797
            154      60.821592     0.66990007      60.821592     0.66990007      60.821592     0.66990007
            155      60.081474     0.61215596      60.081474     0.61215596      60.081474     0.61215596
            156      59.465333     0.60810792      59.465333     0.60810792      59.465333     0.60810792
            157      58.667072     0.62064597      58.667072     0.62064597      58.667072     0.62064597
            158      59.299292     0.64912788      59.299292     0.64912788      59.299292     0.64912788
            159      57.028845      0.5643107      57.028845      0.5643107      57.028845      0.5643107
            160      57.036821     0.59907613      57.036821     0.59907613      57.036821     0.59907613
            161      56.668002     0.64398662      56.668002     0.64398662      56.668002     0.64398662
            162      55.456118     0.60570825      55.456118     0.60570825      55.456118     0.60570825
            163      56.355312      0.6332314      56.355312      0.6332314      56.355312      0.6332314
            164      55.088611     0.61630676      55.088611     0.61630676      55.088611     0.61630676
            165      55.041232      0.6079335      55.041232      0.6079335      55.041232      0.6079335
            166      53.690416      0.5858706      53.690416      0.5858706      53.690416      0.5858706
            167      52.331428     0.64962987      52.331428     0.64962987      52.331428     0.64962987
            168      53.026063     0.68001892      53.026063     0.68001892      53.026063     0.68001892
            169      51.315238     0.54938501      51.315238     0.54938501      51.315238     0.54938501
            170      52.116226     0.61870648      52.116226     0.61870648      52.116226     0.61870648
            171      50.802144     0.59997429      50.802144     0.59997429      50.802144     0.59997429
            172      50.236222     0.56375758      50.236222     0.56375758      50.236222     0.56375758
            173       48.77953     0.50630923       48.77953     0.50630923       48.77953     0.50630923
            174      50.339249     0.65979586      50.339249     0.65979586      50.339249     0.65979586
            175      47.948742     0.53259951      47.948742     0.53259951      47.948742     0.53259951
            176      49.202648     0.59750861      49.202648     0.59750861      49.202648     0.59750861
            177      47.765322     0.52875985      47.765322     0.52875985      47.765322     0.52875985
            178       47.13737     0.57602947       47.13737     0.57602947       47.13737     0.57602947
            179       47.01891     0.57966609       47.01891     0.57966609       47.01891     0.57966609
            180      45.594516     0.49893041      45.594516     0.49893041      45.594516     0.49893041
            181      45.659416     0.59241299      45.659416     0.59241299      45.659416     0.59241299
            182       45.44393     0.55078093       45.44393     0.55078093       45.44393     0.55078093
            183      44.611086     0.56749426      44.611086     0.56749426      44.611086     0.56749426
            184      43.797423     0.49939925      43.797423     0.49939925      43.797423     0.49939925
            185      44.050933     0.56951166      44.050933     0.56951166      44.050933     0.56951166
            186      42.697982     0.47954037      42.697982     0.47954037      42.697982     0.47954037
            187      43.344851     0.48913812      43.344851     0.48913812      43.344851     0.48913812
            188      42.738245     0.51014652      42.738245     0.51014652      42.738245     0.51014652
            189       42.34625     0.50284434       42.34625     0.50284434       42.34625     0.50284434
            190      41.083527     0.54074912      41.083527     0.54074912      41.083527     0.54074912
            191      41.930665     0.55805445      41.930665     0.55805445      41.930665     0.55805445
            192      40.655101     0.56049408      40.655101     0.56049408      40.655101     0.56049408
            193      40.532346     0.61686442      40.532346     0.61686442      40.532346     0.61686442
            194       40.53314     0.57160153       40.53314     0.57160153       40.53314     0.57160153
            195      40.506858     0.67183171      40.506858     0.67183171      40.506858     0.67183171
            196      39.111138     0.44993399      39.111138     0.44993399      39.111138     0.44993399
            197      39.247728     0.54395448      39.247728     0.54395448      39.247728     0.54395448
            198      38.761305     0.48919809      38.761305     0.48919809      38.761305     0.48919809
            199      38.175781      0.5657127      38.175781      0.5657127      38.175781      0.5657127
            200       38.35993     0.51537921       38.35993     0.51537921       38.35993     0.51537921
            201      36.992946     0.53360248      36.992946     0.53360248      36.992946     0.53360248
            202      37.167602     0.59250878      37.167602     0.59250878      37.167602     0.59250878
            203      36.777612     0.55293077      36.777612     0.55293077      36.777612     0.55293077
            204      36.792401     0.54091051      36.792401     0.54091051      36.792401     0.54091051
            205      35.584434     0.44613722      35.584434     0.44613722      35.584434     0.44613722
            206      36.182374     0.62486507      36.182374     0.62486507      36.182374     0.62486507
            207      35.409151      0.5575395      35.409151      0.5575395      35.409151      0.5575395
            208      35.325976     0.52313371      35.325976     0.52313371      35.325976     0.52313371
            209      34.039063     0.42804595      34.039063     0.42804595      34.039063     0.42804595
            210      33.901876     0.45528607      33.901876     0.45528607      33.901876     0.45528607
            211      33.560337     0.45961768      33.560337     0.45961768      33.560337     0.45961768
            212      33.108823     0.51941106      33.108823     0.51941106      33.108823     0.51941106
            213      33.450321      0.5340937      33.450321      0.5340937      33.450321      0.5340937
            214      32.809904     0.49335926      32.809904     0.49335926      32.809904     0.49335926
            215      31.977381      0.4601538      31.977381      0.4601538      31.977381      0.4601538
            216      33.355134     0.60397464      33.355134     0.60397464      33.355134     0.60397464
            217      32.178799     0.53313657      32.178799     0.53313657      32.178799     0.53313657
            218      31.152405     0.48024563      31.152405     0.48024563      31.152405     0.48024563
