# m_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            150      2.0063396    0.056811933      2.0063396    0.056811933      2.0063396    0.056811933
            200      2.5467312    0.065003538      2.5467312    0.065003538      2.5467312    0.065003538
            250      1.9549859    0.055726763      1.9549859    0.055726763      1.9549859    0.055726763
            300      1.4316469    0.063469858      1.4316469    0.063469858      1.4316469    0.063469858
            350      0.9531655    0.043751806      0.9531655    0.043751806      0.9531655    0.043751806
            400     0.79262897    0.095862192     0.79262897    0.095862192     0.79262897    0.095862192
            450     0.48724958    0.029104145     0.48724958    0.029104145     0.48724958    0.029104145
            500     0.37674813    0.041324187     0.37674813    0.041324187     0.37674813    0.041324187
            600     0.37674813    0.041324187     0.37674813    0.041324187     0.37674813    0.041324187
