#  n_light_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      805.46689      2.3690546      805.46689      2.3690546      805.46689      2.3690546
            0.5      9407.1068      8.0376067      9407.1068      8.0376067      9407.1068      8.0376067
            1.5      47643.231      16.455433      47643.231      16.455433      47643.231      16.455433
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
