#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      194.07914      5.3968155      194.07914      5.3968155      194.07914      5.3968155
              1      560.81428      8.6720658      560.81428      8.6720658      560.81428      8.6720658
              2      909.11448      12.270264      909.11448      12.270264      909.11448      12.270264
              3      1198.0496      12.105187      1198.0496      12.105187      1198.0496      12.105187
              4        1455.88      13.622983        1455.88      13.622983        1455.88      13.622983
              5      1634.4052      14.131545      1634.4052      14.131545      1634.4052      14.131545
              6      1740.4398       14.04106      1740.4398       14.04106      1740.4398       14.04106
              7      1825.0073      13.402606      1825.0073      13.402606      1825.0073      13.402606
              8        1893.08      15.263434        1893.08      15.263434        1893.08      15.263434
              9      1918.1108      14.865049      1918.1108      14.865049      1918.1108      14.865049
             10      1865.9934      14.392569      1865.9934      14.392569      1865.9934      14.392569
             11      1857.1148      15.001026      1857.1148      15.001026      1857.1148      15.001026
             12      1802.0032      16.580222      1802.0032      16.580222      1802.0032      16.580222
             13      1751.9654      13.882318      1751.9654      13.882318      1751.9654      13.882318
             14      1680.2541      13.698545      1680.2541      13.698545      1680.2541      13.698545
             15      1597.3254      13.964466      1597.3254      13.964466      1597.3254      13.964466
             16      1538.5532      13.256266      1538.5532      13.256266      1538.5532      13.256266
             17      1482.5337      13.759913      1482.5337      13.759913      1482.5337      13.759913
             18      1397.2121      12.000212      1397.2121      12.000212      1397.2121      12.000212
             19      1331.9464      12.402148      1331.9464      12.402148      1331.9464      12.402148
             20      1260.6751      11.356991      1260.6751      11.356991      1260.6751      11.356991
             21      1204.2568      11.775843      1204.2568      11.775843      1204.2568      11.775843
             22      1153.8594      11.873661      1153.8594      11.873661      1153.8594      11.873661
             23      1088.0136      10.884776      1088.0136      10.884776      1088.0136      10.884776
             24      1017.7002       10.78764      1017.7002       10.78764      1017.7002       10.78764
             25      991.84941      11.695025      991.84941      11.695025      991.84941      11.695025
             26      931.11093      11.498239      931.11093      11.498239      931.11093      11.498239
             27      877.20678      11.339632      877.20678      11.339632      877.20678      11.339632
             28      821.73191      9.1685362      821.73191      9.1685362      821.73191      9.1685362
             29      767.10674       7.972093      767.10674       7.972093      767.10674       7.972093
             30      740.84443       9.707025      740.84443       9.707025      740.84443       9.707025
             31      712.14863      8.6132253      712.14863      8.6132253      712.14863      8.6132253
             32      672.60172      9.5193014      672.60172      9.5193014      672.60172      9.5193014
             33       645.4255      8.7970918       645.4255      8.7970918       645.4255      8.7970918
             34      610.64434      8.3266658      610.64434      8.3266658      610.64434      8.3266658
             35      570.26844      7.6202877      570.26844      7.6202877      570.26844      7.6202877
             36      547.43471      7.9693895      547.43471      7.9693895      547.43471      7.9693895
             37      524.35309      8.4621876      524.35309      8.4621876      524.35309      8.4621876
             38      501.20894      9.5841585      501.20894      9.5841585      501.20894      9.5841585
             39      470.36548      7.1565841      470.36548      7.1565841      470.36548      7.1565841
             40      454.12982      7.8871397      454.12982      7.8871397      454.12982      7.8871397
             41      453.44795      7.9544111      453.44795      7.9544111      453.44795      7.9544111
             42      401.73911      6.0655017      401.73911      6.0655017      401.73911      6.0655017
             43      388.59224      6.4718256      388.59224      6.4718256      388.59224      6.4718256
             44      368.93686      6.1209643      368.93686      6.1209643      368.93686      6.1209643
             45       351.7267      7.7086071       351.7267      7.7086071       351.7267      7.7086071
             46      335.95498      6.8398491      335.95498      6.8398491      335.95498      6.8398491
             47      327.29975      6.3008756      327.29975      6.3008756      327.29975      6.3008756
             48      303.20502      5.2928713      303.20502      5.2928713      303.20502      5.2928713
             49      293.85904      5.7576833      293.85904      5.7576833      293.85904      5.7576833
             50      293.85904      5.7576833      293.85904      5.7576833      293.85904      5.7576833
