qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            2                   LO                                                                   20691.79774 +-         0.88956
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            2                   LO.22                                                                20691.79774 +-         0.88956

independent    1              1                   LO                                                                   15558.85047 +-         0.66800
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800

independent    2              0.5                 LO                                                                   11791.91113 +-         0.50747
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              0.5                 LO.22                                                                11791.91113 +-         0.50747

=====================================================================================================================================================

