      bin (total_rate)   qTcut           list/contribution                                                               dsigma +-            error

         0           1   extrapolation   NLO.QT.32                                                                   23914.9252 +-       9.61604180
---------------------------------------------------------------------------------------------------------------------------------------------------

         0           1   0.01            NLO.QT.32                                                                    23921.724 +-            9.539
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                       19237.843 +-            2.102
         0           1   0.01            CT.QCD                                                                     -123179.190 +-            6.571
         0           1   0.01            RT.QCD                                                                      127863.071 +-            6.587

         0           1   0.05            NLO.QT.32                                                                   23936.7887 +-           7.4318
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                      19237.8432 +-           2.1018
         0           1   0.05            CT.QCD                                                                     -84648.8070 +-           4.5696
         0           1   0.05            RT.QCD                                                                      89347.7525 +-           5.4711

         0           1   0.1             NLO.QT.32                                                                   23960.1672 +-           6.7181
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                      19237.8432 +-           2.1018
         0           1   0.1             CT.QCD                                                                     -70273.3837 +-           3.8232
         0           1   0.1             RT.QCD                                                                      74995.7077 +-           5.1086

         0           1   0.15            NLO.QT.32                                                                   23983.3495 +-           6.3329
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                      19237.8432 +-           2.1018
         0           1   0.15            CT.QCD                                                                     -62483.5489 +-           3.4189
         0           1   0.15            RT.QCD                                                                      67229.0551 +-           4.8989

         0           1   0.2             NLO.QT.32                                                                   24006.9474 +-           6.0721
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                      19237.8432 +-           2.1018
         0           1   0.2             CT.QCD                                                                     -57233.7885 +-           3.1464
         0           1   0.2             RT.QCD                                                                      62002.8927 +-           4.7490

         0           1   0.25            NLO.QT.32                                                                   24025.6082 +-           5.8761
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                      19237.8432 +-           2.1018
         0           1   0.25            CT.QCD                                                                     -53320.2291 +-           2.9432
         0           1   0.25            RT.QCD                                                                      58107.9941 +-           4.6312

         0           1   0.5             NLO.QT.32                                                                   24102.5650 +-           5.2993
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VT.QCD                                                                      19237.8432 +-           2.1018
         0           1   0.5             CT.QCD                                                                     -42046.6616 +-           2.3578
         0           1   0.5             RT.QCD                                                                      46911.3834 +-           4.2551

===================================================================================================================================================

