qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    1              0.5                 LO.22                                                                 14311.5287 +-          0.6153

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680

independent    1              2                   LO.22                                                                 16661.3590 +-          0.7158

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    1              0.5                 LO.22                                                                 14311.5287 +-          0.6153
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 born                                                                  14311.5287 +-          0.6153

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   born                                                                  15558.8505 +-          0.6680

independent    1              2                   LO.22                                                                 16661.3590 +-          0.7158
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   born                                                                  16661.3590 +-          0.7158

=====================================================================================================================================================

