qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            2                   LO.22                                                                 20691.7977 +-          0.8896

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680

independent    2              0.5                 LO.22                                                                 11791.9111 +-          0.5075

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            2                   LO.22                                                                 20691.7977 +-          0.8896
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            2                   born                                                                  20691.7977 +-          0.8896

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   born                                                                  15558.8505 +-          0.6680

independent    2              0.5                 LO.22                                                                 11791.9111 +-          0.5075
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              0.5                 born                                                                  11791.9111 +-          0.5075

=====================================================================================================================================================

