# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      413.85955     0.36304984      413.85955     0.36304984      413.85955     0.36304984
              5      868.89591      0.4992216      868.89591      0.4992216      868.89591      0.4992216
             10      861.64202     0.48342109      861.64202     0.48342109      861.64202     0.48342109
             15      703.55911     0.42795156      703.55911     0.42795156      703.55911     0.42795156
             20      544.76857     0.37294203      544.76857     0.37294203      544.76857     0.37294203
             25       416.5006     0.32424047       416.5006     0.32424047       416.5006     0.32424047
             30      320.35289     0.28238645      320.35289     0.28238645      320.35289     0.28238645
             35      248.80887     0.24812073      248.80887     0.24812073      248.80887     0.24812073
             40      195.44125     0.21896483      195.44125     0.21896483      195.44125     0.21896483
             45       155.2094     0.19487576       155.2094     0.19487576       155.2094     0.19487576
             50       124.5712     0.17394564       124.5712     0.17394564       124.5712     0.17394564
             55      101.27234     0.15633007      101.27234     0.15633007      101.27234     0.15633007
             60      82.471558     0.14094789      82.471558     0.14094789      82.471558     0.14094789
             65      68.036019     0.12826852      68.036019     0.12826852      68.036019     0.12826852
             70      56.639294     0.11670972      56.639294     0.11670972      56.639294     0.11670972
             75      47.609034     0.10855246      47.609034     0.10855246      47.609034     0.10855246
             80      40.049319    0.097923197      40.049319    0.097923197      40.049319    0.097923197
             85      33.978197    0.090040656      33.978197    0.090040656      33.978197    0.090040656
             90      28.922533    0.083548929      28.922533    0.083548929      28.922533    0.083548929
             95      24.926317    0.077170676      24.926317    0.077170676      24.926317    0.077170676
            100      21.296257    0.071171928      21.296257    0.071171928      21.296257    0.071171928
            105      18.495223    0.066704813      18.495223    0.066704813      18.495223    0.066704813
            110      15.915776    0.061903594      15.915776    0.061903594      15.915776    0.061903594
            115      13.982804    0.057856825      13.982804    0.057856825      13.982804    0.057856825
            120      12.160252    0.053844038      12.160252    0.053844038      12.160252    0.053844038
            125      10.674079    0.050711057      10.674079    0.050711057      10.674079    0.050711057
            130      9.3925249    0.047348787      9.3925249    0.047348787      9.3925249    0.047348787
            135      8.1844719    0.044261113      8.1844719    0.044261113      8.1844719    0.044261113
            140      7.1851159    0.041976139      7.1851159    0.041976139      7.1851159    0.041976139
            145      6.3576042    0.039044696      6.3576042    0.039044696      6.3576042    0.039044696
            150      5.6888846     0.03733383      5.6888846     0.03733383      5.6888846     0.03733383
            155      4.9918205    0.035228656      4.9918205    0.035228656      4.9918205    0.035228656
            160      4.4236844    0.033057771      4.4236844    0.033057771      4.4236844    0.033057771
            165      3.9542256    0.031200987      3.9542256    0.031200987      3.9542256    0.031200987
            170      3.5334446    0.034294275      3.5334446    0.034294275      3.5334446    0.034294275
            175      3.0997688    0.027824957      3.0997688    0.027824957      3.0997688    0.027824957
            180      2.8235781    0.026266149      2.8235781    0.026266149      2.8235781    0.026266149
            185      2.5050471    0.025074132      2.5050471    0.025074132      2.5050471    0.025074132
            190      2.2689169    0.026135469      2.2689169    0.026135469      2.2689169    0.026135469
            195      1.9715303    0.022265993      1.9715303    0.022265993      1.9715303    0.022265993
            200      1.8248339    0.021289727      1.8248339    0.021289727      1.8248339    0.021289727
            205      1.5988509    0.020097371      1.5988509    0.020097371      1.5988509    0.020097371
            210      1.4463471    0.019264137      1.4463471    0.019264137      1.4463471    0.019264137
            215      1.3043927    0.018088025      1.3043927    0.018088025      1.3043927    0.018088025
            220       1.176925    0.017861758       1.176925    0.017861758       1.176925    0.017861758
            225      1.0491347    0.016407748      1.0491347    0.016407748      1.0491347    0.016407748
            230     0.93906157    0.016781959     0.93906157    0.016781959     0.93906157    0.016781959
            235     0.88094362    0.015274695     0.88094362    0.015274695     0.88094362    0.015274695
            240      0.7809615    0.014178177      0.7809615    0.014178177      0.7809615    0.014178177
            245     0.71693041    0.013768539     0.71693041    0.013768539     0.71693041    0.013768539
            250     0.61066281    0.012706726     0.61066281    0.012706726     0.61066281    0.012706726
            255     0.56479119    0.012292576     0.56479119    0.012292576     0.56479119    0.012292576
            260     0.53593448    0.012905195     0.53593448    0.012905195     0.53593448    0.012905195
            265     0.48585034    0.011514924     0.48585034    0.011514924     0.48585034    0.011514924
            270     0.42829882    0.011006809     0.42829882    0.011006809     0.42829882    0.011006809
            275     0.39291982    0.010368972     0.39291982    0.010368972     0.39291982    0.010368972
            280     0.37174525    0.010351369     0.37174525    0.010351369     0.37174525    0.010351369
            285     0.33012727   0.0095991488     0.33012727   0.0095991488     0.33012727   0.0095991488
            290     0.31423203   0.0096665162     0.31423203   0.0096665162     0.31423203   0.0096665162
            295     0.29416441   0.0090565621     0.29416441   0.0090565621     0.29416441   0.0090565621
            300     0.25355164   0.0084550187     0.25355164   0.0084550187     0.25355164   0.0084550187
            305       0.228186   0.0080767428       0.228186   0.0080767428       0.228186   0.0080767428
            310     0.21337592   0.0080887084     0.21337592   0.0080887084     0.21337592   0.0080887084
            315     0.19901138   0.0075580045     0.19901138   0.0075580045     0.19901138   0.0075580045
            320     0.17461681   0.0070052775     0.17461681   0.0070052775     0.17461681   0.0070052775
            325     0.16328739   0.0070184208     0.16328739   0.0070184208     0.16328739   0.0070184208
            330       0.152046   0.0072171548       0.152046   0.0072171548       0.152046   0.0072171548
            335     0.13755495   0.0063766839     0.13755495   0.0063766839     0.13755495   0.0063766839
