# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      621.81574      1.3773157      621.81574      1.3773157      621.81574      1.3773157
            0.4      549.36147      1.0482045      549.36147      1.0482045      549.36147      1.0482045
              1      403.54169     0.90141234      403.54169     0.90141234      403.54169     0.90141234
            1.6      250.85976     0.65687238      250.85976     0.65687238      250.85976     0.65687238
            2.3      103.61055     0.34258428      103.61055     0.34258428      103.61055     0.34258428
            3.4      15.280767     0.12467012      15.280767     0.12467012      15.280767     0.12467012
            4.6      15.280767     0.12467012      15.280767     0.12467012      15.280767     0.12467012
