# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      3392.8466      3.6720255      3392.8466      3.6720255      3392.8466      3.6720255
     0.31415927      3634.6008      3.7856176      3634.6008      3.7856176      3634.6008      3.7856176
     0.62831853      3826.0659      3.8942312      3826.0659      3.8942312      3826.0659      3.8942312
      0.9424778      4082.0496      4.0668438      4082.0496      4.0668438      4082.0496      4.0668438
      1.2566371      4542.1597      4.2737518      4542.1597      4.2737518      4542.1597      4.2737518
      1.5707963      5266.7901      4.6165193      5266.7901      4.6165193      5266.7901      4.6165193
      1.8849556       6312.797      5.0633551       6312.797      5.0633551       6312.797      5.0633551
      2.1991149      7736.2509      5.5799265      7736.2509      5.5799265      7736.2509      5.5799265
      2.5132741      9395.1111      6.1429861      9395.1111      6.1429861      9395.1111      6.1429861
      2.8274334      10822.354      6.5673355      10822.354      6.5673355      10822.354      6.5673355
      3.1415927      10822.354      6.5673355      10822.354      6.5673355      10822.354      6.5673355
