#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      1724.2346     0.39621669      1724.2346     0.39621669      1724.2346     0.39621669
             20      560.27371     0.25685897      560.27371     0.25685897      560.27371     0.25685897
             30      230.72925     0.16981527      230.72925     0.16981527      230.72925     0.16981527
             40      118.02898     0.12133108      118.02898     0.12133108      118.02898     0.12133108
             50      68.862143    0.093003658      68.862143    0.093003658      68.862143    0.093003658
             60      43.738824    0.074813687      43.738824    0.074813687      43.738824    0.074813687
             70      29.670061    0.061238971      29.670061    0.061238971      29.670061    0.061238971
             80      20.979008    0.051202011      20.979008    0.051202011      20.979008    0.051202011
             90      15.472505    0.043726445      15.472505    0.043726445      15.472505    0.043726445
            100      11.643285    0.038087378      11.643285    0.038087378      11.643285    0.038087378
            110      8.9652324    0.033275547      8.9652324    0.033275547      8.9652324    0.033275547
            120      7.1000947    0.029888863      7.1000947    0.029888863      7.1000947    0.029888863
            130       5.588224    0.026397917       5.588224    0.026397917       5.588224    0.026397917
            140      4.5766877    0.024015705      4.5766877    0.024015705      4.5766877    0.024015705
            150      3.7535515    0.021400726      3.7535515    0.021400726      3.7535515    0.021400726
            160       3.093516    0.019915224       3.093516    0.019915224       3.093516    0.019915224
            170      2.6212826    0.017979439      2.6212826    0.017979439      2.6212826    0.017979439
            180      2.2089012    0.016424532      2.2089012    0.016424532      2.2089012    0.016424532
            190      1.8586919    0.015120083      1.8586919    0.015120083      1.8586919    0.015120083
            200      1.5748122    0.014145771      1.5748122    0.014145771      1.5748122    0.014145771
            210      1.3611647    0.013214902      1.3611647    0.013214902      1.3611647    0.013214902
            220       1.171749    0.012001523       1.171749    0.012001523       1.171749    0.012001523
            230      1.0183132    0.011110696      1.0183132    0.011110696      1.0183132    0.011110696
            240     0.89751797    0.010788157     0.89751797    0.010788157     0.89751797    0.010788157
            250     0.77755444    0.010047483     0.77755444    0.010047483     0.77755444    0.010047483
            260     0.68438292   0.0093427733     0.68438292   0.0093427733     0.68438292   0.0093427733
            270     0.60385712   0.0085342699     0.60385712   0.0085342699     0.60385712   0.0085342699
            280     0.54293826   0.0089837552     0.54293826   0.0089837552     0.54293826   0.0089837552
            290     0.48168659   0.0079612713     0.48168659   0.0079612713     0.48168659   0.0079612713
            300     0.42197004   0.0074562029     0.42197004   0.0074562029     0.42197004   0.0074562029
            310     0.37052045   0.0066549779     0.37052045   0.0066549779     0.37052045   0.0066549779
            320     0.35200966   0.0065978754     0.35200966   0.0065978754     0.35200966   0.0065978754
            330     0.31330744   0.0066385932     0.31330744   0.0066385932     0.31330744   0.0066385932
            340     0.26851792   0.0056237401     0.26851792   0.0056237401     0.26851792   0.0056237401
            350     0.24921644   0.0053797752     0.24921644   0.0053797752     0.24921644   0.0053797752
            360     0.22887434   0.0051680293     0.22887434   0.0051680293     0.22887434   0.0051680293
            370     0.20526521    0.004943361     0.20526521    0.004943361     0.20526521    0.004943361
            380     0.17879962    0.004851616     0.17879962    0.004851616     0.17879962    0.004851616
            390     0.17329205   0.0046346632     0.17329205   0.0046346632     0.17329205   0.0046346632
            400     0.15600325   0.0043211532     0.15600325   0.0043211532     0.15600325   0.0043211532
            410     0.14241008   0.0040802271     0.14241008   0.0040802271     0.14241008   0.0040802271
            420     0.12442084   0.0038002328     0.12442084   0.0038002328     0.12442084   0.0038002328
            430     0.11654197   0.0037243979     0.11654197   0.0037243979     0.11654197   0.0037243979
            440     0.11235674   0.0037681189     0.11235674   0.0037681189     0.11235674   0.0037681189
            450     0.10418123    0.005901511     0.10418123    0.005901511     0.10418123    0.005901511
            460    0.098115326   0.0038186215    0.098115326   0.0038186215    0.098115326   0.0038186215
            470    0.091232091   0.0032316583    0.091232091   0.0032316583    0.091232091   0.0032316583
            480    0.072904251   0.0030139974    0.072904251   0.0030139974    0.072904251   0.0030139974
            490    0.069607133     0.00283618    0.069607133     0.00283618    0.069607133     0.00283618
            500    0.069607133     0.00283618    0.069607133     0.00283618    0.069607133     0.00283618
