#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      2171.5613      0.7043731      2171.5613      0.7043731      2171.5613      0.7043731
             15       1276.908     0.55509346       1276.908     0.55509346       1276.908     0.55509346
             20       699.4833     0.41907169       699.4833     0.41907169       699.4833     0.41907169
             25      421.06412     0.32712897      421.06412     0.32712897      421.06412     0.32712897
             30      273.22366     0.26463166      273.22366     0.26463166      273.22366     0.26463166
             35      188.23485     0.22042982      188.23485     0.22042982      188.23485     0.22042982
             40      135.32159     0.18534878      135.32159     0.18534878      135.32159     0.18534878
             45      100.73637     0.15936592      100.73637     0.15936592      100.73637     0.15936592
             50       77.28516      0.1394686       77.28516      0.1394686       77.28516      0.1394686
             55      60.439127     0.12427494      60.439127     0.12427494      60.439127     0.12427494
             60      48.182751     0.11029482      48.182751     0.11029482      48.182751     0.11029482
             65      39.294897     0.10170407      39.294897     0.10170407      39.294897     0.10170407
             70      32.448123    0.091160159      32.448123    0.091160159      32.448123    0.091160159
             75      26.891999    0.082135085      26.891999    0.082135085      26.891999    0.082135085
             80      22.708104    0.075352226      22.708104    0.075352226      22.708104    0.075352226
             85      19.249912    0.069544321      19.249912    0.069544321      19.249912    0.069544321
             90      16.571192    0.064201585      16.571192    0.064201585      16.571192    0.064201585
             95      14.373818    0.059508998      14.373818    0.059508998      14.373818    0.059508998
            100      14.373818    0.059508998      14.373818    0.059508998      14.373818    0.059508998
