#total-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      28731.065      3.7570186      28731.065      3.7570186      28731.065      3.7570186
              1      28731.065      3.7570186      28731.065      3.7570186      28731.065      3.7570186
