# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      11.631527     0.15118198      11.631527     0.15118198      11.631527     0.15118198
            0.6      37.991552      0.2742589      37.991552      0.2742589      37.991552      0.2742589
            1.2      68.528596     0.36518446      68.528596     0.36518446      68.528596     0.36518446
            1.8      102.58764     0.43863039      102.58764     0.43863039      102.58764     0.43863039
            2.4      126.13155      0.6835883      126.13155      0.6835883      126.13155      0.6835883
            2.7       136.0321     0.70560555       136.0321     0.70560555       136.0321     0.70560555
              3       88.11527      0.5655355       88.11527      0.5655355       88.11527      0.5655355
            3.3      33.191323     0.22574148      33.191323     0.22574148      33.191323     0.22574148
              4      7.7252089     0.09155677      7.7252089     0.09155677      7.7252089     0.09155677
              5      7.7252089     0.09155677      7.7252089     0.09155677      7.7252089     0.09155677
