#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      92.360273     0.39808441      92.360273     0.39808441      92.360273     0.39808441
              1      272.53374     0.67767321      272.53374     0.67767321      272.53374     0.67767321
              2      439.47982      0.8536011      439.47982      0.8536011      439.47982      0.8536011
              3      586.00758      0.9888258      586.00758      0.9888258      586.00758      0.9888258
              4      708.12121      1.0678266      708.12121      1.0678266      708.12121      1.0678266
              5      795.36967      1.1244638      795.36967      1.1244638      795.36967      1.1244638
              6      863.29481       1.162482      863.29481       1.162482      863.29481       1.162482
              7      904.87468      1.1831355      904.87468      1.1831355      904.87468      1.1831355
              8       927.6908      1.1902507       927.6908      1.1902507       927.6908      1.1902507
              9      932.44764      1.1873031      932.44764      1.1873031      932.44764      1.1873031
             10      928.11602      1.1802214      928.11602      1.1802214      928.11602      1.1802214
             11      910.58676      1.1606191      910.58676      1.1606191      910.58676      1.1606191
             12      887.64772      1.1462955      887.64772      1.1462955      887.64772      1.1462955
             13      856.80524      1.1112577      856.80524      1.1112577      856.80524      1.1112577
             14      824.66972      1.0832357      824.66972      1.0832357      824.66972      1.0832357
             15      793.03582      1.0554719      793.03582      1.0554719      793.03582      1.0554719
             16      757.76864       1.031962      757.76864       1.031962      757.76864       1.031962
             17      723.50726      1.0031407      723.50726      1.0031407      723.50726      1.0031407
             18      688.44783     0.97755901      688.44783     0.97755901      688.44783     0.97755901
             19      655.05225     0.94809889      655.05225     0.94809889      655.05225     0.94809889
             20      621.96113      0.9253321      621.96113      0.9253321      621.96113      0.9253321
             21      592.59088     0.89419302      592.59088     0.89419302      592.59088     0.89419302
             22      563.21471     0.86811024      563.21471     0.86811024      563.21471     0.86811024
             23      533.02595     0.84422263      533.02595     0.84422263      533.02595     0.84422263
             24      504.79831     0.81822041      504.79831     0.81822041      504.79831     0.81822041
             25      480.12562     0.79805846      480.12562     0.79805846      480.12562     0.79805846
             26      455.64385     0.77471017      455.64385     0.77471017      455.64385     0.77471017
             27      430.79935     0.75123011      430.79935     0.75123011      430.79935     0.75123011
             28      409.04265     0.73045619      409.04265     0.73045619      409.04265     0.73045619
             29      389.11892     0.71453182      389.11892     0.71453182      389.11892     0.71453182
             30      369.54089     0.69010186      369.54089     0.69010186      369.54089     0.69010186
             31      351.39385     0.67257531      351.39385     0.67257531      351.39385     0.67257531
             32      334.51738     0.65362923      334.51738     0.65362923      334.51738     0.65362923
             33      318.15756      0.6413118      318.15756      0.6413118      318.15756      0.6413118
             34      301.70762     0.62053466      301.70762     0.62053466      301.70762     0.62053466
             35      287.58559     0.60450801      287.58559     0.60450801      287.58559     0.60450801
             36      273.79945     0.58970187      273.79945     0.58970187      273.79945     0.58970187
             37      260.57478     0.57395257      260.57478     0.57395257      260.57478     0.57395257
             38      248.38072     0.56279422      248.38072     0.56279422      248.38072     0.56279422
             39      237.42231     0.54880328      237.42231     0.54880328      237.42231     0.54880328
             40      226.74021      0.5316099      226.74021      0.5316099      226.74021      0.5316099
             41      216.45961     0.52796257      216.45961     0.52796257      216.45961     0.52796257
             42      205.69716     0.50835482      205.69716     0.50835482      205.69716     0.50835482
             43      196.82939     0.49855042      196.82939     0.49855042      196.82939     0.49855042
             44      188.31372     0.48466674      188.31372     0.48466674      188.31372     0.48466674
             45      180.12288     0.47298828      180.12288     0.47298828      180.12288     0.47298828
             46      172.71563     0.46306147      172.71563     0.46306147      172.71563     0.46306147
             47      164.61547     0.45080006      164.61547     0.45080006      164.61547     0.45080006
             48      157.49705     0.44609455      157.49705     0.44609455      157.49705     0.44609455
             49      151.10153      0.4308644      151.10153      0.4308644      151.10153      0.4308644
             50      151.10153      0.4308644      151.10153      0.4308644      151.10153      0.4308644
