#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      52.272555     0.12165594      52.272555     0.12165594      52.272555     0.12165594
              5      158.77928     0.21045675      158.77928     0.21045675      158.77928     0.21045675
             10      273.63017     0.27397907      273.63017     0.27397907      273.63017     0.27397907
             15      395.37125     0.32707919      395.37125     0.32707919      395.37125     0.32707919
             20      515.19947     0.37171729      515.19947     0.37171729      515.19947     0.37171729
             25      618.95381     0.40786539      618.95381     0.40786539      618.95381     0.40786539
             30      684.96798     0.43090429      684.96798     0.43090429      684.96798     0.43090429
             35       668.7369     0.42972523       668.7369     0.42972523       668.7369     0.42972523
             40      551.52136     0.38806537      551.52136     0.38806537      551.52136     0.38806537
             45       409.1637     0.32983323       409.1637     0.32983323       409.1637     0.32983323
             50      299.88078     0.28092357      299.88078     0.28092357      299.88078     0.28092357
             55      223.77905     0.23924767      223.77905     0.23924767      223.77905     0.23924767
             60      170.60504     0.20905203      170.60504     0.20905203      170.60504     0.20905203
             65      132.81489     0.18305068      132.81489     0.18305068      132.81489     0.18305068
             70      104.41553     0.16259852      104.41553     0.16259852      104.41553     0.16259852
             75      83.412976      0.1442022      83.412976      0.1442022      83.412976      0.1442022
             80      67.560729     0.12951961      67.560729     0.12951961      67.560729     0.12951961
             85      54.812737     0.11714831      54.812737     0.11714831      54.812737     0.11714831
             90      45.039088      0.1055595      45.039088      0.1055595      45.039088      0.1055595
             95      37.468194    0.096866145      37.468194    0.096866145      37.468194    0.096866145
            100      31.162836    0.088225503      31.162836    0.088225503      31.162836    0.088225503
            105      26.155791    0.080657415      26.155791    0.080657415      26.155791    0.080657415
            110      21.969374    0.073559153      21.969374    0.073559153      21.969374    0.073559153
            115      18.713623    0.068276889      18.713623    0.068276889      18.713623    0.068276889
            120      16.056609    0.063017995      16.056609    0.063017995      16.056609    0.063017995
            125      13.771647    0.058441227      13.771647    0.058441227      13.771647    0.058441227
            130      11.827355    0.054031229      11.827355    0.054031229      11.827355    0.054031229
            135      10.382884    0.050502399      10.382884    0.050502399      10.382884    0.050502399
            140       8.929503    0.046843115       8.929503    0.046843115       8.929503    0.046843115
            145      7.8619815    0.046360417      7.8619815    0.046360417      7.8619815    0.046360417
            150      6.7837575    0.041098759      6.7837575    0.041098759      6.7837575    0.041098759
            155      5.9762605    0.038511809      5.9762605    0.038511809      5.9762605    0.038511809
            160      5.2874861     0.03600216      5.2874861     0.03600216      5.2874861     0.03600216
            165      4.5840329    0.033810922      4.5840329    0.033810922      4.5840329    0.033810922
            170      4.1878597    0.033141389      4.1878597    0.033141389      4.1878597    0.033141389
            175      3.6939287    0.037019683      3.6939287    0.037019683      3.6939287    0.037019683
            180      3.2462955    0.028695421      3.2462955    0.028695421      3.2462955    0.028695421
            185      2.9256328     0.02700385      2.9256328     0.02700385      2.9256328     0.02700385
            190      2.5891337    0.025516501      2.5891337    0.025516501      2.5891337    0.025516501
            195      2.3544604    0.025146695      2.3544604    0.025146695      2.3544604    0.025146695
            200      2.0934777    0.022918474      2.0934777    0.022918474      2.0934777    0.022918474
            205      1.8914744     0.02195509      1.8914744     0.02195509      1.8914744     0.02195509
            210       1.720811    0.021044438       1.720811    0.021044438       1.720811    0.021044438
            215      1.5235905    0.019931894      1.5235905    0.019931894      1.5235905    0.019931894
            220      1.3934854    0.018782839      1.3934854    0.018782839      1.3934854    0.018782839
            225      1.2546173    0.017902377      1.2546173    0.017902377      1.2546173    0.017902377
            230      1.1210018    0.016786816      1.1210018    0.016786816      1.1210018    0.016786816
            235      1.0570029    0.016209217      1.0570029    0.016209217      1.0570029    0.016209217
            240     0.97568953    0.015916355     0.97568953    0.015916355     0.97568953    0.015916355
            245      0.8722874    0.014635495      0.8722874    0.014635495      0.8722874    0.014635495
            250     0.78992208    0.014376247     0.78992208    0.014376247     0.78992208    0.014376247
            255     0.73682021    0.013756066     0.73682021    0.013756066     0.73682021    0.013756066
            260      0.6536018    0.012831026      0.6536018    0.012831026      0.6536018    0.012831026
            265     0.61349151     0.01308525     0.61349151     0.01308525     0.61349151     0.01308525
            270      0.5666544    0.012110662      0.5666544    0.012110662      0.5666544    0.012110662
            275     0.50539562    0.011302629     0.50539562    0.011302629     0.50539562    0.011302629
            280     0.47292583    0.011323336     0.47292583    0.011323336     0.47292583    0.011323336
            285     0.43066056    0.010561909     0.43066056    0.010561909     0.43066056    0.010561909
            290     0.41690853    0.010587518     0.41690853    0.010587518     0.41690853    0.010587518
            295     0.37440627   0.0097349393     0.37440627   0.0097349393     0.37440627   0.0097349393
            300     0.34748641    0.010114468     0.34748641    0.010114468     0.34748641    0.010114468
            305     0.32785345   0.0094238902     0.32785345   0.0094238902     0.32785345   0.0094238902
            310     0.29346159    0.009297239     0.29346159    0.009297239     0.29346159    0.009297239
            315     0.27219825   0.0083501143     0.27219825   0.0083501143     0.27219825   0.0083501143
            320     0.25982534   0.0081947356     0.25982534   0.0081947356     0.25982534   0.0081947356
            325     0.25052572   0.0079757355     0.25052572   0.0079757355     0.25052572   0.0079757355
            330     0.22129642   0.0084687416     0.22129642   0.0084687416     0.22129642   0.0084687416
            335     0.19685962   0.0078573984     0.19685962   0.0078573984     0.19685962   0.0078573984
            340     0.20431124   0.0074066112     0.20431124   0.0074066112     0.20431124   0.0074066112
            345     0.18765262   0.0068944596     0.18765262   0.0068944596     0.18765262   0.0068944596
            350     0.16765203   0.0065671683     0.16765203   0.0065671683     0.16765203   0.0065671683
            355     0.15364384   0.0063222219     0.15364384   0.0063222219     0.15364384   0.0063222219
            360      0.1352713   0.0059027654      0.1352713   0.0059027654      0.1352713   0.0059027654
            365     0.14388124   0.0060657953     0.14388124   0.0060657953     0.14388124   0.0060657953
            370     0.12301663   0.0055976136     0.12301663   0.0055976136     0.12301663   0.0055976136
            375     0.12145466     0.00570912     0.12145466     0.00570912     0.12145466     0.00570912
            380     0.11915254   0.0060092249     0.11915254   0.0060092249     0.11915254   0.0060092249
            385    0.096344516   0.0052564439    0.096344516   0.0052564439    0.096344516   0.0052564439
            390     0.09231754   0.0048949865     0.09231754   0.0048949865     0.09231754   0.0048949865
            395    0.084314954   0.0047750083    0.084314954   0.0047750083    0.084314954   0.0047750083
            400    0.082524414   0.0047140773    0.082524414   0.0047140773    0.082524414   0.0047140773
            405    0.081248923   0.0048146069    0.081248923   0.0048146069    0.081248923   0.0048146069
            410    0.079877273   0.0044196889    0.079877273   0.0044196889    0.079877273   0.0044196889
            415    0.076941782   0.0045811456    0.076941782   0.0045811456    0.076941782   0.0045811456
            420    0.063412128   0.0039462763    0.063412128   0.0039462763    0.063412128   0.0039462763
            425     0.06586978   0.0041302686     0.06586978   0.0041302686     0.06586978   0.0041302686
            430    0.070049054    0.004155527    0.070049054    0.004155527    0.070049054    0.004155527
            435     0.06015001   0.0039423026     0.06015001   0.0039423026     0.06015001   0.0039423026
            440    0.054571963   0.0038202843    0.054571963   0.0038202843    0.054571963   0.0038202843
            445    0.046963416   0.0035593384    0.046963416   0.0035593384    0.046963416   0.0035593384
            450    0.048235632   0.0034736283    0.048235632   0.0034736283    0.048235632   0.0034736283
            455    0.041921489   0.0034300678    0.041921489   0.0034300678    0.041921489   0.0034300678
            460    0.038795155   0.0031976824    0.038795155   0.0031976824    0.038795155   0.0031976824
            465    0.041837241   0.0034616492    0.041837241   0.0034616492    0.041837241   0.0034616492
            470    0.035749966   0.0029669324    0.035749966   0.0029669324    0.035749966   0.0029669324
            475    0.034526366   0.0028978301    0.034526366   0.0028978301    0.034526366   0.0028978301
            480    0.028035721    0.003352763    0.028035721    0.003352763    0.028035721    0.003352763
            485    0.031020458   0.0030256064    0.031020458   0.0030256064    0.031020458   0.0030256064
            490    0.025646054   0.0026557445    0.025646054   0.0026557445    0.025646054   0.0026557445
            495    0.027068897   0.0026847281    0.027068897   0.0026847281    0.027068897   0.0026847281
            500    0.027068897   0.0026847281    0.027068897   0.0026847281    0.027068897   0.0026847281
