#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      562.16421      3.0753075      562.16421      3.0753075      562.16421      3.0753075
           -4.9      661.94474      3.3007875      661.94474      3.3007875      661.94474      3.3007875
           -4.8      762.23066      3.5419352      762.23066      3.5419352      762.23066      3.5419352
           -4.7      878.09096      3.8056188      878.09096      3.8056188      878.09096      3.8056188
           -4.6      995.53769      4.0157027      995.53769      4.0157027      995.53769      4.0157027
           -4.5       1118.042      4.4303938       1118.042      4.4303938       1118.042      4.4303938
           -4.4      1260.1555      4.4912011      1260.1555      4.4912011      1260.1555      4.4912011
           -4.3      1396.9776      4.7153554      1396.9776      4.7153554      1396.9776      4.7153554
           -4.2      1549.2962      4.9264495      1549.2962      4.9264495      1549.2962      4.9264495
           -4.1      1689.1533      5.1363729      1689.1533      5.1363729      1689.1533      5.1363729
             -4      1841.9124      5.4017813      1841.9124      5.4017813      1841.9124      5.4017813
           -3.9      1995.0034      5.5248083      1995.0034      5.5248083      1995.0034      5.5248083
           -3.8      2127.1038      5.6518507      2127.1038      5.6518507      2127.1038      5.6518507
           -3.7       2264.515      5.8148983       2264.515      5.8148983       2264.515      5.8148983
           -3.6       2399.181      5.9511115       2399.181      5.9511115       2399.181      5.9511115
           -3.5      2512.8629      6.0722725      2512.8629      6.0722725      2512.8629      6.0722725
           -3.4      2642.8983       6.191163      2642.8983       6.191163      2642.8983       6.191163
           -3.3      2748.0748      6.2868848      2748.0748      6.2868848      2748.0748      6.2868848
           -3.2      2843.3314      6.3691439      2843.3314      6.3691439      2843.3314      6.3691439
           -3.1      2946.1875      6.5438001      2946.1875      6.5438001      2946.1875      6.5438001
             -3      3014.8531      6.5249797      3014.8531      6.5249797      3014.8531      6.5249797
           -2.9      3101.7529      6.6018838      3101.7529      6.6018838      3101.7529      6.6018838
           -2.8      3170.4438      6.6429843      3170.4438      6.6429843      3170.4438      6.6429843
           -2.7      3222.5171      6.6930311      3222.5171      6.6930311      3222.5171      6.6930311
           -2.6      3281.7562      6.7176866      3281.7562      6.7176866      3281.7562      6.7176866
           -2.5      3338.0799      6.7911248      3338.0799      6.7911248      3338.0799      6.7911248
           -2.4      3376.3363      6.8216946      3376.3363      6.8216946      3376.3363      6.8216946
           -2.3      3418.9443      6.8241382      3418.9443      6.8241382      3418.9443      6.8241382
           -2.2      3452.3013      6.8717151      3452.3013      6.8717151      3452.3013      6.8717151
           -2.1      3488.5034      6.9098327      3488.5034      6.9098327      3488.5034      6.9098327
