#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100       339.9234     0.32296158       339.9234     0.32296158       339.9234     0.32296158
            105      346.49926     0.31977552      346.49926     0.31977552      346.49926     0.31977552
            110      327.49561     0.30556773      327.49561     0.30556773      327.49561     0.30556773
            115      299.96238     0.28976999      299.96238     0.28976999      299.96238     0.28976999
            120      271.07028     0.27409166      271.07028     0.27409166      271.07028     0.27409166
            125      244.21628     0.25844718      244.21628     0.25844718      244.21628     0.25844718
            130      219.89522     0.24369034      219.89522     0.24369034      219.89522     0.24369034
            135      198.94873     0.23097066      198.94873     0.23097066      198.94873     0.23097066
            140      179.71107     0.21899761      179.71107     0.21899761      179.71107     0.21899761
            145      163.41838     0.20882188      163.41838     0.20882188      163.41838     0.20882188
            150      148.88211     0.19868426      148.88211     0.19868426      148.88211     0.19868426
            155      136.72343     0.18972175      136.72343     0.18972175      136.72343     0.18972175
            160      125.57545     0.18220571      125.57545     0.18220571      125.57545     0.18220571
            165      115.76025     0.17440787      115.76025     0.17440787      115.76025     0.17440787
            170      106.88055     0.16711069      106.88055     0.16711069      106.88055     0.16711069
            175      99.469245     0.16097914      99.469245     0.16097914      99.469245     0.16097914
            180      92.131545     0.15482895      92.131545     0.15482895      92.131545     0.15482895
            185      86.169772     0.15028736      86.169772     0.15028736      86.169772     0.15028736
            190      80.267361     0.14608911      80.267361     0.14608911      80.267361     0.14608911
            195      75.562069     0.14004742      75.562069     0.14004742      75.562069     0.14004742
            200      70.912005     0.13531677      70.912005     0.13531677      70.912005     0.13531677
            205      66.554469      0.1311476      66.554469      0.1311476      66.554469      0.1311476
            210      62.802397     0.12694914      62.802397     0.12694914      62.802397     0.12694914
            215       59.08757     0.12379173       59.08757     0.12379173       59.08757     0.12379173
            220      55.811212     0.11983499      55.811212     0.11983499      55.811212     0.11983499
            225      52.725777     0.11719034      52.725777     0.11719034      52.725777     0.11719034
            230       50.06456     0.11394258       50.06456     0.11394258       50.06456     0.11394258
            235      47.586086     0.11020891      47.586086     0.11020891      47.586086     0.11020891
            240      45.076199     0.10765226      45.076199     0.10765226      45.076199     0.10765226
            245      42.651055      0.1044891      42.651055      0.1044891      42.651055      0.1044891
            250      42.651055      0.1044891      42.651055      0.1044891      42.651055      0.1044891
