#pt_bb-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      418.89559     0.36574757      418.89559     0.36574757      418.89559     0.36574757
              5      882.69592     0.50283142      882.69592     0.50283142      882.69592     0.50283142
             10      878.97016     0.48765622      878.97016     0.48765622      878.97016     0.48765622
             15      720.99345     0.43290024      720.99345     0.43290024      720.99345     0.43290024
             20      560.74746     0.37791882      560.74746     0.37791882      560.74746     0.37791882
             25      430.86647     0.32937153      430.86647     0.32937153      430.86647     0.32937153
             30      333.19352     0.28766169      333.19352     0.28766169      333.19352     0.28766169
             35      259.87125     0.25347782      259.87125     0.25347782      259.87125     0.25347782
             40      205.35721     0.22496145      205.35721     0.22496145      205.35721     0.22496145
             45      163.93425     0.20005143      163.93425     0.20005143      163.93425     0.20005143
             50      132.37794     0.17918047      132.37794     0.17918047      132.37794     0.17918047
             55      108.34379      0.1616193      108.34379      0.1616193      108.34379      0.1616193
             60      88.838836     0.14616534      88.838836     0.14616534      88.838836     0.14616534
             65      73.768604     0.13351005      73.768604     0.13351005      73.768604     0.13351005
             70      61.786881     0.12182176      61.786881     0.12182176      61.786881     0.12182176
             75      52.307517     0.11356485      52.307517     0.11356485      52.307517     0.11356485
             80      44.367372     0.10314688      44.367372     0.10314688      44.367372     0.10314688
             85      37.883114    0.095030165      37.883114    0.095030165      37.883114    0.095030165
             90      32.557836    0.088584227      32.557836    0.088584227      32.557836    0.088584227
             95      28.248223    0.082137719      28.248223    0.082137719      28.248223    0.082137719
            100      24.452996    0.076351231      24.452996    0.076351231      24.452996    0.076351231
            105      21.340341     0.07161696      21.340341     0.07161696      21.340341     0.07161696
            110      18.577332    0.066808021      18.577332    0.066808021      18.577332    0.066808021
            115      16.446215    0.062687124      16.446215    0.062687124      16.446215    0.062687124
            120      14.458028    0.058701525      14.458028    0.058701525      14.458028    0.058701525
            125      12.801405    0.055540214      12.801405    0.055540214      12.801405    0.055540214
            130      11.425428    0.052232927      11.425428    0.052232927      11.425428    0.052232927
            135      10.064932    0.049148576      10.064932    0.049148576      10.064932    0.049148576
            140      8.9284895    0.046601113      8.9284895    0.046601113      8.9284895    0.046601113
            145      8.0068348    0.044122764      8.0068348    0.044122764      8.0068348    0.044122764
            150      7.2257822    0.042600588      7.2257822    0.042600588      7.2257822    0.042600588
            155      6.4737427    0.040472457      6.4737427    0.040472457      6.4737427    0.040472457
            160      5.8139937    0.037716028      5.8139937    0.037716028      5.8139937    0.037716028
            165      5.2447381     0.03579712      5.2447381     0.03579712      5.2447381     0.03579712
            170      4.7625981    0.038311088      4.7625981    0.038311088      4.7625981    0.038311088
            175      4.2646162    0.032666725      4.2646162    0.032666725      4.2646162    0.032666725
            180      3.9181646    0.030866734      3.9181646    0.030866734      3.9181646    0.030866734
            185      3.5473452    0.029873273      3.5473452    0.029873273      3.5473452    0.029873273
            190      3.2274599    0.030764151      3.2274599    0.030764151      3.2274599    0.030764151
            195       2.903858    0.026716167       2.903858    0.026716167       2.903858    0.026716167
            200      2.6919664    0.025680757      2.6919664    0.025680757      2.6919664    0.025680757
            205      2.4464142    0.024562098      2.4464142    0.024562098      2.4464142    0.024562098
            210      2.2245323     0.02351439      2.2245323     0.02351439      2.2245323     0.02351439
            215      2.0412709    0.022441749      2.0412709    0.022441749      2.0412709    0.022441749
            220      1.8862072    0.022101182      1.8862072    0.022101182      1.8862072    0.022101182
            225      1.7210817    0.020661876      1.7210817    0.020661876      1.7210817    0.020661876
            230      1.6018271    0.021873674      1.6018271    0.021873674      1.6018271    0.021873674
            235      1.5061216    0.019565779      1.5061216    0.019565779      1.5061216    0.019565779
            240      1.3558454    0.018320401      1.3558454    0.018320401      1.3558454    0.018320401
            245      1.2890849    0.018009844      1.2890849    0.018009844      1.2890849    0.018009844
            250       1.145547    0.016927033       1.145547    0.016927033       1.145547    0.016927033
            255      1.0575577    0.016404237      1.0575577    0.016404237      1.0575577    0.016404237
            260      1.0106767    0.016905958      1.0106767    0.016905958      1.0106767    0.016905958
            265      0.9295746    0.015434669      0.9295746    0.015434669      0.9295746    0.015434669
            270     0.85840957    0.014923192     0.85840957    0.014923192     0.85840957    0.014923192
            275     0.80964091    0.015504728     0.80964091    0.015504728     0.80964091    0.015504728
            280     0.74398554     0.01403651     0.74398554     0.01403651     0.74398554     0.01403651
            285     0.68288056    0.013305066     0.68288056    0.013305066     0.68288056    0.013305066
            290      0.6335218    0.013154868      0.6335218    0.013154868      0.6335218    0.013154868
            295     0.61434197    0.012700302     0.61434197    0.012700302     0.61434197    0.012700302
            300     0.56956228    0.012115341     0.56956228    0.012115341     0.56956228    0.012115341
            305     0.51062438    0.011582996     0.51062438    0.011582996     0.51062438    0.011582996
            310     0.46890062    0.011485473     0.46890062    0.011485473     0.46890062    0.011485473
            315     0.45325309    0.011684507     0.45325309    0.011684507     0.45325309    0.011684507
            320     0.41281549    0.010355197     0.41281549    0.010355197     0.41281549    0.010355197
            325     0.39046333    0.010246215     0.39046333    0.010246215     0.39046333    0.010246215
            330     0.36484497    0.010140723     0.36484497    0.010140723     0.36484497    0.010140723
            335      0.3341024   0.0094886792      0.3341024   0.0094886792      0.3341024   0.0094886792
            340     0.32443038   0.0094778581     0.32443038   0.0094778581     0.32443038   0.0094778581
            345      0.2886173   0.0089292105      0.2886173   0.0089292105      0.2886173   0.0089292105
            350      0.2795888    0.008644407      0.2795888    0.008644407      0.2795888    0.008644407
            355     0.26121004    0.008823056     0.26121004    0.008823056     0.26121004    0.008823056
            360     0.24749816   0.0086502567     0.24749816   0.0086502567     0.24749816   0.0086502567
            365      0.2209218   0.0075799387      0.2209218   0.0075799387      0.2209218   0.0075799387
            370     0.21877784   0.0081165417     0.21877784   0.0081165417     0.21877784   0.0081165417
            375     0.20090239   0.0076813566     0.20090239   0.0076813566     0.20090239   0.0076813566
            380     0.18766408   0.0069991096     0.18766408   0.0069991096     0.18766408   0.0069991096
            385     0.18616757   0.0069392044     0.18616757   0.0069392044     0.18616757   0.0069392044
            390     0.15751287   0.0064963287     0.15751287   0.0064963287     0.15751287   0.0064963287
            395     0.15960446   0.0066429288     0.15960446   0.0066429288     0.15960446   0.0066429288
            400     0.15626763    0.006597753     0.15626763    0.006597753     0.15626763    0.006597753
            405     0.14337187   0.0064362485     0.14337187   0.0064362485     0.14337187   0.0064362485
            410     0.13307502   0.0061813943     0.13307502   0.0061813943     0.13307502   0.0061813943
            415     0.12531546   0.0062596703     0.12531546   0.0062596703     0.12531546   0.0062596703
            420     0.12066307    0.005701597     0.12066307    0.005701597     0.12066307    0.005701597
            425     0.11288003   0.0057089914     0.11288003   0.0057089914     0.11288003   0.0057089914
            430      0.1038697   0.0056184853      0.1038697   0.0056184853      0.1038697   0.0056184853
            435     0.10988791    0.012742911     0.10988791    0.012742911     0.10988791    0.012742911
            440    0.083788165    0.004861693    0.083788165    0.004861693    0.083788165    0.004861693
            445    0.091072922   0.0050643627    0.091072922   0.0050643627    0.091072922   0.0050643627
            450    0.089038079   0.0056677127    0.089038079   0.0056677127    0.089038079   0.0056677127
            455    0.083092159    0.010427405    0.083092159    0.010427405    0.083092159    0.010427405
            460    0.079184884    0.004813492    0.079184884    0.004813492    0.079184884    0.004813492
            465     0.07070166   0.0045349317     0.07070166   0.0045349317     0.07070166   0.0045349317
            470    0.066840713   0.0042661707    0.066840713   0.0042661707    0.066840713   0.0042661707
            475     0.06428313   0.0041964732     0.06428313   0.0041964732     0.06428313   0.0041964732
            480    0.058045043   0.0038977788    0.058045043   0.0038977788    0.058045043   0.0038977788
            485    0.059230563   0.0072480132    0.059230563   0.0072480132    0.059230563   0.0072480132
            490    0.050496102   0.0037028915    0.050496102   0.0037028915    0.050496102   0.0037028915
            495    0.050177882   0.0039383459    0.050177882   0.0039383459    0.050177882   0.0039383459
            500    0.050723364   0.0037415303    0.050723364   0.0037415303    0.050723364   0.0037415303
            505    0.044605221   0.0036563551    0.044605221   0.0036563551    0.044605221   0.0036563551
            510    0.044068744   0.0040653272    0.044068744   0.0040653272    0.044068744   0.0040653272
            515    0.040377787   0.0034980732    0.040377787   0.0034980732    0.040377787   0.0034980732
            520    0.038673043   0.0033686435    0.038673043   0.0033686435    0.038673043   0.0033686435
            525     0.03466215    0.003062276     0.03466215    0.003062276     0.03466215    0.003062276
            530    0.030832325   0.0030161161    0.030832325   0.0030161161    0.030832325   0.0030161161
            535    0.033289685   0.0032402855    0.033289685   0.0032402855    0.033289685   0.0032402855
            540    0.031729793   0.0030177832    0.031729793   0.0030177832    0.031729793   0.0030177832
            545    0.031710798   0.0029736458    0.031710798   0.0029736458    0.031710798   0.0029736458
            550     0.03204821   0.0039843622     0.03204821   0.0039843622     0.03204821   0.0039843622
            555    0.025307771   0.0027886716    0.025307771   0.0027886716    0.025307771   0.0027886716
            560    0.024270499   0.0029067437    0.024270499   0.0029067437    0.024270499   0.0029067437
            565    0.023392808   0.0033802496    0.023392808   0.0033802496    0.023392808   0.0033802496
            570    0.020926817   0.0027019844    0.020926817   0.0027019844    0.020926817   0.0027019844
            575    0.020189813   0.0024727818    0.020189813   0.0024727818    0.020189813   0.0024727818
            580    0.020123135   0.0025812941    0.020123135   0.0025812941    0.020123135   0.0025812941
            585    0.020079733   0.0024054755    0.020079733   0.0024054755    0.020079733   0.0024054755
            590    0.016873018   0.0021718508    0.016873018   0.0021718508    0.016873018   0.0021718508
            595    0.017743536   0.0023168695    0.017743536   0.0023168695    0.017743536   0.0023168695
            600    0.015828585   0.0022758922    0.015828585   0.0022758922    0.015828585   0.0022758922
            605    0.016366194   0.0023864874    0.016366194   0.0023864874    0.016366194   0.0023864874
            610    0.015626588   0.0023724141    0.015626588   0.0023724141    0.015626588   0.0023724141
            615    0.016662086   0.0031239983    0.016662086   0.0031239983    0.016662086   0.0031239983
            620    0.012787193   0.0019948883    0.012787193   0.0019948883    0.012787193   0.0019948883
            625    0.013837259   0.0019504444    0.013837259   0.0019504444    0.013837259   0.0019504444
            630    0.015577507   0.0022653387    0.015577507   0.0022653387    0.015577507   0.0022653387
            635    0.011967593   0.0019601194    0.011967593   0.0019601194    0.011967593   0.0019601194
            640    0.012002169   0.0019922145    0.012002169   0.0019922145    0.012002169   0.0019922145
            645    0.010819879    0.002055386    0.010819879    0.002055386    0.010819879    0.002055386
            650    0.010559657   0.0019320021    0.010559657   0.0019320021    0.010559657   0.0019320021
            655    0.007410353    0.001801274    0.007410353    0.001801274    0.007410353    0.001801274
            660   0.0083994151   0.0016294762   0.0083994151   0.0016294762   0.0083994151   0.0016294762
            665   0.0074640065   0.0017730076   0.0074640065   0.0017730076   0.0074640065   0.0017730076
            670   0.0047664674   0.0014249908   0.0047664674   0.0014249908   0.0047664674   0.0014249908
            675   0.0083654501   0.0017664842   0.0083654501   0.0017664842   0.0083654501   0.0017664842
            680   0.0056214436   0.0014937165   0.0056214436   0.0014937165   0.0056214436   0.0014937165
            685   0.0081700478   0.0016646561   0.0081700478   0.0016646561   0.0081700478   0.0016646561
            690   0.0073241908    0.001562851   0.0073241908    0.001562851   0.0073241908    0.001562851
            695   0.0060183911   0.0015257993   0.0060183911   0.0015257993   0.0060183911   0.0015257993
            700   0.0057144102   0.0012655071   0.0057144102   0.0012655071   0.0057144102   0.0012655071
            705   0.0057726869   0.0015299943   0.0057726869   0.0015299943   0.0057726869   0.0015299943
            710   0.0066952687   0.0014532825   0.0066952687   0.0014532825   0.0066952687   0.0014532825
            715    0.004772973   0.0011869823    0.004772973   0.0011869823    0.004772973   0.0011869823
            720   0.0059958665   0.0015786515   0.0059958665   0.0015786515   0.0059958665   0.0015786515
            725   0.0090979904   0.0015889203   0.0090979904   0.0015889203   0.0090979904   0.0015889203
            730   0.0058673959   0.0013274471   0.0058673959   0.0013274471   0.0058673959   0.0013274471
            735   0.0058104357   0.0014186007   0.0058104357   0.0014186007   0.0058104357   0.0014186007
            740   0.0056048204   0.0013041708   0.0056048204   0.0013041708   0.0056048204   0.0013041708
            745   0.0051114213   0.0011183843   0.0051114213   0.0011183843   0.0051114213   0.0011183843
            750   0.0031208712   0.0011470776   0.0031208712   0.0011470776   0.0031208712   0.0011470776
            755   0.0053562608   0.0012527671   0.0053562608   0.0012527671   0.0053562608   0.0012527671
            760   0.0041911097   0.0013097369   0.0041911097   0.0013097369   0.0041911097   0.0013097369
            765   0.0040042926   0.0011223418   0.0040042926   0.0011223418   0.0040042926   0.0011223418
            770   0.0033024293  0.00095214206   0.0033024293  0.00095214206   0.0033024293  0.00095214206
            775   0.0013670016  0.00074331827   0.0013670016  0.00074331827   0.0013670016  0.00074331827
            780   0.0042754977   0.0010705743   0.0042754977   0.0010705743   0.0042754977   0.0010705743
            785   0.0048663084    0.001089757   0.0048663084    0.001089757   0.0048663084    0.001089757
            790   0.0026326932   0.0010478051   0.0026326932   0.0010478051   0.0026326932   0.0010478051
            795   0.0017344484  0.00074470653   0.0017344484  0.00074470653   0.0017344484  0.00074470653
            800   0.0021841908  0.00081072087   0.0021841908  0.00081072087   0.0021841908  0.00081072087
            805   0.0018796312  0.00083405017   0.0018796312  0.00083405017   0.0018796312  0.00083405017
            810   0.0024268935   0.0009754127   0.0024268935   0.0009754127   0.0024268935   0.0009754127
            815   0.0022413545    0.001021753   0.0022413545    0.001021753   0.0022413545    0.001021753
            820    0.003129946  0.00093839997    0.003129946  0.00093839997    0.003129946  0.00093839997
            825   0.0024459969  0.00092127815   0.0024459969  0.00092127815   0.0024459969  0.00092127815
            830   0.0019613864  0.00098859478   0.0019613864  0.00098859478   0.0019613864  0.00098859478
            835   0.0024262703  0.00084531762   0.0024262703  0.00084531762   0.0024262703  0.00084531762
            840   0.0019263975  0.00084686809   0.0019263975  0.00084686809   0.0019263975  0.00084686809
