# total-CMS-1bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2257.5123      1.6080756      2257.5123      1.6080756      2257.5123      1.6080756
              1      2257.5123      1.6080756      2257.5123      1.6080756      2257.5123      1.6080756
