#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      345.98873     0.76423863      345.98873     0.76423863      345.98873     0.76423863
              1      967.46055      1.2444671      967.46055      1.2444671      967.46055      1.2444671
              2      1405.6919      1.4812623      1405.6919      1.4812623      1405.6919      1.4812623
              3       1645.171      1.5823724       1645.171      1.5823724       1645.171      1.5823724
              4      1724.6124      1.6036322      1724.6124      1.6036322      1724.6124      1.6036322
              5      1699.9434      1.5751267      1699.9434      1.5751267      1699.9434      1.5751267
              6      1613.6558      1.5159146      1613.6558      1.5159146      1613.6558      1.5159146
              7      1502.6919      1.4533026      1502.6919      1.4533026      1502.6919      1.4533026
              8      1381.3877      1.3842316      1381.3877      1.3842316      1381.3877      1.3842316
              9      1257.9989      1.3132645      1257.9989      1.3132645      1257.9989      1.3132645
             10      1147.8748      1.2488765      1147.8748      1.2488765      1147.8748      1.2488765
             11      1039.0753      1.1868441      1039.0753      1.1868441      1039.0753      1.1868441
             12       943.4324      1.1289154       943.4324      1.1289154       943.4324      1.1289154
             13      853.61121      1.0659059      853.61121      1.0659059      853.61121      1.0659059
             14      776.74709      1.0137031      776.74709      1.0137031      776.74709      1.0137031
             15      707.48996     0.96335865      707.48996     0.96335865      707.48996     0.96335865
             16      645.66207     0.91895687      645.66207     0.91895687      645.66207     0.91895687
             17      590.07058     0.87445773      590.07058     0.87445773      590.07058     0.87445773
             18       539.0124     0.83578031       539.0124     0.83578031       539.0124     0.83578031
             19      492.45777     0.79765927      492.45777     0.79765927      492.45777     0.79765927
             20       453.9982     0.76382524       453.9982     0.76382524       453.9982     0.76382524
             21      417.59512     0.72979279      417.59512     0.72979279      417.59512     0.72979279
             22      385.28288     0.70095814      385.28288     0.70095814      385.28288     0.70095814
             23      354.72857     0.67189294      354.72857     0.67189294      354.72857     0.67189294
             24      327.61938     0.64752823      327.61938     0.64752823      327.61938     0.64752823
             25      304.04816     0.62035254      304.04816     0.62035254      304.04816     0.62035254
             26      283.17073     0.59975284      283.17073     0.59975284      283.17073     0.59975284
             27      263.41086      0.5741918      263.41086      0.5741918      263.41086      0.5741918
             28      244.96079     0.55582973      244.96079     0.55582973      244.96079     0.55582973
             29      228.82026      0.5334384      228.82026      0.5334384      228.82026      0.5334384
             30      211.81859     0.51333194      211.81859     0.51333194      211.81859     0.51333194
             31      198.60144     0.49696087      198.60144     0.49696087      198.60144     0.49696087
             32      186.33538     0.48172987      186.33538     0.48172987      186.33538     0.48172987
             33      173.51767     0.46429245      173.51767     0.46429245      173.51767     0.46429245
             34      163.49264     0.45049005      163.49264     0.45049005      163.49264     0.45049005
             35      153.79616     0.44463113      153.79616     0.44463113      153.79616     0.44463113
             36      144.83348     0.42259998      144.83348     0.42259998      144.83348     0.42259998
             37       135.9236     0.40906492       135.9236     0.40906492       135.9236     0.40906492
             38      128.22661      0.4026473      128.22661      0.4026473      128.22661      0.4026473
             39       120.0969     0.38372016       120.0969     0.38372016       120.0969     0.38372016
             40      114.26116     0.37397496      114.26116     0.37397496      114.26116     0.37397496
             41      107.77891     0.36899678      107.77891     0.36899678      107.77891     0.36899678
             42      100.82584     0.35254359      100.82584     0.35254359      100.82584     0.35254359
             43      96.493179     0.34594111      96.493179     0.34594111      96.493179     0.34594111
             44      91.257235     0.33329529      91.257235     0.33329529      91.257235     0.33329529
             45      86.992621     0.32574132      86.992621     0.32574132      86.992621     0.32574132
             46      81.749526     0.31574078      81.749526     0.31574078      81.749526     0.31574078
             47       78.00923     0.30980491       78.00923     0.30980491       78.00923     0.30980491
             48      74.463063      0.3008532      74.463063      0.3008532      74.463063      0.3008532
             49      70.865726     0.29522415      70.865726     0.29522415      70.865726     0.29522415
             50      70.865726     0.29522415      70.865726     0.29522415      70.865726     0.29522415
