# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      312.83109      1.1912047      312.83109      1.1912047      312.83109      1.1912047
     0.31415927      337.38969      1.1983314      337.38969      1.1983314      337.38969      1.1983314
     0.62831853      351.92619      1.2096359      351.92619      1.2096359      351.92619      1.2096359
      0.9424778      374.43497      1.2663008      374.43497      1.2663008      374.43497      1.2663008
      1.2566371      416.46364      1.3153416      416.46364      1.3153416      416.46364      1.3153416
      1.5707963      501.86432      1.4577095      501.86432      1.4577095      501.86432      1.4577095
      1.8849556      637.40608      1.6645784      637.40608      1.6645784      637.40608      1.6645784
      2.1991149      866.21187      1.9207616      866.21187      1.9207616      866.21187      1.9207616
      2.5132741      1249.4504      2.3321111      1249.4504      2.3321111      1249.4504      2.3321111
      2.8274334      1757.4809      2.7652486      1757.4809      2.7652486      1757.4809      2.7652486
      3.1415927      1757.4809      2.7652486      1757.4809      2.7652486      1757.4809      2.7652486
