#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60      26.221334     0.19305578      26.221334     0.19305578      26.221334     0.19305578
             61      28.792328     0.20262116      28.792328     0.20262116      28.792328     0.20262116
             62       31.99005     0.21210147       31.99005     0.21210147       31.99005     0.21210147
             63      36.143673     0.22595115      36.143673     0.22595115      36.143673     0.22595115
             64      40.826207     0.24087355      40.826207     0.24087355      40.826207     0.24087355
             65      46.179559     0.25952452      46.179559     0.25952452      46.179559     0.25952452
             66      53.118053     0.27353403      53.118053     0.27353403      53.118053     0.27353403
             67      61.982549     0.29428267      61.982549     0.29428267      61.982549     0.29428267
             68      71.944399     0.33572258      71.944399     0.33572258      71.944399     0.33572258
             69      84.741203     0.35036743      84.741203     0.35036743      84.741203     0.35036743
             70       103.0345     0.38028707       103.0345     0.38028707       103.0345     0.38028707
             71      125.29894     0.41997749      125.29894     0.41997749      125.29894     0.41997749
             72      159.38367     0.47707814      159.38367     0.47707814      159.38367     0.47707814
             73      206.67785     0.53736828      206.67785     0.53736828      206.67785     0.53736828
             74      279.68261     0.62467694      279.68261     0.62467694      279.68261     0.62467694
             75       400.4593      0.7482491       400.4593      0.7482491       400.4593      0.7482491
             76      615.58628     0.92880443      615.58628     0.92880443      615.58628     0.92880443
             77      1063.6371       1.213333      1063.6371       1.213333      1063.6371       1.213333
             78      2177.5934      1.7070003      2177.5934      1.7070003      2177.5934      1.7070003
             79      5311.7913      2.5647395      5311.7913      2.5647395      5311.7913      2.5647395
             80      8241.5144      3.0635288      8241.5144      3.0635288      8241.5144      3.0635288
             81      4311.9232      2.3387999      4311.9232      2.3387999      4311.9232      2.3387999
             82      1791.2969      1.5528912      1791.2969      1.5528912      1791.2969      1.5528912
             83      903.37385      1.1103479      903.37385      1.1103479      903.37385      1.1103479
             84      533.96868     0.86136115      533.96868     0.86136115      533.96868     0.86136115
             85      350.38963     0.69660172      350.38963     0.69660172      350.38963     0.69660172
             86      246.62976     0.58539276      246.62976     0.58539276      246.62976     0.58539276
             87       181.7505     0.50245946       181.7505     0.50245946       181.7505     0.50245946
             88      139.76564     0.44546007      139.76564     0.44546007      139.76564     0.44546007
             89      110.30379     0.40006748      110.30379     0.40006748      110.30379     0.40006748
             90      89.447059     0.35552059      89.447059     0.35552059      89.447059     0.35552059
             91      73.396531      0.3207475      73.396531      0.3207475      73.396531      0.3207475
             92       61.40382     0.29055329       61.40382     0.29055329       61.40382     0.29055329
             93      52.160952      0.2683616      52.160952      0.2683616      52.160952      0.2683616
             94      45.162603     0.25150095      45.162603     0.25150095      45.162603     0.25150095
             95      39.276489     0.23156473      39.276489     0.23156473      39.276489     0.23156473
             96      34.092661     0.21685301      34.092661     0.21685301      34.092661     0.21685301
             97      29.842257     0.20790488      29.842257     0.20790488      29.842257     0.20790488
             98      26.447357     0.19102847      26.447357     0.19102847      26.447357     0.19102847
             99      23.846537     0.18088646      23.846537     0.18088646      23.846537     0.18088646
            100      21.198111     0.17106831      21.198111     0.17106831      21.198111     0.17106831
            101      19.250769     0.16380707      19.250769     0.16380707      19.250769     0.16380707
            102      17.565799     0.15483452      17.565799     0.15483452      17.565799     0.15483452
            103      16.189224     0.14792965      16.189224     0.14792965      16.189224     0.14792965
            104       14.53276     0.14082188       14.53276     0.14082188       14.53276     0.14082188
            105      13.672987     0.13734156      13.672987     0.13734156      13.672987     0.13734156
            106       12.28153     0.12920092       12.28153     0.12920092       12.28153     0.12920092
            107        11.2141     0.12312028        11.2141     0.12312028        11.2141     0.12312028
            108      10.280394     0.11783241      10.280394     0.11783241      10.280394     0.11783241
            109      9.7058092     0.11504436      9.7058092     0.11504436      9.7058092     0.11504436
            110      8.8317516      0.1098511      8.8317516      0.1098511      8.8317516      0.1098511
            111      8.3370364     0.10773542      8.3370364     0.10773542      8.3370364     0.10773542
            112      7.8692868     0.10292806      7.8692868     0.10292806      7.8692868     0.10292806
            113      7.3906737     0.10195091      7.3906737     0.10195091      7.3906737     0.10195091
            114      6.9367073    0.096114976      6.9367073    0.096114976      6.9367073    0.096114976
            115      6.4559509    0.094851731      6.4559509    0.094851731      6.4559509    0.094851731
            116      6.0148754    0.090355552      6.0148754    0.090355552      6.0148754    0.090355552
            117      5.7865765     0.08796366      5.7865765     0.08796366      5.7865765     0.08796366
            118      5.3019914    0.084275071      5.3019914    0.084275071      5.3019914    0.084275071
            119      5.0857036    0.083754036      5.0857036    0.083754036      5.0857036    0.083754036
            120      5.0857036    0.083754036      5.0857036    0.083754036      5.0857036    0.083754036
