# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      68.139502     0.30024401      68.139502     0.30024401      68.139502     0.30024401
              1      211.78457     0.67887282      211.78457     0.67887282      211.78457     0.67887282
            1.6      345.89222      1.0437775      345.89222      1.0437775      345.89222      1.0437775
              2      527.24431       1.274927      527.24431       1.274927      527.24431       1.274927
            2.4      748.64974      2.1237883      748.64974      2.1237883      748.64974      2.1237883
            2.6      989.64267      2.4219863      989.64267      2.4219863      989.64267      2.4219863
            2.8      1364.4301      2.8495921      1364.4301      2.8495921      1364.4301      2.8495921
              3      1793.7965       3.246905      1793.7965       3.246905      1793.7965       3.246905
            3.2      1031.0673      2.4760284      1031.0673      2.4760284      1031.0673      2.4760284
            3.4      683.24168      2.0211831      683.24168      2.0211831      683.24168      2.0211831
            3.6      435.45071      1.1493545      435.45071      1.1493545      435.45071      1.1493545
              4      252.49718     0.87019281      252.49718     0.87019281      252.49718     0.87019281
            4.4      125.64098     0.50011566      125.64098     0.50011566      125.64098     0.50011566
              5      47.551623     0.31595943      47.551623     0.31595943      47.551623     0.31595943
            5.6      47.551623     0.31595943      47.551623     0.31595943      47.551623     0.31595943
