#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      16.956985    0.049292875      16.956985    0.049292875      16.956985    0.049292875
             60      48.193935    0.083071762      48.193935    0.083071762      48.193935    0.083071762
             70      1044.3145     0.33545667      1044.3145     0.33545667      1044.3145     0.33545667
             80      1681.0916     0.38198126      1681.0916     0.38198126      1681.0916     0.38198126
             90      47.507627    0.080976866      47.507627    0.080976866      47.507627    0.080976866
            100      14.589148    0.044611013      14.589148    0.044611013      14.589148    0.044611013
            110      6.8010554    0.030460476      6.8010554    0.030460476      6.8010554    0.030460476
            120      3.8438591     0.02277582      3.8438591     0.02277582      3.8438591     0.02277582
            130      2.3864209    0.018077659      2.3864209    0.018077659      2.3864209    0.018077659
            140      1.5814163    0.014621468      1.5814163    0.014621468      1.5814163    0.014621468
            150      1.5814163    0.014621468      1.5814163    0.014621468      1.5814163    0.014621468
