# m_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            150     0.81534949   0.0043385148     0.81534949   0.0043385148     0.81534949   0.0043385148
            200      1.1269627   0.0049879459      1.1269627   0.0049879459      1.1269627   0.0049879459
            250     0.91311888   0.0044824601     0.91311888   0.0044824601     0.91311888   0.0044824601
            300     0.66910817    0.003857212     0.66910817    0.003857212     0.66910817    0.003857212
            350     0.47656258   0.0032228105     0.47656258   0.0032228105     0.47656258   0.0032228105
            400     0.34285631   0.0027266863     0.34285631   0.0027266863     0.34285631   0.0027266863
            450     0.24471344    0.002322043     0.24471344    0.002322043     0.24471344    0.002322043
            500     0.15563077   0.0013327077     0.15563077   0.0013327077     0.15563077   0.0013327077
            600     0.15563077   0.0013327077     0.15563077   0.0013327077     0.15563077   0.0013327077
