#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      24.273987     0.61162445      24.273987     0.61162445      24.273987     0.61162445
           -4.9       27.07826     0.71219165       27.07826     0.71219165       27.07826     0.71219165
           -4.8      32.429087     0.69381472      32.429087     0.69381472      32.429087     0.69381472
           -4.7      37.994249     0.74827032      37.994249     0.74827032      37.994249     0.74827032
           -4.6      43.738626     0.80758568      43.738626     0.80758568      43.738626     0.80758568
           -4.5      50.080161     0.85723978      50.080161     0.85723978      50.080161     0.85723978
           -4.4      57.251395     0.93569588      57.251395     0.93569588      57.251395     0.93569588
           -4.3        68.7952      1.0109189        68.7952      1.0109189        68.7952      1.0109189
           -4.2      77.789035      1.0582013      77.789035      1.0582013      77.789035      1.0582013
           -4.1      87.257184      1.1395539      87.257184      1.1395539      87.257184      1.1395539
             -4      100.59865      1.2185837      100.59865      1.2185837      100.59865      1.2185837
           -3.9       116.6256      1.3229345       116.6256      1.3229345       116.6256      1.3229345
           -3.8      131.12521      1.4038565      131.12521      1.4038565      131.12521      1.4038565
           -3.7      146.71418      1.4723658      146.71418      1.4723658      146.71418      1.4723658
           -3.6      165.22978      1.5923283      165.22978      1.5923283      165.22978      1.5923283
           -3.5      190.15825      1.6884031      190.15825      1.6884031      190.15825      1.6884031
           -3.4      208.93109       1.767761      208.93109       1.767761      208.93109       1.767761
           -3.3      240.43863      1.8886685      240.43863      1.8886685      240.43863      1.8886685
           -3.2      264.66209      2.3758873      264.66209      2.3758873      264.66209      2.3758873
           -3.1      299.30145      2.1030834      299.30145      2.1030834      299.30145      2.1030834
             -3      337.78588      2.2950727      337.78588      2.2950727      337.78588      2.2950727
           -2.9      377.46434      2.3621953      377.46434      2.3621953      377.46434      2.3621953
           -2.8      425.48526      2.5107908      425.48526      2.5107908      425.48526      2.5107908
           -2.7      482.71208      2.6579936      482.71208      2.6579936      482.71208      2.6579936
           -2.6      537.74283      2.9621036      537.74283      2.9621036      537.74283      2.9621036
           -2.5      612.78261      3.1424153      612.78261      3.1424153      612.78261      3.1424153
           -2.4      686.29003      3.1686827      686.29003      3.1686827      686.29003      3.1686827
           -2.3      779.93205      3.4219492      779.93205      3.4219492      779.93205      3.4219492
           -2.2      890.25476      3.6054056      890.25476      3.6054056      890.25476      3.6054056
