# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 200
             -8              0              0              0              0              0              0
           -7.9    0.010141494    0.010140988    0.010141494    0.010140988    0.010141494    0.010140988
           -7.8    0.023769158    0.016834845    0.023769158    0.016834845    0.023769158    0.016834845
           -7.7              0              0              0              0              0              0
           -7.6              0              0              0              0              0              0
           -7.5    0.024479173    0.017535728    0.024479173    0.017535728    0.024479173    0.017535728
           -7.4  -0.0094060407    0.036423468  -0.0094060407    0.036423468  -0.0094060407    0.036423468
           -7.3    0.011421622    0.011421051    0.011421622    0.011421051    0.011421622    0.011421051
           -7.2    0.057434658    0.025760969    0.057434658    0.025760969    0.057434658    0.025760969
           -7.1    0.023417807    0.025715919    0.023417807    0.025715919    0.023417807    0.025715919
             -7    0.088304611    0.041057878    0.088304611    0.041057878    0.088304611    0.041057878
           -6.9      0.1094477    0.036558265      0.1094477    0.036558265      0.1094477    0.036558265
           -6.8     0.10265946    0.038618107     0.10265946    0.038618107     0.10265946    0.038618107
           -6.7     0.19457075    0.052215882     0.19457075    0.052215882     0.19457075    0.052215882
           -6.6      0.1331717    0.047696658      0.1331717    0.047696658      0.1331717    0.047696658
           -6.5     0.11682957    0.051987487     0.11682957    0.051987487     0.11682957    0.051987487
           -6.4      0.2719256    0.062712907      0.2719256    0.062712907      0.2719256    0.062712907
           -6.3     0.32257997    0.061246557     0.32257997    0.061246557     0.32257997    0.061246557
           -6.2     0.45460637    0.073115741     0.45460637    0.073115741     0.45460637    0.073115741
           -6.1     0.42601654    0.075646524     0.42601654    0.075646524     0.42601654    0.075646524
             -6     0.56523689    0.086453611     0.56523689    0.086453611     0.56523689    0.086453611
           -5.9     0.73731574    0.094308793     0.73731574    0.094308793     0.73731574    0.094308793
           -5.8     0.69245597     0.10150708     0.69245597     0.10150708     0.69245597     0.10150708
           -5.7      0.8817256     0.11068161      0.8817256     0.11068161      0.8817256     0.11068161
           -5.6      1.1564301      0.1730314      1.1564301      0.1730314      1.1564301      0.1730314
           -5.5      1.2442162     0.12842574      1.2442162     0.12842574      1.2442162     0.12842574
           -5.4      1.4004146     0.13267023      1.4004146     0.13267023      1.4004146     0.13267023
           -5.3      2.4037113     0.20880021      2.4037113     0.20880021      2.4037113     0.20880021
           -5.2      1.8634973       0.161237      1.8634973       0.161237      1.8634973       0.161237
           -5.1      2.5858309      0.1853263      2.5858309      0.1853263      2.5858309      0.1853263
             -5      3.0488824     0.20495772      3.0488824     0.20495772      3.0488824     0.20495772
           -4.9      3.6186375     0.21656371      3.6186375     0.21656371      3.6186375     0.21656371
           -4.8      3.4786522     0.21690271      3.4786522     0.21690271      3.4786522     0.21690271
           -4.7      4.4281597     0.24544769      4.4281597     0.24544769      4.4281597     0.24544769
           -4.6      5.7905937     0.27909436      5.7905937     0.27909436      5.7905937     0.27909436
           -4.5       5.875167     0.28822277       5.875167     0.28822277       5.875167     0.28822277
           -4.4      6.3919174     0.31060223      6.3919174     0.31060223      6.3919174     0.31060223
           -4.3      6.9822204     0.31747065      6.9822204     0.31747065      6.9822204     0.31747065
           -4.2      8.3334489     0.33343333      8.3334489     0.33343333      8.3334489     0.33343333
