# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      2511.6667      3.1579397      2511.6667      3.1579397      2511.6667      3.1579397
     0.31415927      2697.1905      3.2571597      2697.1905      3.2571597      2697.1905      3.2571597
     0.62831853      2844.5617       3.351906      2844.5617       3.351906      2844.5617       3.351906
      0.9424778      3043.9893      3.4773383      3043.9893      3.4773383      3043.9893      3.4773383
      1.2566371       3411.191       3.696745       3411.191       3.696745       3411.191       3.696745
      1.5707963      4000.1247      4.0197621      4000.1247      4.0197621      4000.1247      4.0197621
      1.8849556      4866.1654      4.4421227      4866.1654      4.4421227      4866.1654      4.4421227
      2.1991149      6090.4379      4.9483408      6090.4379      4.9483408      6090.4379      4.9483408
      2.5132741      7581.6382      5.5292995      7581.6382      5.5292995      7581.6382      5.5292995
      2.8274334      8914.9529      5.9703732      8914.9529      5.9703732      8914.9529      5.9703732
      3.1415927      8914.9529      5.9703732      8914.9529      5.9703732      8914.9529      5.9703732
