#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      34.886182     0.25555522      34.886182     0.25555522      34.886182     0.25555522
              1      104.10832     0.43462604      104.10832     0.43462604      104.10832     0.43462604
              2      171.67683     0.55474887      171.67683     0.55474887      171.67683     0.55474887
              3      235.09985     0.65598598      235.09985     0.65598598      235.09985     0.65598598
              4      292.28176     0.72943268      292.28176     0.72943268      292.28176     0.72943268
              5      345.85099     0.77390981      345.85099     0.77390981      345.85099     0.77390981
              6      393.77451     0.81948574      393.77451     0.81948574      393.77451     0.81948574
              7      432.47147      0.8555462      432.47147      0.8555462      432.47147      0.8555462
              8      466.94253     0.88169693      466.94253     0.88169693      466.94253     0.88169693
              9      493.81703     0.89569425      493.81703     0.89569425      493.81703     0.89569425
             10      515.93671      0.9083224      515.93671      0.9083224      515.93671      0.9083224
             11      532.95017     0.91625064      532.95017     0.91625064      532.95017     0.91625064
             12      543.33615     0.92285328      543.33615     0.92285328      543.33615     0.92285328
             13      553.22426     0.92202249      553.22426     0.92202249      553.22426     0.92202249
             14      557.57257     0.92184169      557.57257     0.92184169      557.57257     0.92184169
             15      559.05492     0.92047974      559.05492     0.92047974      559.05492     0.92047974
             16      559.91671     0.91163628      559.91671     0.91163628      559.91671     0.91163628
             17      557.08313     0.90707787      557.08313     0.90707787      557.08313     0.90707787
             18      551.85949     0.89798789      551.85949     0.89798789      551.85949     0.89798789
             19       544.6552     0.89262179       544.6552     0.89262179       544.6552     0.89262179
             20      538.08831     0.88044599      538.08831     0.88044599      538.08831     0.88044599
             21      530.17242     0.87297141      530.17242     0.87297141      530.17242     0.87297141
             22      521.67232     0.86098595      521.67232     0.86098595      521.67232     0.86098595
             23      513.54712      0.8485399      513.54712      0.8485399      513.54712      0.8485399
             24      501.44588     0.83633259      501.44588     0.83633259      501.44588     0.83633259
             25      489.91205     0.83673707      489.91205     0.83673707      489.91205     0.83673707
             26      478.72122     0.81472224      478.72122     0.81472224      478.72122     0.81472224
             27      468.46246     0.80197771      468.46246     0.80197771      468.46246     0.80197771
             28      457.18865     0.79154819      457.18865     0.79154819      457.18865     0.79154819
             29      446.67459     0.77963777      446.67459     0.77963777      446.67459     0.77963777
             30      435.38051     0.77146576      435.38051     0.77146576      435.38051     0.77146576
             31      423.16471     0.75501956      423.16471     0.75501956      423.16471     0.75501956
             32      412.60434     0.74429511      412.60434     0.74429511      412.60434     0.74429511
             33      401.46101     0.73466699      401.46101     0.73466699      401.46101     0.73466699
             34      389.77749     0.72509018      389.77749     0.72509018      389.77749     0.72509018
             35      379.61692     0.71060936      379.61692     0.71060936      379.61692     0.71060936
             36      367.61721     0.69738225      367.61721     0.69738225      367.61721     0.69738225
             37      356.68595     0.68683454      356.68595     0.68683454      356.68595     0.68683454
             38      348.75166     0.67885172      348.75166     0.67885172      348.75166     0.67885172
             39      336.80092      0.6709153      336.80092      0.6709153      336.80092      0.6709153
             40      328.18141     0.65676831      328.18141     0.65676831      328.18141     0.65676831
             41      318.47338     0.64565903      318.47338     0.64565903      318.47338     0.64565903
             42      309.30825     0.63610566      309.30825     0.63610566      309.30825     0.63610566
             43      300.66147     0.62562814      300.66147     0.62562814      300.66147     0.62562814
             44      291.98425     0.61496674      291.98425     0.61496674      291.98425     0.61496674
             45      282.37276     0.60614723      282.37276     0.60614723      282.37276     0.60614723
             46      274.63665     0.59463841      274.63665     0.59463841      274.63665     0.59463841
             47      266.04296     0.58687517      266.04296     0.58687517      266.04296     0.58687517
             48      258.01869     0.57898721      258.01869     0.57898721      258.01869     0.57898721
             49      251.11829     0.56838323      251.11829     0.56838323      251.11829     0.56838323
             50      251.11829     0.56838323      251.11829     0.56838323      251.11829     0.56838323
