#    pt_j2-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      499.50197     0.88385204      499.50197     0.88385204      499.50197     0.88385204
              1      874.90764      1.1665315      874.90764      1.1665315      874.90764      1.1665315
              2      1125.0017      1.3148962      1125.0017      1.3148962      1125.0017      1.3148962
              3      1232.9896      1.3584369      1232.9896      1.3584369      1232.9896      1.3584369
              4      1249.7253      1.3527696      1249.7253      1.3527696      1249.7253      1.3527696
              5      1196.7554      1.3177906      1196.7554      1.3177906      1196.7554      1.3177906
              6      1136.1847      1.2678866      1136.1847      1.2678866      1136.1847      1.2678866
              7      1062.7523      1.2167092      1062.7523      1.2167092      1062.7523      1.2167092
              8      989.69349      1.1673853      989.69349      1.1673853      989.69349      1.1673853
              9      918.04364        1.12125      918.04364        1.12125      918.04364        1.12125
             10      847.74105      1.0723516      847.74105      1.0723516      847.74105      1.0723516
             11      785.36786      1.0290152      785.36786      1.0290152      785.36786      1.0290152
             12      725.14611     0.99161504      725.14611     0.99161504      725.14611     0.99161504
             13      669.96534     0.94480878      669.96534     0.94480878      669.96534     0.94480878
             14      620.65935     0.90847444      620.65935     0.90847444      620.65935     0.90847444
             15      576.59073     0.87270942      576.59073     0.87270942      576.59073     0.87270942
             16      533.93238     0.83789915      533.93238     0.83789915      533.93238     0.83789915
             17      496.07328     0.81049736      496.07328     0.81049736      496.07328     0.81049736
             18      461.04153     0.77809124      461.04153     0.77809124      461.04153     0.77809124
             19      430.06594     0.75097665      430.06594     0.75097665      430.06594     0.75097665
             20      399.65592     0.72291105      399.65592     0.72291105      399.65592     0.72291105
             21      372.30222     0.69630031      372.30222     0.69630031      372.30222     0.69630031
             22      349.77089     0.67325744      349.77089     0.67325744      349.77089     0.67325744
             23      324.74435     0.65203903      324.74435     0.65203903      324.74435     0.65203903
             24      305.81245     0.62912462      305.81245     0.62912462      305.81245     0.62912462
             25       284.6321     0.60673489       284.6321     0.60673489       284.6321     0.60673489
             26      268.36727     0.58850908      268.36727     0.58850908      268.36727     0.58850908
             27      251.25356      0.5714009      251.25356      0.5714009      251.25356      0.5714009
             28      237.68852     0.55241904      237.68852     0.55241904      237.68852     0.55241904
             29      222.58157     0.53655212      222.58157     0.53655212      222.58157     0.53655212
             30      210.02985     0.51965548      210.02985     0.51965548      210.02985     0.51965548
             31      197.41719     0.50280314      197.41719     0.50280314      197.41719     0.50280314
             32      186.59803     0.48909292      186.59803     0.48909292      186.59803     0.48909292
             33      176.10053     0.47540943      176.10053     0.47540943      176.10053     0.47540943
             34      166.22623     0.46125311      166.22623     0.46125311      166.22623     0.46125311
             35      157.38886     0.44892807      157.38886     0.44892807      157.38886     0.44892807
             36      148.41939     0.43556633      148.41939     0.43556633      148.41939     0.43556633
             37      141.86144     0.42468975      141.86144     0.42468975      141.86144     0.42468975
             38      134.47649     0.41702896      134.47649     0.41702896      134.47649     0.41702896
             39      127.86988     0.40421177      127.86988     0.40421177      127.86988     0.40421177
             40      121.97564     0.39404898      121.97564     0.39404898      121.97564     0.39404898
             41      114.17838     0.38166986      114.17838     0.38166986      114.17838     0.38166986
             42      108.66774       0.375878      108.66774       0.375878      108.66774       0.375878
             43      104.78848     0.36552526      104.78848     0.36552526      104.78848     0.36552526
             44      99.180527     0.35582621      99.180527     0.35582621      99.180527     0.35582621
             45      94.076863     0.34778337      94.076863     0.34778337      94.076863     0.34778337
             46      90.278111     0.33846201      90.278111     0.33846201      90.278111     0.33846201
             47      85.687549     0.33066753      85.687549     0.33066753      85.687549     0.33066753
             48      82.004378     0.32378927      82.004378     0.32378927      82.004378     0.32378927
             49      77.677307     0.31472401      77.677307     0.31472401      77.677307     0.31472401
             50      77.677307     0.31472401      77.677307     0.31472401      77.677307     0.31472401
