#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      462.29294      2.7726429      462.29294      2.7726429      462.29294      2.7726429
           -4.9      522.09296      2.9465994      522.09296      2.9465994      522.09296      2.9465994
           -4.8      588.93665      3.1140828      588.93665      3.1140828      588.93665      3.1140828
           -4.7      660.36132       3.276389      660.36132       3.276389      660.36132       3.276389
           -4.6      736.38832        3.49475      736.38832        3.49475      736.38832        3.49475
           -4.5      815.93626      3.6612207      815.93626      3.6612207      815.93626      3.6612207
           -4.4      906.94016      3.8016132      906.94016      3.8016132      906.94016      3.8016132
           -4.3      1005.7536      3.9948022      1005.7536      3.9948022      1005.7536      3.9948022
           -4.2      1101.7158      4.1871776      1101.7158      4.1871776      1101.7158      4.1871776
           -4.1       1204.454      4.3738708       1204.454      4.3738708       1204.454      4.3738708
             -4       1316.448      4.5646928       1316.448      4.5646928       1316.448      4.5646928
           -3.9      1425.3585      4.6817729      1425.3585      4.6817729      1425.3585      4.6817729
           -3.8      1537.4537      4.8750767      1537.4537      4.8750767      1537.4537      4.8750767
           -3.7      1664.8297      5.2053271      1664.8297      5.2053271      1664.8297      5.2053271
           -3.6      1803.0857      5.1951695      1803.0857      5.1951695      1803.0857      5.1951695
           -3.5      1922.1521      5.3710856      1922.1521      5.3710856      1922.1521      5.3710856
           -3.4      2058.4322      5.5829567      2058.4322      5.5829567      2058.4322      5.5829567
           -3.3      2186.4233      5.6697388      2186.4233      5.6697388      2186.4233      5.6697388
           -3.2      2305.0539      5.8172371      2305.0539      5.8172371      2305.0539      5.8172371
           -3.1      2452.7103      5.9471702      2452.7103      5.9471702      2452.7103      5.9471702
             -3      2563.6522        6.07607      2563.6522        6.07607      2563.6522        6.07607
           -2.9      2700.7966        6.20333      2700.7966        6.20333      2700.7966        6.20333
           -2.8      2841.1081      6.3594061      2841.1081      6.3594061      2841.1081      6.3594061
           -2.7      2968.9286      6.4562934      2968.9286      6.4562934      2968.9286      6.4562934
           -2.6      3084.6049      6.5895695      3084.6049      6.5895695      3084.6049      6.5895695
           -2.5      3211.6805       6.703976      3211.6805       6.703976      3211.6805       6.703976
           -2.4      3337.6871      6.8232344      3337.6871      6.8232344      3337.6871      6.8232344
           -2.3      3459.6587      6.9087338      3459.6587      6.9087338      3459.6587      6.9087338
           -2.2      3531.2805      6.9750212      3531.2805      6.9750212      3531.2805      6.9750212
           -2.1      3652.1976      7.1007082      3652.1976      7.1007082      3652.1976      7.1007082
             -2      3754.7783      7.1481728      3754.7783      7.1481728      3754.7783      7.1481728
           -1.9      3837.0302      7.2082076      3837.0302      7.2082076      3837.0302      7.2082076
           -1.8      3918.7987      7.2927275      3918.7987      7.2927275      3918.7987      7.2927275
           -1.7      4001.0533      7.3792483      4001.0533      7.3792483      4001.0533      7.3792483
           -1.6      4065.2485      7.4346743      4065.2485      7.4346743      4065.2485      7.4346743
           -1.5      4117.6083      7.4235234      4117.6083      7.4235234      4117.6083      7.4235234
           -1.4      4176.3935      7.4822944      4176.3935      7.4822944      4176.3935      7.4822944
           -1.3      4222.0118      7.4750659      4222.0118      7.4750659      4222.0118      7.4750659
           -1.2      4237.0975      7.4989767      4237.0975      7.4989767      4237.0975      7.4989767
           -1.1      4277.8795      7.5189802      4277.8795      7.5189802      4277.8795      7.5189802
             -1      4297.8261      7.5589732      4297.8261      7.5589732      4297.8261      7.5589732
           -0.9      4313.8252      7.5614707      4313.8252      7.5614707      4313.8252      7.5614707
           -0.8      4313.0076      7.5369192      4313.0076      7.5369192      4313.0076      7.5369192
           -0.7      4320.9866      7.5536172      4320.9866      7.5536172      4320.9866      7.5536172
           -0.6      4324.8124      7.4998636      4324.8124      7.4998636      4324.8124      7.4998636
           -0.5      4312.4159      7.5086792      4312.4159      7.5086792      4312.4159      7.5086792
           -0.4      4315.8991      7.5228317      4315.8991      7.5228317      4315.8991      7.5228317
           -0.3      4291.5865      7.5078229      4291.5865      7.5078229      4291.5865      7.5078229
           -0.2      4286.6618       7.462021      4286.6618       7.462021      4286.6618       7.462021
           -0.1      4279.8629      7.4508278      4279.8629      7.4508278      4279.8629      7.4508278
              0      4293.4401      7.5034308      4293.4401      7.5034308      4293.4401      7.5034308
            0.1      4289.9974      7.5614735      4289.9974      7.5614735      4289.9974      7.5614735
            0.2      4292.0398      7.4758358      4292.0398      7.4758358      4292.0398      7.4758358
            0.3      4310.7257      7.4989693      4310.7257      7.4989693      4310.7257      7.4989693
            0.4      4312.2937      7.5326184      4312.2937      7.5326184      4312.2937      7.5326184
            0.5      4309.0655       7.501926      4309.0655       7.501926      4309.0655       7.501926
            0.6      4302.6657      7.5358307      4302.6657      7.5358307      4302.6657      7.5358307
            0.7      4316.9369      7.5242658      4316.9369      7.5242658      4316.9369      7.5242658
            0.8      4311.3346      7.5157108      4311.3346      7.5157108      4311.3346      7.5157108
