#   y_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8    0.013301749    0.013301084    0.013301749    0.013301084    0.013301749    0.013301084
           -4.7     0.01248903    0.012488406     0.01248903    0.012488406     0.01248903    0.012488406
           -4.6     0.10156757    0.042484732     0.10156757    0.042484732     0.10156757    0.042484732
           -4.5     0.39633545    0.076107089     0.39633545    0.076107089     0.39633545    0.076107089
           -4.4      1.0857564     0.13645327      1.0857564     0.13645327      1.0857564     0.13645327
           -4.3       2.447049     0.20061758       2.447049     0.20061758       2.447049     0.20061758
           -4.2       5.260732     0.29418707       5.260732     0.29418707       5.260732     0.29418707
           -4.1      9.8464719     0.39290999      9.8464719     0.39290999      9.8464719     0.39290999
             -4      17.963311     0.52927383      17.963311     0.52927383      17.963311     0.52927383
           -3.9      28.401546     0.66441929      28.401546     0.66441929      28.401546     0.66441929
           -3.8       46.09766     0.84112254       46.09766     0.84112254       46.09766     0.84112254
           -3.7      69.579802      1.0262063      69.579802      1.0262063      69.579802      1.0262063
           -3.6      96.895014      1.1921832      96.895014      1.1921832      96.895014      1.1921832
           -3.5      131.95142      1.3869656      131.95142      1.3869656      131.95142      1.3869656
           -3.4      177.70002      1.6133101      177.70002      1.6133101      177.70002      1.6133101
           -3.3      228.83183       1.802433      228.83183       1.802433      228.83183       1.802433
           -3.2       276.7103      1.9827533       276.7103      1.9827533       276.7103      1.9827533
           -3.1      338.46333      2.1701696      338.46333      2.1701696      338.46333      2.1701696
             -3       404.6613      2.4528997       404.6613      2.4528997       404.6613      2.4528997
           -2.9      470.01161      2.5423053      470.01161      2.5423053      470.01161      2.5423053
           -2.8      541.01799      2.7134515      541.01799      2.7134515      541.01799      2.7134515
           -2.7      612.05596      2.8647668      612.05596      2.8647668      612.05596      2.8647668
           -2.6      684.54502       3.024844      684.54502       3.024844      684.54502       3.024844
           -2.5      749.20969      3.1947921      749.20969      3.1947921      749.20969      3.1947921
           -2.4      820.10986      3.2973995      820.10986      3.2973995      820.10986      3.2973995
           -2.3      894.28749       3.438867      894.28749       3.438867      894.28749       3.438867
           -2.2      946.33301      3.5238817      946.33301      3.5238817      946.33301      3.5238817
           -2.1      1014.5545      3.6503343      1014.5545      3.6503343      1014.5545      3.6503343
             -2      1070.3787      3.8875826      1070.3787      3.8875826      1070.3787      3.8875826
           -1.9      1110.9363      3.8148496      1110.9363      3.8148496      1110.9363      3.8148496
           -1.8      1163.5745      3.8679357      1163.5745      3.8679357      1163.5745      3.8679357
           -1.7      1207.3491      4.0117436      1207.3491      4.0117436      1207.3491      4.0117436
           -1.6      1250.0411      3.9992751      1250.0411      3.9992751      1250.0411      3.9992751
           -1.5      1288.4169      4.0542132      1288.4169      4.0542132      1288.4169      4.0542132
           -1.4      1308.4789      4.1245811      1308.4789      4.1245811      1308.4789      4.1245811
           -1.3      1335.5042       4.149587      1335.5042       4.149587      1335.5042       4.149587
           -1.2      1363.6346       4.175896      1363.6346       4.175896      1363.6346       4.175896
           -1.1      1387.0448      4.2176207      1387.0448      4.2176207      1387.0448      4.2176207
             -1      1401.0009      4.2198582      1401.0009      4.2198582      1401.0009      4.2198582
           -0.9      1414.3142      4.3882178      1414.3142      4.3882178      1414.3142      4.3882178
           -0.8      1426.4129      4.2497862      1426.4129      4.2497862      1426.4129      4.2497862
           -0.7      1443.3827      4.2835171      1443.3827      4.2835171      1443.3827      4.2835171
           -0.6      1446.5137      4.2888429      1446.5137      4.2888429      1446.5137      4.2888429
           -0.5      1458.3614      4.3225031      1458.3614      4.3225031      1458.3614      4.3225031
           -0.4      1455.5348      4.2987118      1455.5348      4.2987118      1455.5348      4.2987118
           -0.3       1455.656      4.2842309       1455.656      4.2842309       1455.656      4.2842309
           -0.2      1463.8836      4.2939054      1463.8836      4.2939054      1463.8836      4.2939054
           -0.1      1465.1036      4.3278396      1465.1036      4.3278396      1465.1036      4.3278396
              0      1463.5375      4.3258709      1463.5375      4.3258709      1463.5375      4.3258709
            0.1      1470.1694      4.3240745      1470.1694      4.3240745      1470.1694      4.3240745
            0.2      1465.5139      4.2816411      1465.5139      4.2816411      1465.5139      4.2816411
