#    pt_j1-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      54.960544     0.29708869      54.960544     0.29708869      54.960544     0.29708869
              1       231.1158     0.62128456       231.1158     0.62128456       231.1158     0.62128456
              2       399.0531     0.83497453       399.0531     0.83497453       399.0531     0.83497453
              3      506.53536     0.93527576      506.53536     0.93527576      506.53536     0.93527576
              4      567.23104     0.97401265      567.23104     0.97401265      567.23104     0.97401265
              5      593.96379     0.99185391      593.96379     0.99185391      593.96379     0.99185391
              6      606.89075     0.98366355      606.89075     0.98366355      606.89075     0.98366355
              7      607.78732     0.97573763      607.78732     0.97573763      607.78732     0.97573763
              8      605.40312     0.96651932      605.40312     0.96651932      605.40312     0.96651932
              9      597.16727     0.95230453      597.16727     0.95230453      597.16727     0.95230453
             10      585.83273       0.947664      585.83273       0.947664      585.83273       0.947664
             11      575.37788     0.92086271      575.37788     0.92086271      575.37788     0.92086271
             12      562.97635      0.9068226      562.97635      0.9068226      562.97635      0.9068226
             13      551.72042     0.89288031      551.72042     0.89288031      551.72042     0.89288031
             14      538.46619     0.88021628      538.46619     0.88021628      538.46619     0.88021628
             15      524.61418     0.86518724      524.61418     0.86518724      524.61418     0.86518724
             16      512.77479       0.851643      512.77479       0.851643      512.77479       0.851643
             17      497.29763     0.83683216      497.29763     0.83683216      497.29763     0.83683216
             18      484.49129     0.82501416      484.49129     0.82501416      484.49129     0.82501416
             19      473.46507     0.81336156      473.46507     0.81336156      473.46507     0.81336156
             20      461.79996      0.7982544      461.79996      0.7982544      461.79996      0.7982544
             21      449.01647     0.79347202      449.01647     0.79347202      449.01647     0.79347202
             22      437.57717     0.79040173      437.57717     0.79040173      437.57717     0.79040173
             23      425.64731      0.7621861      425.64731      0.7621861      425.64731      0.7621861
             24      413.85517     0.74883196      413.85517     0.74883196      413.85517     0.74883196
             25       403.5497      0.7371843       403.5497      0.7371843       403.5497      0.7371843
             26      392.71538     0.72865589      392.71538     0.72865589      392.71538     0.72865589
             27      381.74886     0.72043315      381.74886     0.72043315      381.74886     0.72043315
             28      372.40281     0.70946117      372.40281     0.70946117      372.40281     0.70946117
             29      361.18508     0.69635576      361.18508     0.69635576      361.18508     0.69635576
             30      352.15475     0.68727705      352.15475     0.68727705      352.15475     0.68727705
             31      342.66207     0.67498326      342.66207     0.67498326      342.66207     0.67498326
             32      333.52775     0.66577394      333.52775     0.66577394      333.52775     0.66577394
             33      325.16978     0.65715827      325.16978     0.65715827      325.16978     0.65715827
             34      316.20966     0.64709415      316.20966     0.64709415      316.20966     0.64709415
             35      307.95261     0.63857522      307.95261     0.63857522      307.95261     0.63857522
             36      299.59552     0.62934437      299.59552     0.62934437      299.59552     0.62934437
             37      291.61144     0.61865274      291.61144     0.61865274      291.61144     0.61865274
             38      283.95041     0.61146772      283.95041     0.61146772      283.95041     0.61146772
             39      276.45322     0.60282296      276.45322     0.60282296      276.45322     0.60282296
             40      268.23852     0.59536305      268.23852     0.59536305      268.23852     0.59536305
             41      261.47039     0.58967823      261.47039     0.58967823      261.47039     0.58967823
             42      254.94553     0.58302086      254.94553     0.58302086      254.94553     0.58302086
             43      248.38253     0.57032019      248.38253     0.57032019      248.38253     0.57032019
             44      241.75932     0.56257997      241.75932     0.56257997      241.75932     0.56257997
             45       235.1903     0.55213575       235.1903     0.55213575       235.1903     0.55213575
             46      228.78764     0.54808857      228.78764     0.54808857      228.78764     0.54808857
             47      223.09938     0.53943385      223.09938     0.53943385      223.09938     0.53943385
             48      216.56101     0.53545427      216.56101     0.53545427      216.56101     0.53545427
             49      211.35584     0.52608996      211.35584     0.52608996      211.35584     0.52608996
             50      211.35584     0.52608996      211.35584     0.52608996      211.35584     0.52608996
