#    pt_Z-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.20861613   0.0077083132     0.20861613   0.0077083132     0.20861613   0.0077083132
            420     0.18214767   0.0069297165     0.18214767   0.0069297165     0.18214767   0.0069297165
            425     0.19032387   0.0070462338     0.19032387   0.0070462338     0.19032387   0.0070462338
            430     0.17738303   0.0068207423     0.17738303   0.0068207423     0.17738303   0.0068207423
            435     0.15828571   0.0067597727     0.15828571   0.0067597727     0.15828571   0.0067597727
            440     0.16038318    0.006425049     0.16038318    0.006425049     0.16038318    0.006425049
            445      0.1378851   0.0060519833      0.1378851   0.0060519833      0.1378851   0.0060519833
            450     0.13732747   0.0058669288     0.13732747   0.0058669288     0.13732747   0.0058669288
            455     0.12578274    0.005731891     0.12578274    0.005731891     0.12578274    0.005731891
            460     0.11909323   0.0057034561     0.11909323   0.0057034561     0.11909323   0.0057034561
            465     0.12433765   0.0069386323     0.12433765   0.0069386323     0.12433765   0.0069386323
            470     0.12261884   0.0055730887     0.12261884   0.0055730887     0.12261884   0.0055730887
            475     0.10077011   0.0053211682     0.10077011   0.0053211682     0.10077011   0.0053211682
            480     0.10838291   0.0052850077     0.10838291   0.0052850077     0.10838291   0.0052850077
            485    0.085696059   0.0047498075    0.085696059   0.0047498075    0.085696059   0.0047498075
            490    0.086526653   0.0056412381    0.086526653   0.0056412381    0.086526653   0.0056412381
            495    0.093654761   0.0048728202    0.093654761   0.0048728202    0.093654761   0.0048728202
            500     0.08827485   0.0053763137     0.08827485   0.0053763137     0.08827485   0.0053763137
            505     0.08408273   0.0049033419     0.08408273   0.0049033419     0.08408273   0.0049033419
            510    0.077722259   0.0044178427    0.077722259   0.0044178427    0.077722259   0.0044178427
            515    0.070656433   0.0042842593    0.070656433   0.0042842593    0.070656433   0.0042842593
            520    0.064891085   0.0040682909    0.064891085   0.0040682909    0.064891085   0.0040682909
            525    0.060373374   0.0042537727    0.060373374   0.0042537727    0.060373374   0.0042537727
            530    0.055679327   0.0039197099    0.055679327   0.0039197099    0.055679327   0.0039197099
            535    0.054215269   0.0037958527    0.054215269   0.0037958527    0.054215269   0.0037958527
            540    0.055249327   0.0039937347    0.055249327   0.0039937347    0.055249327   0.0039937347
            545    0.054666824    0.003697246    0.054666824    0.003697246    0.054666824    0.003697246
            550    0.046278296   0.0035380656    0.046278296   0.0035380656    0.046278296   0.0035380656
            555    0.043822792   0.0036746336    0.043822792   0.0036746336    0.043822792   0.0036746336
            560    0.043496547   0.0033148538    0.043496547   0.0033148538    0.043496547   0.0033148538
            565    0.039571899     0.00332596    0.039571899     0.00332596    0.039571899     0.00332596
            570    0.042097037   0.0034073668    0.042097037   0.0034073668    0.042097037   0.0034073668
            575    0.034994194   0.0029912566    0.034994194   0.0029912566    0.034994194   0.0029912566
            580    0.042868122   0.0032679305    0.042868122   0.0032679305    0.042868122   0.0032679305
            585    0.031976655   0.0028998828    0.031976655   0.0028998828    0.031976655   0.0028998828
            590    0.039107435   0.0030786837    0.039107435   0.0030786837    0.039107435   0.0030786837
            595    0.031221317   0.0029004706    0.031221317   0.0029004706    0.031221317   0.0029004706
            600    0.031391358    0.002923198    0.031391358    0.002923198    0.031391358    0.002923198
            605    0.029174678   0.0026999682    0.029174678   0.0026999682    0.029174678   0.0026999682
            610    0.023918169   0.0024964131    0.023918169   0.0024964131    0.023918169   0.0024964131
            615    0.030020586   0.0028129093    0.030020586   0.0028129093    0.030020586   0.0028129093
            620     0.02612697   0.0026898826     0.02612697   0.0026898826     0.02612697   0.0026898826
            625    0.027709813   0.0029027422    0.027709813   0.0029027422    0.027709813   0.0029027422
            630    0.023960948   0.0025514119    0.023960948   0.0025514119    0.023960948   0.0025514119
            635    0.023789361   0.0025379046    0.023789361   0.0025379046    0.023789361   0.0025379046
            640    0.020645406   0.0023235987    0.020645406   0.0023235987    0.020645406   0.0023235987
            645       0.023892   0.0028867291       0.023892   0.0028867291       0.023892   0.0028867291
            650    0.019224636   0.0022418947    0.019224636   0.0022418947    0.019224636   0.0022418947
            655    0.017908687   0.0022520838    0.017908687   0.0022520838    0.017908687   0.0022520838
            660    0.016145749   0.0020631555    0.016145749   0.0020631555    0.016145749   0.0020631555
            665    0.018011574   0.0021845265    0.018011574   0.0021845265    0.018011574   0.0021845265
            670    0.012652337   0.0018182669    0.012652337   0.0018182669    0.012652337   0.0018182669
            675    0.015030118   0.0019768673    0.015030118   0.0019768673    0.015030118   0.0019768673
            680    0.017221438   0.0021207868    0.017221438   0.0021207868    0.017221438   0.0021207868
            685    0.013077259   0.0020858422    0.013077259   0.0020858422    0.013077259   0.0020858422
            690    0.015011403   0.0020057553    0.015011403   0.0020057553    0.015011403   0.0020057553
