# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      88.158218     0.71329712      88.158218     0.71329712      88.158218     0.71329712
     0.31415927      93.611331     0.66028467      93.611331     0.66028467      93.611331     0.66028467
     0.62831853      97.449727     0.66290294      97.449727     0.66290294      97.449727     0.66290294
      0.9424778      102.67525     0.71180872      102.67525     0.71180872      102.67525     0.71180872
      1.2566371      113.38522     0.70694583      113.38522     0.70694583      113.38522     0.70694583
      1.5707963       137.6287     0.80668933       137.6287     0.80668933       137.6287     0.80668933
      1.8849556      173.58052     0.94046432      173.58052     0.94046432      173.58052     0.94046432
      2.1991149      239.49142      1.0487371      239.49142      1.0487371      239.49142      1.0487371
      2.5132741      361.66988       1.300864      361.66988       1.300864      361.66988       1.300864
      2.8274334      572.38916      1.6571867      572.38916      1.6571867      572.38916      1.6571867
      3.1415927      572.38916      1.6571867      572.38916      1.6571867      572.38916      1.6571867
