# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      1367.5249      3.8680546      1367.5249      3.8680546      1367.5249      3.8680546
            0.1      644.34807      2.7298282      644.34807      2.7298282      644.34807      2.7298282
            0.2      298.14048      1.8473995      298.14048      1.8473995      298.14048      1.8473995
            0.3      162.81028      1.3654962      162.81028      1.3654962      162.81028      1.3654962
            0.4      97.047839      1.0638042      97.047839      1.0638042      97.047839      1.0638042
            0.5      60.299315       0.819382      60.299315       0.819382      60.299315       0.819382
            0.6      33.554871     0.61663001      33.554871     0.61663001      33.554871     0.61663001
            0.7      19.537491     0.46744817      19.537491     0.46744817      19.537491     0.46744817
            0.8      6.5101724      0.1909192      6.5101724      0.1909192      6.5101724      0.1909192
              1      6.5101724      0.1909192      6.5101724      0.1909192      6.5101724      0.1909192
