#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      2.8310919     0.01023973      2.8310919     0.01023973      2.8310919     0.01023973
             50      2.1166313   0.0098651193      2.1166313   0.0098651193      2.1166313   0.0098651193
             75      1.6516264   0.0085466165      1.6516264   0.0085466165      1.6516264   0.0085466165
            100      1.0888737   0.0069147815      1.0888737   0.0069147815      1.0888737   0.0069147815
            125     0.68609486   0.0055316902     0.68609486   0.0055316902     0.68609486   0.0055316902
            150     0.38086473   0.0028917605     0.38086473   0.0028917605     0.38086473   0.0028917605
            200      0.1835367   0.0020740074      0.1835367   0.0020740074      0.1835367   0.0020740074
            250    0.098739013   0.0014873601    0.098739013   0.0014873601    0.098739013   0.0014873601
            300    0.048045177  0.00072070193    0.048045177  0.00072070193    0.048045177  0.00072070193
            400    0.021137797  0.00055172828    0.021137797  0.00055172828    0.021137797  0.00055172828
            500    0.021137797  0.00055172828    0.021137797  0.00055172828    0.021137797  0.00055172828
