#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      11.261328    0.026314936      11.261328    0.026314936      11.261328    0.026314936
             20      24.416783    0.054994164      24.416783    0.054994164      24.416783    0.054994164
             30      26.428388    0.057287501      26.428388    0.057287501      26.428388    0.057287501
             40      22.886088    0.052691607      22.886088    0.052691607      22.886088    0.052691607
             50       18.75317    0.038701785       18.75317    0.038701785       18.75317    0.038701785
             65       15.03834     0.03433136       15.03834     0.03433136       15.03834     0.03433136
             80      11.603252     0.03040179      11.603252     0.03040179      11.603252     0.03040179
             95       8.886782    0.026335938       8.886782    0.026335938       8.886782    0.026335938
            110      6.4689162    0.019568388      6.4689162    0.019568388      6.4689162    0.019568388
            130      4.0735992    0.011746198      4.0735992    0.011746198      4.0735992    0.011746198
            165      2.2733781   0.0088046096      2.2733781   0.0088046096      2.2733781   0.0088046096
            200      1.2934644   0.0063269332      1.2934644   0.0063269332      1.2934644   0.0063269332
            240     0.64918125   0.0037558849     0.64918125   0.0037558849     0.64918125   0.0037558849
            300     0.12008965  0.00071888703     0.12008965  0.00071888703     0.12008965  0.00071888703
            600     0.12008965  0.00071888703     0.12008965  0.00071888703     0.12008965  0.00071888703
