#  n_b_jets-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      6138.4241      2.7086848      6138.4241      2.7086848      6138.4241      2.7086848
            0.5       1987.884      1.5228744       1987.884      1.5228744       1987.884      1.5228744
            1.5      269.62836     0.54849298      269.62836     0.54849298      269.62836     0.54849298
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
