#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      12.103403     0.13496633      12.103403     0.13496633      12.103403     0.13496633
              1      36.450459     0.22682346      36.450459     0.22682346      36.450459     0.22682346
              2      60.978535     0.29203994      60.978535     0.29203994      60.978535     0.29203994
              3      85.340892     0.34809816      85.340892     0.34809816      85.340892     0.34809816
              4      109.89415     0.39244166      109.89415     0.39244166      109.89415     0.39244166
              5      135.12173      0.4345079      135.12173      0.4345079      135.12173      0.4345079
              6      161.11456     0.47410479      161.11456     0.47410479      161.11456     0.47410479
              7      186.45129     0.51021278      186.45129     0.51021278      186.45129     0.51021278
              8      213.13234     0.54964309      213.13234     0.54964309      213.13234     0.54964309
              9      240.09827      0.5774904      240.09827      0.5774904      240.09827      0.5774904
             10      267.76852     0.60974953      267.76852     0.60974953      267.76852     0.60974953
             11       294.0299     0.63832937       294.0299     0.63832937       294.0299     0.63832937
             12      323.32149     0.66898874      323.32149     0.66898874      323.32149     0.66898874
             13      350.97226      0.6967573      350.97226      0.6967573      350.97226      0.6967573
             14      381.62569      0.7259699      381.62569      0.7259699      381.62569      0.7259699
             15      410.99331     0.75308871      410.99331     0.75308871      410.99331     0.75308871
             16      436.39958     0.77885551      436.39958     0.77885551      436.39958     0.77885551
             17      465.18357     0.80710938      465.18357     0.80710938      465.18357     0.80710938
             18      492.54186     0.82815206      492.54186     0.82815206      492.54186     0.82815206
             19      518.90826     0.84658228      518.90826     0.84658228      518.90826     0.84658228
             20       545.4417      0.8738262       545.4417      0.8738262       545.4417      0.8738262
             21      570.93795      0.8890882      570.93795      0.8890882      570.93795      0.8890882
             22      596.35027     0.90935664      596.35027     0.90935664      596.35027     0.90935664
             23      621.17849     0.93476588      621.17849     0.93476588      621.17849     0.93476588
             24      639.47294     0.95367871      639.47294     0.95367871      639.47294     0.95367871
             25      658.25339      0.9692938      658.25339      0.9692938      658.25339      0.9692938
             26      679.67525     0.97647424      679.67525     0.97647424      679.67525     0.97647424
             27      695.88472     0.99111185      695.88472     0.99111185      695.88472     0.99111185
             28      708.25753      1.0115069      708.25753      1.0115069      708.25753      1.0115069
             29      722.45888      1.0137859      722.45888      1.0137859      722.45888      1.0137859
             30       728.6872      1.0173583       728.6872      1.0173583       728.6872      1.0173583
             31      737.32954      1.0250689      737.32954      1.0250689      737.32954      1.0250689
             32      739.79869      1.0346777      739.79869      1.0346777      739.79869      1.0346777
             33      736.57995      1.0360951      736.57995      1.0360951      736.57995      1.0360951
             34      734.80662      1.0365142      734.80662      1.0365142      734.80662      1.0365142
             35      723.02694      1.0248406      723.02694      1.0248406      723.02694      1.0248406
             36      708.05352      1.0156398      708.05352      1.0156398      708.05352      1.0156398
             37      686.28582      1.0013755      686.28582      1.0013755      686.28582      1.0013755
             38      664.46795     0.98460494      664.46795     0.98460494      664.46795     0.98460494
             39      635.88438     0.96172172      635.88438     0.96172172      635.88438     0.96172172
             40      603.36278     0.93504612      603.36278     0.93504612      603.36278     0.93504612
             41      568.39829     0.90450606      568.39829     0.90450606      568.39829     0.90450606
             42       535.7299     0.87117511       535.7299     0.87117511       535.7299     0.87117511
             43      499.66036     0.83769077      499.66036     0.83769077      499.66036     0.83769077
             44        465.926     0.80901551        465.926     0.80901551        465.926     0.80901551
             45      432.47031     0.77219574      432.47031     0.77219574      432.47031     0.77219574
             46      402.35263     0.74392834      402.35263     0.74392834      402.35263     0.74392834
             47       374.8893     0.71965037       374.8893     0.71965037       374.8893     0.71965037
             48      348.21885     0.69100773      348.21885     0.69100773      348.21885     0.69100773
             49       323.8684     0.65986995       323.8684     0.65986995       323.8684     0.65986995
             50       300.4745      0.6320637       300.4745      0.6320637       300.4745      0.6320637
             51      281.03247     0.61320871      281.03247     0.61320871      281.03247     0.61320871
             52      263.15379     0.58863703      263.15379     0.58863703      263.15379     0.58863703
             53      244.35411     0.56866781      244.35411     0.56866781      244.35411     0.56866781
             54      228.94821      0.5457844      228.94821      0.5457844      228.94821      0.5457844
             55      214.28439     0.53167453      214.28439     0.53167453      214.28439     0.53167453
