# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ750
              0      71.397007     0.34982952      71.397007     0.34982952      71.397007     0.34982952
              1      250.34941     0.66180838      250.34941     0.66180838      250.34941     0.66180838
              2      408.07596     0.84530537      408.07596     0.84530537      408.07596     0.84530537
              3      514.09795     0.94315751      514.09795     0.94315751      514.09795     0.94315751
              4      578.41778     0.98443251      578.41778     0.98443251      578.41778     0.98443251
              5      610.26653     0.99752191      610.26653     0.99752191      610.26653     0.99752191
              6      625.59385     0.99846307      625.59385     0.99846307      625.59385     0.99846307
              7      630.32948      1.0001593      630.32948      1.0001593      630.32948      1.0001593
              8      628.15867     0.98209458      628.15867     0.98209458      628.15867     0.98209458
              9      621.54635     0.97868022      621.54635     0.97868022      621.54635     0.97868022
             10      608.86013     0.95258229      608.86013     0.95258229      608.86013     0.95258229
             11      596.61016     0.93842553      596.61016     0.93842553      596.61016     0.93842553
             12      583.79364     0.92076352      583.79364     0.92076352      583.79364     0.92076352
             13       570.6029     0.90655159       570.6029     0.90655159       570.6029     0.90655159
             14      556.24517     0.89160492      556.24517     0.89160492      556.24517     0.89160492
             15      543.56796     0.87734657      543.56796     0.87734657      543.56796     0.87734657
             16      527.71685      0.8624732      527.71685      0.8624732      527.71685      0.8624732
             17      513.79369     0.85897495      513.79369     0.85897495      513.79369     0.85897495
             18        501.746     0.83745502        501.746     0.83745502        501.746     0.83745502
             19      486.74822     0.82653968      486.74822     0.82653968      486.74822     0.82653968
             20      475.60183     0.81070528      475.60183     0.81070528      475.60183     0.81070528
             21       462.2189      0.7962132       462.2189      0.7962132       462.2189      0.7962132
             22      448.92878     0.78502613      448.92878     0.78502613      448.92878     0.78502613
             23      436.68851     0.77004519      436.68851     0.77004519      436.68851     0.77004519
             24       425.2312     0.75938941       425.2312     0.75938941       425.2312     0.75938941
             25       412.4975     0.74666258       412.4975     0.74666258       412.4975     0.74666258
             26      402.11575     0.73586235      402.11575     0.73586235      402.11575     0.73586235
             27      391.28041     0.72423343      391.28041     0.72423343      391.28041     0.72423343
             28      380.70522     0.71482846      380.70522     0.71482846      380.70522     0.71482846
             29      370.74054     0.70238743      370.74054     0.70238743      370.74054     0.70238743
             30      359.81295      0.6936538      359.81295      0.6936538      359.81295      0.6936538
             31      349.90733     0.68275143      349.90733     0.68275143      349.90733     0.68275143
             32      341.02891     0.67322183      341.02891     0.67322183      341.02891     0.67322183
             33      331.51562     0.66386927      331.51562     0.66386927      331.51562     0.66386927
             34      322.49013     0.65190251      322.49013     0.65190251      322.49013     0.65190251
             35      313.27365     0.64511667      313.27365     0.64511667      313.27365     0.64511667
             36      304.70802     0.63568166      304.70802     0.63568166      304.70802     0.63568166
             37      296.11972     0.62489909      296.11972     0.62489909      296.11972     0.62489909
             38      288.79361     0.61592101      288.79361     0.61592101      288.79361     0.61592101
             39      279.62125     0.60549295      279.62125     0.60549295      279.62125     0.60549295
             40        272.544     0.59788467        272.544     0.59788467        272.544     0.59788467
             41      264.88266     0.58875849      264.88266     0.58875849      264.88266     0.58875849
             42      258.35099     0.58370033      258.35099     0.58370033      258.35099     0.58370033
             43      250.84806     0.57445384      250.84806     0.57445384      250.84806     0.57445384
             44      243.54328     0.56298181      243.54328     0.56298181      243.54328     0.56298181
             45       237.0056     0.55498144       237.0056     0.55498144       237.0056     0.55498144
             46      230.74004     0.55446849      230.74004     0.55446849      230.74004     0.55446849
             47      224.90609     0.54107844      224.90609     0.54107844      224.90609     0.54107844
             48      217.00605     0.52990214      217.00605     0.52990214      217.00605     0.52990214
             49      212.60347     0.52624906      212.60347     0.52624906      212.60347     0.52624906
             50      212.60347     0.52624906      212.60347     0.52624906      212.60347     0.52624906
