#       pt_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.0341156    0.027722761      2.0341156    0.027722761      2.0341156    0.027722761
              5      22.265687     0.08671593      22.265687     0.08671593      22.265687     0.08671593
             10      69.673468      0.1488103      69.673468      0.1488103      69.673468      0.1488103
             15      138.41336     0.20644695      138.41336     0.20644695      138.41336     0.20644695
             20      222.66758      0.2588456      222.66758      0.2588456      222.66758      0.2588456
             25      321.27023     0.30756225      321.27023     0.30756225      321.27023     0.30756225
             30      442.26084      0.3562065      442.26084      0.3562065      442.26084      0.3562065
             35      629.44593     0.41935219      629.44593     0.41935219      629.44593     0.41935219
             40      850.41093      0.4774691      850.41093      0.4774691      850.41093      0.4774691
             45      688.24701     0.42196997      688.24701     0.42196997      688.24701     0.42196997
             50      508.08913     0.36018806      508.08913     0.36018806      508.08913     0.36018806
             55      377.53539     0.30822186      377.53539     0.30822186      377.53539     0.30822186
             60       286.0402     0.26709179       286.0402     0.26709179       286.0402     0.26709179
             65      220.63202     0.23444124      220.63202     0.23444124      220.63202     0.23444124
             70      172.63993     0.20718915      172.63993     0.20718915      172.63993     0.20718915
             75      136.57176     0.18343703      136.57176     0.18343703      136.57176     0.18343703
             80      109.78724     0.16443131      109.78724     0.16443131      109.78724     0.16443131
             85      88.793112     0.14798792      88.793112     0.14798792      88.793112     0.14798792
             90      72.352968     0.13346177      72.352968     0.13346177      72.352968     0.13346177
             95      59.839152     0.12183321      59.839152     0.12183321      59.839152     0.12183321
            100      49.664743     0.11116205      49.664743     0.11116205      49.664743     0.11116205
            105      41.560951     0.10108158      41.560951     0.10108158      41.560951     0.10108158
            110      34.798841    0.092182645      34.798841    0.092182645      34.798841    0.092182645
            115      29.451515     0.08540184      29.451515     0.08540184      29.451515     0.08540184
            120      25.126675    0.078565301      25.126675    0.078565301      25.126675    0.078565301
            125      21.476041    0.072708331      21.476041    0.072708331      21.476041    0.072708331
            130      18.371448    0.067202633      18.371448    0.067202633      18.371448    0.067202633
            135      16.042434     0.06309559      16.042434     0.06309559      16.042434     0.06309559
            140      13.838354    0.058724037      13.838354    0.058724037      13.838354    0.058724037
            145      12.082551    0.056495239      12.082551    0.056495239      12.082551    0.056495239
            150      10.434252    0.050894583      10.434252    0.050894583      10.434252    0.050894583
            155      9.1264903    0.047508351      9.1264903    0.047508351      9.1264903    0.047508351
            160      8.0833061    0.044511498      8.0833061    0.044511498      8.0833061    0.044511498
            165        7.05505    0.041885655        7.05505    0.041885655        7.05505    0.041885655
            170      6.3578279    0.043310088      6.3578279    0.043310088      6.3578279    0.043310088
            175      5.5899001     0.03711934      5.5899001     0.03711934      5.5899001     0.03711934
            180      4.9374535    0.041362525      4.9374535    0.041362525      4.9374535    0.041362525
            185      4.4331808    0.033261119      4.4331808    0.033261119      4.4331808    0.033261119
            190      3.9265173    0.031907706      3.9265173    0.031907706      3.9265173    0.031907706
            195       3.544358    0.030472941       3.544358    0.030472941       3.544358    0.030472941
            200      3.1359361     0.02802648      3.1359361     0.02802648      3.1359361     0.02802648
            205      2.8289045    0.026753688      2.8289045    0.026753688      2.8289045    0.026753688
            210      2.5757107    0.025582231      2.5757107    0.025582231      2.5757107    0.025582231
            215      2.3101902    0.024521912      2.3101902    0.024521912      2.3101902    0.024521912
            220      2.0730609    0.022960342      2.0730609    0.022960342      2.0730609    0.022960342
            225      1.8658826    0.021818756      1.8658826    0.021818756      1.8658826    0.021818756
            230      1.6683222    0.020452175      1.6683222    0.020452175      1.6683222    0.020452175
            235       1.606432    0.021565639       1.606432    0.021565639       1.606432    0.021565639
            240      1.4388118    0.019325483      1.4388118    0.019325483      1.4388118    0.019325483
            245      1.2943419    0.017902443      1.2943419    0.017902443      1.2943419    0.017902443
            250      1.1442126    0.017194791      1.1442126    0.017194791      1.1442126    0.017194791
            255      1.0832811    0.016671467      1.0832811    0.016671467      1.0832811    0.016671467
            260     0.96162255    0.015586438     0.96162255    0.015586438     0.96162255    0.015586438
            265     0.91231648    0.015668165     0.91231648    0.015668165     0.91231648    0.015668165
            270      0.8346104    0.014642707      0.8346104    0.014642707      0.8346104    0.014642707
            275     0.76101868    0.013841104     0.76101868    0.013841104     0.76101868    0.013841104
            280     0.70662229    0.013876821     0.70662229    0.013876821     0.70662229    0.013876821
            285     0.64718717    0.012939338     0.64718717    0.012939338     0.64718717    0.012939338
            290     0.60524104    0.012647661     0.60524104    0.012647661     0.60524104    0.012647661
            295     0.55528277    0.011907056     0.55528277    0.011907056     0.55528277    0.011907056
            300     0.50832238    0.011988552     0.50832238    0.011988552     0.50832238    0.011988552
            305     0.46977211    0.011149595     0.46977211    0.011149595     0.46977211    0.011149595
            310      0.4388808    0.011068025      0.4388808    0.011068025      0.4388808    0.011068025
            315     0.39485087   0.0099810866     0.39485087   0.0099810866     0.39485087   0.0099810866
            320     0.38603763   0.0099090546     0.38603763   0.0099090546     0.38603763   0.0099090546
            325     0.36393695    0.009672348     0.36393695    0.009672348     0.36393695    0.009672348
            330     0.32498493   0.0098507219     0.32498493   0.0098507219     0.32498493   0.0098507219
            335     0.29037743    0.009211301     0.29037743    0.009211301     0.29037743    0.009211301
