#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      71.547646     0.35044049      71.547646     0.35044049      71.547646     0.35044049
              1      250.84359     0.66242926      250.84359     0.66242926      250.84359     0.66242926
              2      408.88025     0.84605762      408.88025     0.84605762      408.88025     0.84605762
              3      515.19384     0.94415041      515.19384     0.94415041      515.19384     0.94415041
              4      579.80748     0.98559938      579.80748     0.98559938      579.80748     0.98559938
              5      612.09235     0.99893167      612.09235     0.99893167      612.09235     0.99893167
              6        627.583      1.0013894        627.583      1.0013894        627.583      1.0013894
              7      632.68039      1.0020321      632.68039      1.0020321      632.68039      1.0020321
              8      630.75545     0.98422767      630.75545     0.98422767      630.75545     0.98422767
              9      624.29994     0.98126088      624.29994     0.98126088      624.29994     0.98126088
             10      612.02445     0.95579018      612.02445     0.95579018      612.02445     0.95579018
             11      600.01942     0.94264371      600.01942     0.94264371      600.01942     0.94264371
             12      587.24886     0.92408815      587.24886     0.92408815      587.24886     0.92408815
             13      574.23342     0.91012717      574.23342     0.91012717      574.23342     0.91012717
             14      559.99324     0.89495443      559.99324     0.89495443      559.99324     0.89495443
             15      547.53904     0.88130524      547.53904     0.88130524      547.53904     0.88130524
             16      531.71548     0.86674183      531.71548     0.86674183      531.71548     0.86674183
             17      517.90686     0.86293488      517.90686     0.86293488      517.90686     0.86293488
             18      506.05328     0.84141484      506.05328     0.84141484      506.05328     0.84141484
             19       491.2575     0.83100371       491.2575     0.83100371       491.2575     0.83100371
             20      480.02724     0.81519113      480.02724     0.81519113      480.02724     0.81519113
             21      466.75587      0.8006858      466.75587      0.8006858      466.75587      0.8006858
             22      453.55619     0.79083293      453.55619     0.79083293      453.55619     0.79083293
             23      441.18956     0.77497018      441.18956     0.77497018      441.18956     0.77497018
             24      429.86361      0.7652381      429.86361      0.7652381      429.86361      0.7652381
             25      417.07797     0.75154961      417.07797     0.75154961      417.07797     0.75154961
             26      406.76091     0.74168597      406.76091     0.74168597      406.76091     0.74168597
             27      395.85221     0.72913582      395.85221     0.72913582      395.85221     0.72913582
             28      385.20799     0.71926021      385.20799     0.71926021      385.20799     0.71926021
             29      375.33082     0.70704837      375.33082     0.70704837      375.33082     0.70704837
             30      364.38632     0.69888826      364.38632     0.69888826      364.38632     0.69888826
             31      354.48979     0.68782673      354.48979     0.68782673      354.48979     0.68782673
             32      345.55518     0.67840154      345.55518     0.67840154      345.55518     0.67840154
             33      335.92433     0.66883294      335.92433     0.66883294      335.92433     0.66883294
             34      326.97832     0.65698526      326.97832     0.65698526      326.97832     0.65698526
             35      317.81443     0.65040892      317.81443     0.65040892      317.81443     0.65040892
             36       309.0143     0.64107954       309.0143     0.64107954       309.0143     0.64107954
             37      300.35189     0.62978945      300.35189     0.62978945      300.35189     0.62978945
             38      292.97792     0.62142295      292.97792     0.62142295      292.97792     0.62142295
             39      283.76595     0.61027798      283.76595     0.61027798      283.76595     0.61027798
             40      276.65157     0.60278504      276.65157     0.60278504      276.65157     0.60278504
             41      269.05518     0.59381951      269.05518     0.59381951      269.05518     0.59381951
             42      262.50614     0.58891796      262.50614     0.58891796      262.50614     0.58891796
             43      254.81483     0.57948663      254.81483     0.57948663      254.81483     0.57948663
             44       247.5796     0.56790942       247.5796     0.56790942       247.5796     0.56790942
             45      241.06766     0.56006019      241.06766     0.56006019      241.06766     0.56006019
             46      234.76144     0.56007291      234.76144     0.56007291      234.76144     0.56007291
             47      228.67466     0.54663442      228.67466     0.54663442      228.67466     0.54663442
             48      220.84317     0.53523578      220.84317     0.53523578      220.84317     0.53523578
             49      216.42933     0.53137858      216.42933     0.53137858      216.42933     0.53137858
             50      216.42933     0.53137858      216.42933     0.53137858      216.42933     0.53137858
