# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      1124.2355      2.1360871      1124.2355      2.1360871      1124.2355      2.1360871
     0.31415927      1213.3394       2.197247      1213.3394       2.197247      1213.3394       2.197247
     0.62831853      1274.8614      2.2531189      1274.8614      2.2531189      1274.8614      2.2531189
      0.9424778      1364.7912      2.3408111      1364.7912      2.3408111      1364.7912      2.3408111
      1.2566371      1536.9694      2.4886127      1536.9694      2.4886127      1536.9694      2.4886127
      1.5707963      1828.4135      2.7197309      1828.4135      2.7197309      1828.4135      2.7197309
      1.8849556      2286.0272      3.0637716      2286.0272      3.0637716      2286.0272      3.0637716
      2.1991149      2991.3079      3.4844202      2991.3079      3.4844202      2991.3079      3.4844202
      2.5132741      3974.4977      4.0371902      3974.4977      4.0371902      3974.4977      4.0371902
      2.8274334      4987.2208      4.5218934      4987.2208      4.5218934      4987.2208      4.5218934
      3.1415927      4987.2208      4.5218934      4987.2208      4.5218934      4987.2208      4.5218934
