#     total-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8395.9365      3.0069428      8395.9365      3.0069428      8395.9365      3.0069428
              1      8395.9365      3.0069428      8395.9365      3.0069428      8395.9365      3.0069428
