# pt_bjet1_2-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
             30      51.641646    0.055456958      51.641646    0.055456958      51.641646    0.055456958
             50       23.23742    0.037031407       23.23742    0.037031407       23.23742    0.037031407
             70      12.644574    0.027276627      12.644574    0.027276627      12.644574    0.027276627
             90      7.5811513    0.021189583      7.5811513    0.021189583      7.5811513    0.021189583
            110      4.0881467    0.011130551      4.0881467    0.011130551      4.0881467    0.011130551
            150      1.8399525   0.0067258756      1.8399525   0.0067258756      1.8399525   0.0067258756
            200      1.8399525   0.0067258756      1.8399525   0.0067258756      1.8399525   0.0067258756
