#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      303.58348      2.3468851      303.58348      2.3468851      303.58348      2.3468851
           -4.9      355.96838      2.5880356      355.96838      2.5880356      355.96838      2.5880356
           -4.8      414.91022      2.6977107      414.91022      2.6977107      414.91022      2.6977107
           -4.7      475.84336      2.8679784      475.84336      2.8679784      475.84336      2.8679784
           -4.6      544.15173      3.0519507      544.15173      3.0519507      544.15173      3.0519507
           -4.5      629.81164      3.2580011      629.81164      3.2580011      629.81164      3.2580011
           -4.4      711.21366      3.4353946      711.21366      3.4353946      711.21366      3.4353946
           -4.3      799.96909      3.6534578      799.96909      3.6534578      799.96909      3.6534578
           -4.2      897.04708      3.9568403      897.04708      3.9568403      897.04708      3.9568403
           -4.1      988.61054      4.0002454      988.61054      4.0002454      988.61054      4.0002454
             -4      1094.4929      4.1984851      1094.4929      4.1984851      1094.4929      4.1984851
           -3.9      1209.3884      4.3950118      1209.3884      4.3950118      1209.3884      4.3950118
           -3.8      1318.9588      4.5415712      1318.9588      4.5415712      1318.9588      4.5415712
           -3.7      1452.1689      4.7402004      1452.1689      4.7402004      1452.1689      4.7402004
           -3.6      1564.5314      4.8834942      1564.5314      4.8834942      1564.5314      4.8834942
           -3.5      1696.3247      5.0844377      1696.3247      5.0844377      1696.3247      5.0844377
           -3.4      1819.9062      5.2229475      1819.9062      5.2229475      1819.9062      5.2229475
           -3.3      1954.2972      5.3936961      1954.2972      5.3936961      1954.2972      5.3936961
           -3.2      2083.6314      5.5344954      2083.6314      5.5344954      2083.6314      5.5344954
           -3.1      2221.7618      5.6998244      2221.7618      5.6998244      2221.7618      5.6998244
             -3       2366.435      5.8992058       2366.435      5.8992058       2366.435      5.8992058
           -2.9      2500.6682      6.1719184      2500.6682      6.1719184      2500.6682      6.1719184
           -2.8      2643.4279      6.2047897      2643.4279      6.2047897      2643.4279      6.2047897
           -2.7      2785.1551      6.2765268      2785.1551      6.2765268      2785.1551      6.2765268
           -2.6      2906.4751      6.4127531      2906.4751      6.4127531      2906.4751      6.4127531
           -2.5       3044.584      6.5332514       3044.584      6.5332514       3044.584      6.5332514
           -2.4      3196.0767      6.6744266      3196.0767      6.6744266      3196.0767      6.6744266
           -2.3      3319.5375      6.7912669      3319.5375      6.7912669      3319.5375      6.7912669
           -2.2      3453.6903      6.8960375      3453.6903      6.8960375      3453.6903      6.8960375
           -2.1      3588.6498      7.0052845      3588.6498      7.0052845      3588.6498      7.0052845
             -2      3689.0716      7.1321757      3689.0716      7.1321757      3689.0716      7.1321757
