#         y_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
             -1      4918.5016      8.0073325      4918.5016      8.0073325      4918.5016      8.0073325
           -0.9      4946.2683      8.0912959      4946.2683      8.0912959      4946.2683      8.0912959
           -0.8      4974.3762      8.0779596      4974.3762      8.0779596      4974.3762      8.0779596
           -0.7      5008.5185      8.0468945      5008.5185      8.0468945      5008.5185      8.0468945
           -0.6      5026.2724      8.0459693      5026.2724      8.0459693      5026.2724      8.0459693
           -0.5      5042.9312      8.0724831      5042.9312      8.0724831      5042.9312      8.0724831
           -0.4      5055.0287        8.06665      5055.0287        8.06665      5055.0287        8.06665
           -0.3      5036.3649      8.0272629      5036.3649      8.0272629      5036.3649      8.0272629
           -0.2      5057.3293      8.0451426      5057.3293      8.0451426      5057.3293      8.0451426
           -0.1      5069.8547      8.1035703      5069.8547      8.1035703      5069.8547      8.1035703
              0      5062.8546       8.067238      5062.8546       8.067238      5062.8546       8.067238
            0.1       5061.242      8.0654408       5061.242      8.0654408       5061.242      8.0654408
            0.2      5050.3951       8.160597      5050.3951       8.160597      5050.3951       8.160597
            0.3      5031.2321      8.0874903      5031.2321      8.0874903      5031.2321      8.0874903
            0.4      5027.2671      8.0539136      5027.2671      8.0539136      5027.2671      8.0539136
            0.5      5017.3884      8.0552312      5017.3884      8.0552312      5017.3884      8.0552312
            0.6      4994.6885      8.0846844      4994.6885      8.0846844      4994.6885      8.0846844
            0.7      4978.5402      8.0240651      4978.5402      8.0240651      4978.5402      8.0240651
            0.8      4954.5851      8.0612797      4954.5851      8.0612797      4954.5851      8.0612797
            0.9      4926.2527      8.0558419      4926.2527      8.0558419      4926.2527      8.0558419
              1      4880.0707      8.0468144      4880.0707      8.0468144      4880.0707      8.0468144
            1.1      4840.0414      7.9781703      4840.0414      7.9781703      4840.0414      7.9781703
            1.2      4804.7093      7.9332142      4804.7093      7.9332142      4804.7093      7.9332142
            1.3      4736.3931      7.9504576      4736.3931      7.9504576      4736.3931      7.9504576
            1.4      4686.3993      7.9525061      4686.3993      7.9525061      4686.3993      7.9525061
            1.5      4591.8178      7.8488583      4591.8178      7.8488583      4591.8178      7.8488583
            1.6      4515.6878      7.8211213      4515.6878      7.8211213      4515.6878      7.8211213
            1.7      4440.4738      7.8343015      4440.4738      7.8343015      4440.4738      7.8343015
            1.8       4345.917      7.7359056       4345.917      7.7359056       4345.917      7.7359056
            1.9      4235.4704      7.6389897      4235.4704      7.6389897      4235.4704      7.6389897
              2      4124.6451      7.5721061      4124.6451      7.5721061      4124.6451      7.5721061
            2.1      4008.0281       7.501319      4008.0281       7.501319      4008.0281       7.501319
            2.2      3861.9632      7.4128354      3861.9632      7.4128354      3861.9632      7.4128354
            2.3      3713.6058      7.3032066      3713.6058      7.3032066      3713.6058      7.3032066
            2.4      3554.5261      7.1538605      3554.5261      7.1538605      3554.5261      7.1538605
            2.5       3363.531       7.044397       3363.531       7.044397       3363.531       7.044397
            2.6      3190.1228       6.886026      3190.1228       6.886026      3190.1228       6.886026
            2.7      2997.6397      6.7253248      2997.6397      6.7253248      2997.6397      6.7253248
