# dphi_Z_bjet1-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS-1bjet
              0      272.33657     0.77051731      272.33657     0.77051731      272.33657     0.77051731
            0.6      311.62905     0.82141975      311.62905     0.82141975      311.62905     0.82141975
            1.2      419.15733     0.94235604      419.15733     0.94235604      419.15733     0.94235604
            1.8      618.14415      1.3656126      618.14415      1.3656126      618.14415      1.3656126
            2.2       953.9845        1.67654       953.9845        1.67654       953.9845        1.67654
            2.6      1510.4878      2.4183968      1510.4878      2.4183968      1510.4878      2.4183968
            2.9      2370.4164      3.3813351      2370.4164      3.3813351      2370.4164      3.3813351
          3.142      2370.4164      3.3813351      2370.4164      3.3813351      2370.4164      3.3813351
