#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      493.10285      2.9967937      493.10285      2.9967937      493.10285      2.9967937
           -4.9      555.95278      3.1339546      555.95278      3.1339546      555.95278      3.1339546
           -4.8      622.05308      3.2414926      622.05308      3.2414926      622.05308      3.2414926
           -4.7      686.44397      3.4055431      686.44397      3.4055431      686.44397      3.4055431
           -4.6      765.34688      3.5904828      765.34688      3.5904828      765.34688      3.5904828
           -4.5      851.36166      3.7445013      851.36166      3.7445013      851.36166      3.7445013
           -4.4      936.52166      3.9263749      936.52166      3.9263749      936.52166      3.9263749
           -4.3      1035.5688      4.2255994      1035.5688      4.2255994      1035.5688      4.2255994
           -4.2      1133.9485      4.2642929      1133.9485      4.2642929      1133.9485      4.2642929
           -4.1      1238.8014      4.4335202      1238.8014      4.4335202      1238.8014      4.4335202
             -4      1343.8289      4.5821266      1343.8289      4.5821266      1343.8289      4.5821266
           -3.9      1446.3499      4.7476241      1446.3499      4.7476241      1446.3499      4.7476241
           -3.8      1573.0657      4.9380181      1573.0657      4.9380181      1573.0657      4.9380181
           -3.7      1693.2927      5.0939109      1693.2927      5.0939109      1693.2927      5.0939109
           -3.6      1819.3065      5.2239635      1819.3065      5.2239635      1819.3065      5.2239635
           -3.5      1934.8533      5.3788383      1934.8533      5.3788383      1934.8533      5.3788383
           -3.4      2050.7516      5.5175726      2050.7516      5.5175726      2050.7516      5.5175726
           -3.3      2180.0552      5.6638561      2180.0552      5.6638561      2180.0552      5.6638561
           -3.2      2312.8732       5.799999      2312.8732       5.799999      2312.8732       5.799999
           -3.1      2433.0175      6.1049984      2433.0175      6.1049984      2433.0175      6.1049984
             -3      2577.0174       6.088274      2577.0174       6.088274      2577.0174       6.088274
           -2.9      2689.7597       6.208508      2689.7597       6.208508      2689.7597       6.208508
           -2.8      2829.0344      6.3906284      2829.0344      6.3906284      2829.0344      6.3906284
           -2.7      2949.1753      6.4396305      2949.1753      6.4396305      2949.1753      6.4396305
           -2.6      3071.6701      6.5575002      3071.6701      6.5575002      3071.6701      6.5575002
           -2.5       3187.809       6.650472       3187.809       6.650472       3187.809       6.650472
           -2.4      3323.0767      6.7579986      3323.0767      6.7579986      3323.0767      6.7579986
           -2.3      3426.9899      6.8515423      3426.9899      6.8515423      3426.9899      6.8515423
           -2.2      3519.6508      6.9452418      3519.6508      6.9452418      3519.6508      6.9452418
           -2.1      3623.4649      7.0194449      3623.4649      7.0194449      3623.4649      7.0194449
             -2      3706.5182      7.1323868      3706.5182      7.1323868      3706.5182      7.1323868
           -1.9      3818.5519      7.1623188      3818.5519      7.1623188      3818.5519      7.1623188
           -1.8      3893.0706      7.2392943      3893.0706      7.2392943      3893.0706      7.2392943
           -1.7      3961.1152      7.2842157      3961.1152      7.2842157      3961.1152      7.2842157
           -1.6      4039.5982      7.3586449      4039.5982      7.3586449      4039.5982      7.3586449
           -1.5      4101.0442      7.3776123      4101.0442      7.3776123      4101.0442      7.3776123
           -1.4      4140.8011      7.4191105      4140.8011      7.4191105      4140.8011      7.4191105
           -1.3      4183.2992      7.4802625      4183.2992      7.4802625      4183.2992      7.4802625
           -1.2       4220.354      7.4656529       4220.354      7.4656529       4220.354      7.4656529
           -1.1       4246.356      7.5728387       4246.356      7.5728387       4246.356      7.5728387
             -1      4278.6934      7.4850698      4278.6934      7.4850698      4278.6934      7.4850698
           -0.9       4266.976      7.4421026       4266.976      7.4421026       4266.976      7.4421026
           -0.8      4287.7825      7.4695039      4287.7825      7.4695039      4287.7825      7.4695039
           -0.7      4284.3134      7.4696914      4284.3134      7.4696914      4284.3134      7.4696914
           -0.6       4278.847       7.480728       4278.847       7.480728       4278.847       7.480728
           -0.5      4276.7355      7.4346716      4276.7355      7.4346716      4276.7355      7.4346716
           -0.4      4290.2736       7.457664      4290.2736       7.457664      4290.2736       7.457664
           -0.3      4274.7792      7.4698356      4274.7792      7.4698356      4274.7792      7.4698356
           -0.2      4268.0666      7.4345861      4268.0666      7.4345861      4268.0666      7.4345861
           -0.1      4254.2907      7.4031298      4254.2907      7.4031298      4254.2907      7.4031298
              0      4253.5827      7.4031054      4253.5827      7.4031054      4253.5827      7.4031054
            0.1      4253.6555      7.4615565      4253.6555      7.4615565      4253.6555      7.4615565
            0.2      4268.8465      7.4184807      4268.8465      7.4184807      4268.8465      7.4184807
            0.3      4277.6857       7.439559      4277.6857       7.439559      4277.6857       7.439559
            0.4      4270.1618      7.4403365      4270.1618      7.4403365      4270.1618      7.4403365
            0.5      4279.6954      7.5034344      4279.6954      7.5034344      4279.6954      7.5034344
            0.6      4285.0257      7.5018252      4285.0257      7.5018252      4285.0257      7.5018252
            0.7      4283.5074      7.4702855      4283.5074      7.4702855      4283.5074      7.4702855
            0.8      4274.3484      7.4699831      4274.3484      7.4699831      4274.3484      7.4699831
            0.9      4257.6041      7.4846125      4257.6041      7.4846125      4257.6041      7.4846125
              1      4235.9871      7.4423313      4235.9871      7.4423313      4235.9871      7.4423313
            1.1      4212.0827       7.446242      4212.0827       7.446242      4212.0827       7.446242
            1.2      4181.8289      7.4469679      4181.8289      7.4469679      4181.8289      7.4469679
            1.3      4157.8828       7.459269      4157.8828       7.459269      4157.8828       7.459269
            1.4      4088.0492      7.3624788      4088.0492      7.3624788      4088.0492      7.3624788
            1.5      4031.6952      7.4113859      4031.6952      7.4113859      4031.6952      7.4113859
            1.6      3962.2223      7.2964046      3962.2223      7.2964046      3962.2223      7.2964046
            1.7       3898.265      7.2440901       3898.265      7.2440901       3898.265      7.2440901
            1.8      3813.2154      7.2048896      3813.2154      7.2048896      3813.2154      7.2048896
            1.9      3736.5299      7.1331649      3736.5299      7.1331649      3736.5299      7.1331649
              2      3635.8006      7.0501932      3635.8006      7.0501932      3635.8006      7.0501932
            2.1      3533.3805       7.022034      3533.3805       7.022034      3533.3805       7.022034
            2.2      3425.6893      6.8762375      3425.6893      6.8762375      3425.6893      6.8762375
            2.3      3307.6772      6.7677632      3307.6772      6.7677632      3307.6772      6.7677632
            2.4      3201.3129      6.7055509      3201.3129      6.7055509      3201.3129      6.7055509
            2.5      3071.8756      6.5739536      3071.8756      6.5739536      3071.8756      6.5739536
            2.6      2943.8292      6.4720905      2943.8292      6.4720905      2943.8292      6.4720905
            2.7      2833.7356      6.3442796      2833.7356      6.3442796      2833.7356      6.3442796
            2.8      2697.3283      6.2468683      2697.3283      6.2468683      2697.3283      6.2468683
            2.9      2585.4313      6.1265287      2585.4313      6.1265287      2585.4313      6.1265287
              3      2439.5718      5.9653368      2439.5718      5.9653368      2439.5718      5.9653368
            3.1      2312.7665      5.8372161      2312.7665      5.8372161      2312.7665      5.8372161
            3.2      2187.3241      5.6876338      2187.3241      5.6876338      2187.3241      5.6876338
            3.3      2048.8091      5.6053012      2048.8091      5.6053012      2048.8091      5.6053012
            3.4      1933.2763      5.4385863      1933.2763      5.4385863      1933.2763      5.4385863
            3.5      1816.6087      5.2417548      1816.6087      5.2417548      1816.6087      5.2417548
            3.6      1684.0134      5.1447349      1684.0134      5.1447349      1684.0134      5.1447349
            3.7      1569.0325      4.9691838      1569.0325      4.9691838      1569.0325      4.9691838
            3.8      1449.6091      4.7788813      1449.6091      4.7788813      1449.6091      4.7788813
            3.9      1344.2965      4.6206202      1344.2965      4.6206202      1344.2965      4.6206202
              4      1238.1641      4.4836281      1238.1641      4.4836281      1238.1641      4.4836281
            4.1      1128.5425      4.2720928      1128.5425      4.2720928      1128.5425      4.2720928
            4.2      1030.6437      4.1320437      1030.6437      4.1320437      1030.6437      4.1320437
            4.3      943.25836      3.9454814      943.25836      3.9454814      943.25836      3.9454814
            4.4      849.65464      3.7822564      849.65464      3.7822564      849.65464      3.7822564
            4.5      769.41859      3.6201924      769.41859      3.6201924      769.41859      3.6201924
            4.6      688.20122      3.4247447      688.20122      3.4247447      688.20122      3.4247447
            4.7      611.58808       3.375733      611.58808       3.375733      611.58808       3.375733
            4.8      552.85796      3.1030923      552.85796      3.1030923      552.85796      3.1030923
            4.9      488.41441      2.9469569      488.41441      2.9469569      488.41441      2.9469569
              5      488.41441      2.9469569      488.41441      2.9469569      488.41441      2.9469569
