#         pt_j1        central        num_err    min (scale)        num_err    max (scale)        num_err
            420     0.49835134     0.01190983     0.49835134     0.01190983     0.49835134     0.01190983
            425     0.48405313    0.011734315     0.48405313    0.011734315     0.48405313    0.011734315
            430     0.45210249     0.01138829     0.45210249     0.01138829     0.45210249     0.01138829
            435     0.45389217    0.011322416     0.45389217    0.011322416     0.45389217    0.011322416
            440     0.41150749    0.011099579     0.41150749    0.011099579     0.41150749    0.011099579
            445     0.39914221    0.011478099     0.39914221    0.011478099     0.39914221    0.011478099
            450     0.37987349     0.01046444     0.37987349     0.01046444     0.37987349     0.01046444
            455     0.34945131    0.010291081     0.34945131    0.010291081     0.34945131    0.010291081
            460     0.34765769    0.010353438     0.34765769    0.010353438     0.34765769    0.010353438
            465      0.3315137    0.010128648      0.3315137    0.010128648      0.3315137    0.010128648
            470     0.30272059    0.011779255     0.30272059    0.011779255     0.30272059    0.011779255
            475     0.30693736   0.0094583339     0.30693736   0.0094583339     0.30693736   0.0094583339
            480     0.30146875    0.010478702     0.30146875    0.010478702     0.30146875    0.010478702
            485     0.27498296   0.0088399109     0.27498296   0.0088399109     0.27498296   0.0088399109
            490     0.24108596   0.0081577132     0.24108596   0.0081577132     0.24108596   0.0081577132
            495     0.26499291   0.0094882223     0.26499291   0.0094882223     0.26499291   0.0094882223
            500     0.26499291   0.0094882223     0.26499291   0.0094882223     0.26499291   0.0094882223
