#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      347.22294     0.75828814      347.22294     0.75828814      347.22294     0.75828814
              1      972.69734       1.251714      972.69734       1.251714      972.69734       1.251714
              2      1410.3243      1.4831941      1410.3243      1.4831941      1410.3243      1.4831941
              3      1648.6441      1.5862587      1648.6441      1.5862587      1648.6441      1.5862587
              4      1727.7835      1.6001635      1727.7835      1.6001635      1727.7835      1.6001635
              5      1702.5608      1.5777323      1702.5608      1.5777323      1702.5608      1.5777323
              6      1617.7683      1.5209179      1617.7683      1.5209179      1617.7683      1.5209179
              7      1503.4155      1.4626988      1503.4155      1.4626988      1503.4155      1.4626988
              8      1380.7856      1.3842545      1380.7856      1.3842545      1380.7856      1.3842545
              9      1263.9292       1.319313      1263.9292       1.319313      1263.9292       1.319313
             10      1146.1154      1.2503172      1146.1154      1.2503172      1146.1154      1.2503172
             11      1038.4973      1.1845236      1038.4973      1.1845236      1038.4973      1.1845236
             12       945.1124      1.1278318       945.1124      1.1278318       945.1124      1.1278318
             13      857.30852      1.0665011      857.30852      1.0665011      857.30852      1.0665011
             14      777.20562      1.0262022      777.20562      1.0262022      777.20562      1.0262022
             15      707.77362     0.96448373      707.77362     0.96448373      707.77362     0.96448373
             16      646.86205     0.91961415      646.86205     0.91961415      646.86205     0.91961415
             17      590.02162     0.87640274      590.02162     0.87640274      590.02162     0.87640274
             18      538.68663     0.83660207      538.68663     0.83660207      538.68663     0.83660207
             19      494.91447     0.79513947      494.91447     0.79513947      494.91447     0.79513947
             20      454.15352     0.76416924      454.15352     0.76416924      454.15352     0.76416924
             21      417.72792      0.7313269      417.72792      0.7313269      417.72792      0.7313269
             22      385.33539      0.6978675      385.33539      0.6978675      385.33539      0.6978675
             23      354.75311     0.67027398      354.75311     0.67027398      354.75311     0.67027398
             24      328.00414     0.64377522      328.00414     0.64377522      328.00414     0.64377522
             25      303.48158      0.6211982      303.48158      0.6211982      303.48158      0.6211982
             26      281.05271     0.59373269      281.05271     0.59373269      281.05271     0.59373269
             27      261.88655     0.57304383      261.88655     0.57304383      261.88655     0.57304383
             28      244.21611     0.55409766      244.21611     0.55409766      244.21611     0.55409766
             29      226.91764     0.53281432      226.91764     0.53281432      226.91764     0.53281432
             30      213.06926     0.51271759      213.06926     0.51271759      213.06926     0.51271759
             31      197.57631     0.50024285      197.57631     0.50024285      197.57631     0.50024285
             32      185.88588     0.47842047      185.88588     0.47842047      185.88588     0.47842047
             33      173.61683     0.46187368      173.61683     0.46187368      173.61683     0.46187368
             34      162.98345     0.44691273      162.98345     0.44691273      162.98345     0.44691273
             35      153.00175     0.43433996      153.00175     0.43433996      153.00175     0.43433996
             36      143.33522      0.4193148      143.33522      0.4193148      143.33522      0.4193148
             37      135.31302     0.40719818      135.31302     0.40719818      135.31302     0.40719818
             38       127.0258     0.39407798       127.0258     0.39407798       127.0258     0.39407798
             39      120.21063      0.3931503      120.21063      0.3931503      120.21063      0.3931503
             40       113.5735     0.37272729       113.5735     0.37272729       113.5735     0.37272729
             41      106.88712     0.36052192      106.88712     0.36052192      106.88712     0.36052192
             42      101.03992     0.35075842      101.03992     0.35075842      101.03992     0.35075842
             43      95.644953     0.33981947      95.644953     0.33981947      95.644953     0.33981947
             44      90.737933     0.33476431      90.737933     0.33476431      90.737933     0.33476431
             45      85.807735     0.32432094      85.807735     0.32432094      85.807735     0.32432094
             46      82.133072     0.31495275      82.133072     0.31495275      82.133072     0.31495275
             47      77.639254     0.30465516      77.639254     0.30465516      77.639254     0.30465516
             48      73.537683     0.29671473      73.537683     0.29671473      73.537683     0.29671473
             49      69.493091     0.28954807      69.493091     0.28954807      69.493091     0.28954807
             50      69.493091     0.28954807      69.493091     0.28954807      69.493091     0.28954807
