#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      18143.956      8.2707046      18143.956      8.2707046      18143.956      8.2707046
     0.31415927      13929.353      7.4038638      13929.353      7.4038638      13929.353      7.4038638
     0.62831853      11020.153      6.7337034      11020.153      6.7337034      11020.153      6.7337034
      0.9424778      9144.9804      6.2050797      9144.9804      6.2050797      9144.9804      6.2050797
      1.2566371      7897.3726       5.807905      7897.3726       5.807905      7897.3726       5.807905
      1.5707963      7081.2682      5.5382628      7081.2682      5.5382628      7081.2682      5.5382628
      1.8849556      6546.6783      5.3490611      6546.6783      5.3490611      6546.6783      5.3490611
      2.1991149      6218.3566      5.2264619      6218.3566      5.2264619      6218.3566      5.2264619
      2.5132741       6047.438      5.1438355       6047.438      5.1438355       6047.438      5.1438355
      2.8274334      5989.4835      5.1344136      5989.4835      5.1344136      5989.4835      5.1344136
      3.1415927      5989.4835      5.1344136      5989.4835      5.1344136      5989.4835      5.1344136
