qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

extrapolation  1              0.5                 NLO.QT.32                                                             23490.3746 +-          7.7336

extrapolation  1              1                   NLO.QT.32                                                             23911.8910 +-          8.2784

extrapolation  1              2                   NLO.QT.32                                                             24121.2613 +-          8.8175

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.01           1              0.5                 NLO.QT.32                                                              23498.993 +-           8.906
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              0.5                 VT.QCD                                                                 18693.514 +-           2.059
0.01           1              0.5                 CT.QCD                                                               -114218.158 +-           6.101
0.01           1              0.5                 RT.QCD                                                                119023.637 +-           6.153

0.01           1              1                   NLO.QT.32                                                              23921.724 +-           9.539
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              1                   VT.QCD                                                                 19237.843 +-           2.102
0.01           1              1                   CT.QCD                                                               -123179.190 +-           6.571
0.01           1              1                   RT.QCD                                                                127863.071 +-           6.587

0.01           1              2                   NLO.QT.32                                                              24132.216 +-          10.098
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              2                   VT.QCD                                                                 19586.019 +-           2.143
0.01           1              2                   CT.QCD                                                               -130892.087 +-           6.985
0.01           1              2                   RT.QCD                                                                135438.285 +-           6.971

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.02           1              0.5                 NLO.QT.32                                                              23503.274 +-           7.971
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           1              0.5                 VT.QCD                                                                 18693.514 +-           2.059
0.02           1              0.5                 CT.QCD                                                                -98084.987 +-           5.262
0.02           1              0.5                 RT.QCD                                                                102894.746 +-           5.623

0.02           1              1                   NLO.QT.32                                                              23926.264 +-           8.521
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           1              1                   VT.QCD                                                                 19237.843 +-           2.102
0.02           1              1                   CT.QCD                                                               -105702.148 +-           5.663
0.02           1              1                   RT.QCD                                                                110390.568 +-           6.011

0.02           1              2                   NLO.QT.32                                                              24136.972 +-           9.007
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           1              2                   VT.QCD                                                                 19586.019 +-           2.143
0.02           1              2                   CT.QCD                                                               -112242.058 +-           6.015
0.02           1              2                   RT.QCD                                                                116793.011 +-           6.352

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.03           1              0.5                 NLO.QT.32                                                             23506.5025 +-          7.5069
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              0.5                 VT.QCD                                                                18693.5142 +-          2.0593
0.03           1              0.5                 CT.QCD                                                               -89216.4059 +-          4.8013
0.03           1              0.5                 RT.QCD                                                                94029.3942 +-          5.3908

0.03           1              1                   NLO.QT.32                                                              23929.753 +-           8.014
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              1                   VT.QCD                                                                 19237.843 +-           2.102
0.03           1              1                   CT.QCD                                                                -96097.968 +-           5.164
0.03           1              1                   RT.QCD                                                                100789.878 +-           5.756

0.03           1              2                   NLO.QT.32                                                              24140.701 +-           8.461
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              2                   VT.QCD                                                                 19586.019 +-           2.143
0.03           1              2                   CT.QCD                                                               -101996.433 +-           5.482
0.03           1              2                   RT.QCD                                                                106551.116 +-           6.078

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.04           1              0.5                 NLO.QT.32                                                             23509.3948 +-          7.2011
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              0.5                 VT.QCD                                                                18693.5142 +-          2.0593
0.04           1              0.5                 CT.QCD                                                               -83178.6365 +-          4.4876
0.04           1              0.5                 RT.QCD                                                                87994.5170 +-          5.2419

0.04           1              1                   NLO.QT.32                                                             23932.9217 +-          7.6793
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
