qTcut          mu_R/mWbb      mu_F/mWbb      dXS +- err (NLO.QT.32.RT.QCD)     

0.01           1              0.5            119023.64       +- 6.1525829      
0.01           1              1              127863.07       +- 6.5871397      
0.01           1              2              135438.28       +- 6.9707683      

0.02           1              0.5            102894.75       +- 5.6225881      
0.02           1              1              110390.57       +- 6.0105393      
0.02           1              2              116793.01       +- 6.3521693      

0.03           1              0.5            94029.394       +- 5.3907728      
0.03           1              1              100789.88       +- 5.7564003      
0.03           1              2              106551.12       +- 6.0777548      

0.04           1              0.5            87994.517       +- 5.2419038      
0.04           1              1              94255.974       +- 5.592594       
0.04           1              2              99582.359       +- 5.9003723      

0.05           1              0.5            83460.386       +- 5.1316779      
0.05           1              1              89347.752       +- 5.4710663      
0.05           1              2              94348.324       +- 5.7685706      

0.06           1              0.5            79852.807       +- 5.0441564      
0.06           1              1              85443.167       +- 5.3743938      
0.06           1              2              90185.179       +- 5.6635875      

0.07           1              0.5            76868.696       +- 4.9709832      
0.07           1              1              82213.879       +- 5.2935389      
0.07           1              2              86742.551       +- 5.5757581      

0.08           1              0.5            74331.796       +- 4.9082662      
0.08           1              1              79468.821       +- 5.2241231      
0.08           1              2              83816.42        +- 5.500268       

0.09           1              0.5            72133.413       +- 4.8531548      
0.09           1              1              77090.354       +- 5.1631196      
0.09           1              2              81281.363       +- 5.433922       

0.1            1              0.5            70197.169       +- 4.8038937      
0.1            1              1              74995.708       +- 5.1085757      
0.1            1              2              79049.017       +- 5.3745874      

0.11           1              0.5            68471.714       +- 4.7596082      
0.11           1              1              73129.245       +- 5.059476       
0.11           1              2              77060.007       +- 5.3211261      

0.12           1              0.5            66917.033       +- 4.7191822      
0.12           1              1              71447.645       +- 5.0146387      
0.12           1              2              75268.129       +- 5.272293       

0.13           1              0.5            65503.156       +- 4.681782       
0.13           1              1              69918.56        +- 4.9731752      
0.13           1              2              73638.973       +- 5.2271492      

0.14           1              0.5            64208.441       +- 4.6470216      
0.14           1              1              68518.502       +- 4.9346569      
0.14           1              2              72147.441       +- 5.1852269      

0.15           1              0.5            63016.017       +- 4.6148324      
0.15           1              1              67229.055       +- 4.8989249      
0.15           1              2              70773.751       +- 5.1462882      

0.16           1              0.5            61912.678       +- 4.5846026      
0.16           1              1              66036.082       +- 4.8653966      
0.16           1              2              69502.976       +- 5.1097738      

0.17           1              0.5            60885.743       +- 4.5562094      
0.17           1              1              64925.765       +- 4.8338753      
0.17           1              2              68320.293       +- 5.0754215      

0.18           1              0.5            59927.576       +- 4.5293537      
0.18           1              1              63889.841       +- 4.8040836      
0.18           1              2              67216.897       +- 5.0429687      

0.19           1              0.5            59027.805       +- 4.5039418      
0.19           1              1              62917.225       +- 4.7758751      
0.19           1              2              66181.088       +- 5.0122293      

0.2            1              0.5            58181.862       +- 4.4797646      
0.2            1              1              62002.893       +- 4.7490451      
0.2            1              2              65207.446       +- 4.9829978      

0.21           1              0.5            57383.256       +- 4.4567532      
0.21           1              1              61139.74        +- 4.7234899      
0.21           1              2              64288.322       +- 4.9551418      

0.22           1              0.5            56626.775       +- 4.4346749      
