qTcut          mu_R/mWbb      mu_F/mWbb      XS +- err (NNLO.QCD.QT)           

extrapolation  0.5            1              73913.835       +- 79.686964      
extrapolation  1              1              63163.044       +- 51.527674      
extrapolation  2              1              54423.984       +- 34.882792      

0.01           0.5            1              73874.312       +- 54.053889      
0.01           1              1              63138.714       +- 35.612339      
0.01           2              1              54408.140       +- 24.763613      

0.02           0.5            1              73893.602       +- 45.789391      
0.02           1              1              63153.840       +- 30.451513      
0.02           2              1              54420.212       +- 21.387612      

0.03           0.5            1              73885.825       +- 43.493098      
0.03           1              1              63151.194       +- 29.055079      
0.03           2              1              54420.138       +- 20.487959      

0.04           0.5            1              73866.292       +- 41.999882      
0.04           1              1              63139.096       +- 28.105128      
0.04           2              1              54412.408       +- 19.853429      

0.05           0.5            1              73845.632       +- 40.632698      
0.05           1              1              63127.673       +- 27.261403      
0.05           2              1              54406.000       +- 19.303661      

0.06           0.5            1              73831.954       +- 39.760445      
0.06           1              1              63121.168       +- 26.715445      
0.06           2              1              54403.229       +- 18.942783      

0.07           0.5            1              73844.513       +- 39.632579      
0.07           1              1              63130.763       +- 26.636223      
0.07           2              1              54410.742       +- 18.886022      

0.08           0.5            1              73833.600       +- 39.461418      
0.08           1              1              63125.413       +- 26.562856      
0.08           2              1              54408.248       +- 18.853274      

0.09           0.5            1              73807.086       +- 38.745574      
0.09           1              1              63109.452       +- 26.071187      
0.09           2              1              54398.328       +- 18.504984      

0.1            0.5            1              73805.105       +- 38.166396      
0.1            1              1              63109.329       +- 25.707930      
0.1            2              1              54399.056       +- 18.264818      

0.11           0.5            1              73793.187       +- 37.953569      
0.11           1              1              63102.779       +- 25.572975      
0.11           2              1              54395.441       +- 18.172831      

0.12           0.5            1              73786.450       +- 37.885989      
0.12           1              1              63100.744       +- 25.521904      
0.12           2              1              54395.640       +- 18.131656      

0.13           0.5            1              73789.609       +- 37.533223      
0.13           1              1              63103.941       +- 25.298492      
0.13           2              1              54398.585       +- 17.982209      

0.14           0.5            1              73774.490       +- 37.302801      
0.14           1              1              63095.257       +- 25.152681      
0.14           2              1              54393.445       +- 17.883873      

0.15           0.5            1              73773.748       +- 37.126193      
0.15           1              1              63096.822       +- 25.037476      
0.15           2              1              54395.921       +- 17.803969      

0.16           0.5            1              73785.369       +- 37.168895      
0.16           1              1              63106.312       +- 25.068544      
0.16           2              1              54403.657       +- 17.824447      

0.17           0.5            1              73780.941       +- 36.960695      
0.17           1              1              63104.764       +- 24.924832      
0.17           2              1              54403.519       +- 17.721224      

0.18           0.5            1              73779.251       +- 36.833891      
0.18           1              1              63105.288       +- 24.841444      
0.18           2              1              54404.963       +- 17.662759      

0.19           0.5            1              73778.862       +- 36.753789      
0.19           1              1              63106.609       +- 24.786777      
0.19           2              1              54406.907       +- 17.622836      

0.2            0.5            1              73781.679       +- 36.671746      
0.2            1              1              63110.013       +- 24.732503      
0.2            2              1              54410.267       +- 17.584146      

0.21           0.5            1              73780.697       +- 36.563234      
0.21           1              1              63110.666       +- 24.659913      
0.21           2              1              54411.589       +- 17.532594      

0.22           0.5            1              73780.165       +- 36.576321      
0.22           1              1              63111.746       +- 24.662414      
0.22           2              1              54413.281       +- 17.529481      

