qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            1                   dNLO.QCD                                                             28626.70929 +-         2.67290
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   NLO.CS.32                                                            28626.70929 +-         2.67290

independent    1              1                   dNLO.QCD                                                             23911.57029 +-         2.09849
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    2              1                   dNLO.QCD                                                             20255.22641 +-         1.72538
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   NLO.CS.32                                                            20255.22641 +-         1.72538

=====================================================================================================================================================

