qTcut          mu_R/mWbb      mu_F/mWbb      XS +- err (NNLO.QCD)              

extrapolation  0.5            1              73909.483       +- 78.828589      
extrapolation  1              1              63161.650       +- 50.840961      
extrapolation  2              1              54423.920       +- 34.308351      

0.01           0.5            1              73858.306       +- 52.510157      
0.01           1              1              63128.560       +- 34.375200      
0.01           2              1              54401.571       +- 23.758376      

0.02           0.5            1              73871.358       +- 44.355375      
0.02           1              1              63139.146       +- 29.310135      
0.02           2              1              54410.229       +- 20.467466      

0.03           0.5            1              73858.838       +- 42.171976      
0.03           1              1              63133.012       +- 28.006764      
0.03           2              1              54407.510       +- 19.645131      

0.04           0.5            1              73834.924       +- 40.753992      
0.04           1              1              63117.745       +- 27.116964      
0.04           2              1              54397.410       +- 19.059525      

0.05           0.5            1              73808.914       +- 39.434647      
0.05           1              1              63102.455       +- 26.312667      
0.05           2              1              54388.111       +- 18.542572      

0.06           0.5            1              73786.774       +- 38.606512      
0.06           1              1              63089.833       +- 25.802138      
0.06           2              1              54380.769       +- 18.210519      

0.07           0.5            1              73792.336       +- 38.532158      
0.07           1              1              63094.368       +- 25.764793      
0.07           2              1              54384.498       +- 18.186815      

0.08           0.5            1              73776.940       +- 38.403799      
0.08           1              1              63085.758       +- 25.726046      
0.08           2              1              54379.557       +- 18.182111      

0.09           0.5            1              73744.141       +- 37.709163      
0.09           1              1              63065.226       +- 25.250204      
0.09           2              1              54366.205       +- 17.846092      

0.1            0.5            1              73736.114       +- 37.150140      
0.1            1              1              63060.732       +- 24.903192      
0.1            2              1              54363.665       +- 17.619209      

0.11           0.5            1              73716.258       +- 36.963490      
0.11           1              1              63048.441       +- 24.788734      
0.11           2              1              54355.758       +- 17.543456      

0.12           0.5            1              73701.871       +- 36.922619      
0.12           1              1              63040.873       +- 24.758202      
0.12           2              1              54351.820       +- 17.518276      

0.13           0.5            1              73699.002       +- 36.586464      
0.13           1              1              63039.731       +- 24.547947      
0.13           2              1              54351.536       +- 17.379406      

0.14           0.5            1              73678.580       +- 36.373665      
0.14           1              1              63027.257       +- 24.415987      
0.14           2              1              54343.591       +- 17.292090      

0.15           0.5            1              73672.603       +- 36.214132      
0.15           1              1              63025.042       +- 24.314052      
0.15           2              1              54343.247       +- 17.222646      

0.16           0.5            1              73677.575       +- 36.277719      
0.16           1              1              63029.755       +- 24.361413      
0.16           2              1              54347.430       +- 17.255926      

0.17           0.5            1              73667.249       +- 36.082758      
0.17           1              1              63023.958       +- 24.227766      
0.17           2              1              54344.127       +- 17.160517      

0.18           0.5            1              73657.867       +- 35.969963      
0.18           1              1              63018.926       +- 24.155239      
0.18           2              1              54341.422       +- 17.110590      

0.19           0.5            1              73651.630       +- 35.903890      
0.19           1              1              63016.068       +- 24.111393      
0.19           2              1              54340.274       +- 17.079128      

0.2            0.5            1              73647.689       +- 35.834852      
0.2            1              1              63014.636       +- 24.067192      
0.2            2              1              54340.051       +- 17.048340      

0.21           0.5            1              73640.579       +- 35.737860      
0.21           1              1              63010.918       +- 24.003495      
0.21           2              1              54338.144       +- 17.003755      

0.22           0.5            1              73635.305       +- 35.764498      
0.22           1              1              63008.608       +- 24.016342      
0.22           2              1              54337.327       +- 17.008644      

0.23           0.5            1              73642.528       +- 35.682616      
0.23           1              1              63014.411       +- 23.964051      
0.23           2              1              54342.028       +- 16.972593      

0.24           0.5            1              73622.426       +- 35.675410      
0.24           1              1              63001.917       +- 23.955274      
0.24           2              1              54333.906       +- 16.963378      

0.25           0.5            1              73627.994       +- 35.755742      
0.25           1              1              63006.070       +- 24.004207      
0.25           2              1              54337.120       +- 16.993133      

0.26           0.5            1              73613.367       +- 35.589980      
0.26           1              1              62997.578       +- 23.897392      
0.26           2              1              54332.013       +- 16.920823      

0.27           0.5            1              73613.603       +- 35.449363      
0.27           1              1              62998.474       +- 23.809968      
0.27           2              1              54333.140       +- 16.863016      

0.28           0.5            1              73603.820       +- 35.390788      
0.28           1              1              62993.028       +- 23.772217      
0.28           2              1              54330.030       +- 16.836738      

0.29           0.5            1              73598.555       +- 35.369494      
0.29           1              1              62990.711       +- 23.755519      
0.29           2              1              54329.218       +- 16.822950      

0.3            0.5            1              73592.806       +- 35.297893      
0.3            1              1              62987.751       +- 23.708870      
0.3            2              1              54327.720       +- 16.790605      

0.31           0.5            1              73588.927       +- 35.264811      
0.31           1              1              62985.932       +- 23.685999      
0.31           2              1              54326.954       +- 16.773473      

0.32           0.5            1              73585.980       +- 35.288201      
0.32           1              1              62985.088       +- 23.698349      
0.32           2              1              54327.097       +- 16.779246      

0.33           0.5            1              73584.563       +- 35.253714      
0.33           1              1              62984.981       +- 23.675779      
0.33           2              1              54327.575       +- 16.763028      

0.34           0.5            1              73571.955       +- 35.188191      
0.34           1              1              62977.522       +- 23.631968      
0.34           2              1              54322.975       +- 16.732094      

0.35           0.5            1              73568.425       +- 35.170726      
0.35           1              1              62975.846       +- 23.618717      
0.35           2              1              54322.266       +- 16.721342      

0.36           0.5            1              73567.709       +- 35.104357      
0.36           1              1              62976.273       +- 23.576163      
0.36           2              1              54323.152       +- 16.692158      

0.37           0.5            1              73565.074       +- 35.079106      
0.37           1              1              62975.415       +- 23.558601      
0.37           2              1              54323.135       +- 16.678888      

0.38           0.5            1              73560.154       +- 35.044703      
0.38           1              1              62972.743       +- 23.534945      
0.38           2              1              54321.666       +- 16.661492      

0.39           0.5            1              73555.469       +- 35.025464      
0.39           1              1              62970.247       +- 23.520842      
0.39           2              1              54320.330       +- 16.650386      

0.4            0.5            1              73546.251       +- 35.046532      
0.4            1              1              62964.643       +- 23.534989      
0.4            2              1              54316.788       +- 16.659301      

0.41           0.5            1              73542.480       +- 34.971387      
0.41           1              1              62962.718       +- 23.483578      
0.41           2              1              54315.819       +- 16.622684      

0.42           0.5            1              73530.766       +- 34.982826      
0.42           1              1              62955.810       +- 23.488305      
0.42           2              1              54311.577       +- 16.623730      

0.43           0.5            1              73516.828       +- 35.140930      
0.43           1              1              62947.044       +- 23.603220      
0.43           2              1              54305.831       +- 16.706813      

0.44           0.5            1              73516.888       +- 34.919384      
0.44           1              1              62948.033       +- 23.446138      
0.44           2              1              54307.109       +- 16.593435      

0.45           0.5            1              73514.643       +- 34.886835      
0.45           1              1              62946.796       +- 23.423963      
0.45           2              1              54306.417       +- 16.577260      

0.46           0.5            1              73507.006       +- 34.922562      
0.46           1              1              62942.701       +- 23.442694      
0.46           2              1              54304.188       +- 16.586842      

0.47           0.5            1              73507.605       +- 34.994701      
0.47           1              1              62943.526       +- 23.487947      
0.47           2              1              54305.043       +- 16.615445      

0.48           0.5            1              73507.203       +- 35.104883      
0.48           1              1              62943.778       +- 23.560310      
0.48           2              1              54305.547       +- 16.663787      

0.49           0.5            1              73503.195       +- 34.811423      
0.49           1              1              62941.655       +- 23.370405      
0.49           2              1              54304.432       +- 16.536238      

0.5            0.5            1              73504.208       +- 34.788761      
0.5            1              1              62942.888       +- 23.354471      
0.5            2              1              54305.637       +- 16.524251      

0.51           0.5            1              73494.295       +- 34.767804      
0.51           1              1              62936.965       +- 23.340227      
0.51           2              1              54301.949       +- 16.513739      

0.52           0.5            1              73487.037       +- 34.764321      
0.52           1              1              62932.653       +- 23.336538      
